img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.dw.com/,80,0.0,,,,,
search.svg,825,1154.0,,,,,
play.svg,423,170.0,,,,,
burger.svg,430,204.0,,,,,
link.svg,763,994.0,,,,,
61566461_305.jpg,4088,3958.0,3220.0,3110.0,2632.0,2076.0,1444
61566461_304.jpg,113796,113422.0,91766.0,85958.0,70256.0,51886.0,30892
61347239_305.jpg,3628,3489.0,2756.0,2642.0,2242.0,1732.0,1144
61347239_304.jpg,106235,105878.0,80250.0,74742.0,59938.0,44528.0,26470
hit.xiti?s=510544&ts=1650730532245&vtag=5.13.1&ptag=js&r=360x640x24x24&re=360x640&hl=21x15x32&lng=en-US&ati=PUB-[Scroll]-[0%25]-[Mobile]-[Strukturseite]-[News%20and%20current%20affairs%20from%20German,305,35.0,44.0,44.0,44.0,44.0,44
61567993_305.jpg,3272,3152.0,2332.0,2232.0,1844.0,1406.0,918
61567993_306.jpg,13292,13143.0,10658.0,9996.0,8260.0,6138.0,3706
hit.xiti?s=510544&ts=1650730531781&vtag=5.13.1&ptag=js&r=360x640x24x24&re=360x640&hl=21x15x31&lng=en-US&idp=2115311631777&jv=0&p=TOP+STORIES::TOP+STORIES&s2=2&vrn=1&x1=99&x2=2&x3=9097&x4=9097&x5=[TOP+,306,35.0,44.0,44.0,44.0,44.0,44
60909774_305.jpg,3764,3634.0,2830.0,2752.0,2286.0,1796.0,1194
60909774_306.jpg,11565,11416.0,8346.0,7878.0,6502.0,4918.0,3224
61531658_305.jpg,4123,3984.0,3036.0,2914.0,2464.0,1962.0,1352
61531658_306.jpg,13197,13030.0,9528.0,9146.0,7426.0,5638.0,3678
61568564_305.jpg,3768,3638.0,3000.0,2886.0,2428.0,1928.0,1216
61568564_505.jpg,101124,100741.0,92508.0,88616.0,73274.0,56056.0,33310
312349_305.jpg,2691,2570.0,1430.0,1358.0,1084.0,854.0,574
312349_505.jpg,30277,30065.0,14300.0,13208.0,10180.0,7780.0,4958
61458635_305.jpg,3724,3585.0,2842.0,2708.0,2312.0,1812.0,1216
61458635_505.jpg,71717,71406.0,55322.0,52166.0,41252.0,30066.0,17590
html5?x=%7B%22sid%22%3A%22bb3320b1-a282-2a33-1b22-12483e20bb96%22%2C%22rn%22%3A0%2C%22t%22%3A1%2C%22es%22%3A%5B%7B%22t%22%3A1%2C%22sid%22%3A3%2C%22em%22%3A%22This%20video%20file%20cannot%20be%20played,262,42.0,72.0,72.0,72.0,72.0,72
error.svg,1017,1481.0,,,,,
html5?x=%7B%22sid%22%3A%220c11743e-fb41-6257-d783-ee3e9b3ad7ed%22%2C%22rn%22%3A0%2C%22t%22%3A0%2C%22es%22%3A%5B%7B%22t%22%3A0%2C%22sid%22%3A3%2C%22em%22%3A%22This%20video%20file%20cannot%20be%20played,262,42.0,72.0,72.0,72.0,72.0,72
1041458463008629254,42412,42051.0,20526.0,19530.0,16136.0,12088.0,8144
en.png,3088,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
adview?ai=CAE9JJSZkYqajM82JnsEPn-msqAKIq8rUZIfBgomuDtO5wcS0HBABIJmyjjZgy9y0BaABk7T81APIAQLgAgCoAwHIAwiqBKECT9BLN2yhWxIo6Enc2GyNkYfP4_RU59snBPQOaa6t1cG3CLXgvOsqe-KXP1ck5x1Jv31V9AedILcNJ15bl92RzUWgdqCQN,0,0.0,,,,,
si?st=NO_DATA,0,0.0,,,,,
?id=pubcid%3A3adb3be1-c2e6-4f48-889c-2815065ede43,35579,35579.0,,,,,
sd?id=537072991&val=CAESEL-UJ6bL0_Gi7s-TZo6GR7Y&google_cver=1,114,43.0,44.0,44.0,44.0,44.0,44
xuid?mid=3658&xuid=38f1e48a-60d0-499e-acaf-50d9d3b9810a&dongle=0cfd,353,37.0,72.0,72.0,72.0,72.0,72
ImgSync?sec=1&gdpr=0&gdpr_consent=,219,0.0,,,,,
ping.gif?h=296953081&e=ers&n=7270597396792524&aid=MQ6cm06yQU%2BsdZphm7QZMg&amp=0&at=1&c=-1&ccp=0&cp=0&d=0&eb=0&ed=6&emi=10mijxzojzyu&i=0&lid=g40f1210bwwk&lsa=set&mt=0&pbd=1&pbr=1&pgi=2c152d15i55g&ph=1,63,0.0,44.0,44.0,44.0,44.0,44
ping.gif?h=833349649&e=ers&n=7250202174567382&abc=0&aid=MQ6cm06yQU%2BsdZphm7QZMg&amp=0&at=1&c=1&ccp=0&cp=0&d=0&eb=0&ed=6&emi=1y5dczj18d8q&i=0&lid=g40f1210bwwk&lsa=read&mt=0&pbd=1&pbr=1&pgi=2c152d15i55,26,0.0,44.0,44.0,44.0,44.0,44
html5?x=%7B%22sid%22%3A%22bb3320b1-a282-2a33-1b22-12483e20bb96%22%2C%22rn%22%3A1%2C%22t%22%3A5770%7D,262,42.0,72.0,72.0,72.0,72.0,72
html5?x=%7B%22sid%22%3A%220c11743e-fb41-6257-d783-ee3e9b3ad7ed%22%2C%22rn%22%3A1%2C%22t%22%3A5776%7D,262,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1947263,,,,,,
totalByteWeight,4579888,,,,,,
