img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ebay.de/,77109,439551.0,,,,,
s_1x2.gif,406,49.0,74.0,74.0,74.0,74.0,74
s-l300.webp,4258,3874.0,3480.0,3362.0,2930.0,2258.0,1682
s-l300.webp,7507,7114.0,3480.0,3362.0,2930.0,2258.0,1682
s_1x2.gif,0,49.0,74.0,74.0,74.0,74.0,74
s_1x2.gif,0,49.0,74.0,74.0,74.0,74.0,74
s-l300.webp,4302,3932.0,3480.0,3362.0,2930.0,2258.0,1682
s-l300.webp,4629,4254.0,3480.0,3362.0,2930.0,2258.0,1682
s-l300.webp,3276,2902.0,3480.0,3362.0,2930.0,2258.0,1682
s-l300.webp,4827,4444.0,3480.0,3362.0,2930.0,2258.0,1682
s-l400.webp,25517,25090.0,9084.0,8622.0,7284.0,5102.0,3618
s-l400.webp,14112,13710.0,2458.0,2306.0,1908.0,1450.0,1082
s-l400.webp,17750,17350.0,10768.0,10414.0,8660.0,5938.0,4110
s-l400.webp,18543,18132.0,12054.0,11482.0,9010.0,6522.0,4394
s-l400.webp,9144,8750.0,12604.0,12092.0,9952.0,7382.0,5094
s-l400.webp,14709,14306.0,8802.0,8310.0,6836.0,4798.0,3254
s-l400.webp,11391,11008.0,8170.0,7954.0,6962.0,4976.0,3794
s-l400.webp,12194,11800.0,16322.0,15672.0,12960.0,9068.0,6100
s-l400.webp,8646,8264.0,12342.0,12096.0,10584.0,6538.0,4582
s-l400.webp,10055,9662.0,7998.0,7706.0,6766.0,4982.0,3590
s-l400.webp,10410,10014.0,6720.0,6492.0,5498.0,4048.0,2954
s-l400.webp,9048,8656.0,9056.0,8712.0,7332.0,5174.0,3612
s-l400.webp,10364,9970.0,8002.0,7680.0,5988.0,4308.0,2918
s-l400.webp,14102,13700.0,15336.0,14524.0,11760.0,8064.0,5292
s-l400.webp,7748,7366.0,7798.0,7480.0,6218.0,4186.0,2954
s-l400.webp,13089,12664.0,16948.0,16274.0,14084.0,10040.0,6724
s-l400.webp,18980,18556.0,5122.0,4912.0,4156.0,3096.0,2166
s-l400.webp,17482,17068.0,5122.0,4912.0,4156.0,3096.0,2166
s-l400.webp,12357,11952.0,5122.0,4912.0,4156.0,3096.0,2166
s-l400.webp,3128,2762.0,5122.0,4912.0,4156.0,3096.0,2166
s-l400.webp,10624,10242.0,5122.0,4912.0,4156.0,3096.0,2166
s-l1200.webp,17982,17570.0,15930.0,15152.0,12596.0,8730.0,6024
bs_img_service?pld=%5B%7B%22guid%22%3A%2251555af21800a49f3cdefd1effff6d22%22%2C%22eventFamily%22%3A%22AUTO_TRACKING%22%2C%22agentVersion%22%3A%222.0.6%22%2C%22trackable%22%3A%7B%22trackableId%22%3A%22,534,35.0,72.0,72.0,72.0,72.0,72
s-l500.jpg?t=ndjwqx,80873,80384.0,11216.0,10546.0,8374.0,5882.0,3730
9?imp=3144444,0,0.0,72.0,72.0,72.0,72.0,72
s-l500.jpg?t=8k8mmi,33202,32768.0,11216.0,10546.0,8374.0,5882.0,3730
pageTransferSize,708863,,,,,,
totalByteWeight,1336119,,,,,,
