img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.elbalad.news/,23475,117568.0,,,,,
s40.png,58318,57892.0,10536.0,10150.0,8452.0,6804.0,4904
logo-d.png,9432,9010.0,4240.0,4140.0,3878.0,3582.0,3308
logo-w.png,9329,8954.0,4118.0,4062.0,3824.0,3530.0,3270
no.jpg,6496,6018.0,5162.0,4982.0,4010.0,3152.0,2342
sync.svg,2179,4405.0,,,,,
33.png,17827,17386.0,3748.0,3566.0,2980.0,2432.0,1688
31.gif,12130,11718.0,,,,,
reel-h.png,409,46.0,102.0,102.0,102.0,102.0,102
sitemap.gif,3960,3516.0,268.0,218.0,134.0,94.0,90
68.jpg,33232,32834.0,22804.0,20404.0,16048.0,13110.0,8572
68.jpg,20908,20434.0,22804.0,20404.0,16048.0,13110.0,8572
594.jpg,16328,15894.0,16424.0,15614.0,12188.0,9150.0,5934
355.jpeg,17581,17182.0,11814.0,10598.0,8502.0,6514.0,4188
557.jpg,34385,33857.0,29496.0,28160.0,23524.0,18136.0,11512
594.jpg,26519,26162.0,16882.0,14924.0,11808.0,8996.0,5820
503.jpg,19255,18782.0,12282.0,11732.0,9248.0,6776.0,4158
982.jpg,23636,23139.0,16878.0,15940.0,13240.0,9942.0,6244
591.jpg,25988,25581.0,17280.0,16144.0,13064.0,9904.0,6362
549.jpg,25309,24854.0,19284.0,18366.0,15124.0,11340.0,7362
866.jpg,12457,11982.0,7854.0,7370.0,5966.0,4566.0,3148
downsize_200k_v1?w=400&h=209,18441,18305.0,78370.0,74154.0,60578.0,45040.0,29340
downsize_200k_v1?w=100&h=100,2190,1847.0,21814.0,21330.0,19534.0,17150.0,14776
ar.png,2841,2737.0,1560.0,1516.0,1306.0,1112.0,824
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaS9GB-J5agCnhjGOw1QtWqCPrfwXS6zBExWlAegaU1dC3EoiF7NwkdiZ7IOoAzRAIOG2F0VtOFppvBi-djYbZIk8QhjYg,0,0.0,,,,,
adview?ai=CTV7fuDljYsNtkb2WBLytrugIiIWdwGnUjrH3rg_a2R4QASCC5-QyYMvctAWgAYPyop4oyAEJqQLXUpBeSQ83PuACAKgDAcgDCqoE9gFP0MerrImIV1ML4TmHrjxFKcDRrl-usse6l-r5pyrTy9X3GeTqv-0N0CEBSYQdAZ3X3IUh9Z9HZfW8W_Y7TyO9V,0,0.0,,,,,
pageTransferSize,1156154,,,,,,
totalByteWeight,2808788,,,,,,
