img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.elpais.com/,338,0.0,,,,,
el-pais.svg,1449,1916.0,,,,,
el-pais-slogan-esp.svg,2593,6287.0,,,,,
K6ZOGLHIXH5LW6N5EC2LDNYVEY.jpg,102274,101648.0,21112.0,19718.0,15942.0,11184.0,6238
QWWJ7QQHS2RTBLNMAB7626DLZQ.jpg,79667,79097.0,50660.0,47708.0,37600.0,27386.0,16362
O4XZIJFUIBFPVA7YZYLLGIOOSQ.jpg,46865,46330.0,21868.0,20888.0,16406.0,12006.0,7814
QEXHPINU2VFQHEMLXEMQGNJCSE.jpg,56798,56227.0,12312.0,11610.0,9214.0,6974.0,4380
EL4QM72BEJHERBMXWYYFGIWUSA.jpg,40596,40125.0,7700.0,7218.0,5680.0,4336.0,2928
elecciones-francia.svg,3110,7932.0,,,,,
eslaliga-section.svg,1314,2271.0,,,,,
eslaliga-logo.svg,7885,19753.0,,,,,
territorio_paradores-section.svg,4577,13130.0,,,,,
territorio_paradores-logo.svg,3834,9458.0,,,,,
sabadell-section.svg,4271,5239.0,,,,,
sabadell-logo.svg,2853,7320.0,,,,,
en_video.svg,910,550.0,,,,,
cincodias_black.svg,2054,3710.0,,,,,
logo-ser.svg,1753,3278.0,,,,,
logo-huffpost.svg,5536,11875.0,,,,,
logo-as-rojo.svg,1374,1688.0,,,,,
logo-retina.svg,2009,4051.0,,,,,
logo-meristation-v2.svg,15759,28326.0,,,,,
tienes-que-verlo-mobile-full.svg,15752,45409.0,,,,,
tienes-que-verlo-logo-mobile.svg,2418,6707.0,,,,,
gymglish_elpais_white_desktop.svg,4589,12930.0,,,,,
pxlctl2.gif?m=1&r=undefined&w=9482793,255,43.0,72.0,72.0,72.0,72.0,72
NRM6A3C2NZ4B7A3WOEDMYFMUBA.jpg,64580,64106.0,35950.0,33910.0,27298.0,20696.0,13818
2022042213133483_1650626109_asset_still.png,475016,474386.0,78158.0,74230.0,57210.0,42484.0,26274
