img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.elsevier.com/,47066,135733.0,,,,,
find-articles-80x80.svg,3001,8876.0,,,,,
accepted-article-80x80.svg,1858,4937.0,,,,,
demonstrate-impact-80x80.svg,2316,6648.0,,,,,
Ukrainian-flag-crop.jpg,49751,49329.0,6214.0,5658.0,3850.0,2710.0,1748
inclusion-smol.jpg,23372,22986.0,6964.0,6614.0,5486.0,3922.0,2444
transparency-tile-002.jpg,31607,31213.0,9012.0,8528.0,7204.0,5444.0,4080
coronavirus-image-329x372.jpg,77932,77483.0,19136.0,17592.0,13782.0,9764.0,5798
UK-Research-Hub-mobile-darker.jpg,124696,124192.0,12562.0,11856.0,9454.0,6814.0,4300
video-tileaccelerating-you329x372.jpg,31152,30758.0,6288.0,5956.0,4842.0,3692.0,2506
RGB-SVG-Blue_0016-demonstrate-impact.svg,1958,5720.0,,,,,
RGB-SVG-Blue_0066-clinical-decision-support.svg,1545,4748.0,,,,,
RGB-SVG-Blue_0067-healthcare-education.svg,1933,5799.0,,,,,
RGB-SVG-Blue_0065-r-and-d-workflow.svg,1686,4920.0,,,,,
RGB-SVG-Blue_0070-cross-discipline-platforms.svg,1614,4865.0,,,,,
RGB-SVG-Blue_0068-books-and-journals.svg,2025,5648.0,,,,,
Elsevier_Careers_292x214-1.png,33581,33178.0,7098.0,6734.0,5232.0,3874.0,2450
future-of-health-hero.png,682642,681528.0,69758.0,62498.0,42612.0,28282.0,17598
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=gtm.init_consent&eid=1&tc=412&z=0,128,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=gtm.init&eid=2&tc=412&z=0,54,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=gtm.js&eid=3&tc=412&tr=1cl.1lcl.1hl.1cl.1cl.1cl.1lcl.1lcl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1cl.1c,54,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=gtm.dom&eid=4&tc=412&tr=1jel&ti=1jel&z=0,54,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&e=gtm.js&eid=3&tc=412&tr=5cl.5lcl.5hl.5cl.5cl.5cl.5lcl.5lcl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl.5cl,54,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=gtm.load&eid=6&u=C&tc=412&z=0,17,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=*&eid=7&u=C&tc=412&z=0,17,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=*&eid=8&u=C&tc=412&z=0,17,0.0,,,,,
a?id=GTM-5P8J8X&cv=1125&v=3&t=t&pid=315198295&rv=4k0&es=1&e=*&eid=9&u=C&tc=412&z=0,17,0.0,,,,,
pageTransferSize,1518255,,,,,,
totalByteWeight,2745569,,,,,,
