img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.engadget.com/,51612,386728.0,,,,,
fe6a9c00-c24e-11ec-b6ed-7b8873bc0522.cf.webp,31101,30554.0,22962.0,21814.0,14618.0,11134.0,7136
e6f476b0-73d2-11ec-b5f7-793df213f3fa,113677,113325.0,11322.0,10422.0,8012.0,5852.0,3676
ee24b300-c21f-11ec-9eef-3cc09f2424f4.cf.webp,56863,56310.0,47994.0,46028.0,31300.0,23868.0,14890
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2017%2F04%2Fprofile-picture.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=080b8c74bc2e0113b04ff3b4d56e855ff56,99604,98916.0,824.0,810.0,728.0,582.0,364
0017f650-c22d-11ec-bba9-3943a4d47517.cf.webp,62289,61734.0,49974.0,47898.0,33322.0,25942.0,16542
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2017%2F07%2Fsteve-headshot-05440x350.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=266d8af759b47301d1da2d127e,33471,32960.0,1022.0,1008.0,916.0,732.0,458
90285810-c22e-11ec-8dae-292c407ced72.cf.webp,41521,40978.0,32540.0,30664.0,21418.0,15898.0,9938
41096740-c181-11ec-bf5b-3d62ef49c7d9.cf.webp,36708,36152.0,72.0,72.0,72.0,72.0,72
vp-headshot.jpg,63082,62641.0,32590.0,30130.0,22690.0,16206.0,10024
ffd75390-9fed-11ec-b564-454e9eb7c931.cf.webp,14792,14252.0,12566.0,12030.0,9896.0,6728.0,4628
864681a0-5848-11ec-bfff-035ca979f5ca.cf.webp,940,480.0,478.0,472.0,426.0,356.0,238
5df73210-c27b-11ec-abff-8016b4f08dff.cf.webp,57016,56452.0,53212.0,51442.0,42490.0,26096.0,16108
dims?image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fimage_uri%3Dhttp%253A%252F%252Fwww.blogcdn.com%252Fwww.engadget.com%252Fmedia%252F2013%252F01%252Fjon-fingas-january-2013.jpg%26compress%3D1,1601,1026.0,1024.0,1002.0,904.0,706.0,488
1c8c9460-c275-11ec-bccf-134bc7a77521.cf.webp,13167,12628.0,11292.0,10804.0,8840.0,6172.0,4312
morning-after-static-newB.png,234257,233834.0,11302.0,10694.0,8600.0,6680.0,4352
1a1ea5d0-c26e-11ec-a67f-743a1cd16647.cf.webp,59547,58994.0,54444.0,52268.0,43152.0,25556.0,14636
94518250-ef1a-11eb-b53d-0b0fcfb4055f.cf.webp,5966,5488.0,4812.0,4642.0,3946.0,2856.0,2258
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2018%2F05%2Fme-irl.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=63fd929600aee3fad02ecbb206186106655c6ccd.cf.,1018,508.0,484.0,480.0,426.0,348.0,242
1ebc49d0-c26e-11ec-a35b-b145e68f0069.cf.webp,10513,9938.0,8826.0,8518.0,7262.0,5588.0,4190
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2019%2F04%2F45428200101611397581804455454942549951119360n.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=b14fe,1360,794.0,770.0,766.0,706.0,534.0,320
e6f476b0-73d2-11ec-b5f7-793df213f3fa.cf.webp,1308,836.0,11322.0,10422.0,8012.0,5852.0,3676
vp-headshot.jpg.cf.webp,1301,848.0,832.0,816.0,732.0,584.0,358
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2017%2F07%2Fsteve-headshot-05440x350.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=266d8af759b47301d1da2d127e,1579,1048.0,1022.0,1008.0,916.0,732.0,458
dims?image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fimage_uri%3Dhttps%253A%252F%252Fo.aolcdn.com%252Fimages%252Fdims%253Fimage_uri%253Dhttps%25253A%25252F%25252Fo.aolcdn.com%25252Fimages%25252,1057,598.0,586.0,572.0,520.0,360.0,252
dims?image_uri=https%3A%2F%2Fs.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2017%2F04%2Fprofile-picture.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=080b8c74bc2e0113b04ff3b4d56e855ff56,1350,834.0,824.0,810.0,728.0,582.0,364
dims?image_uri=http%3A%2F%2Fwww.blogcdn.com%2Fwww.engadget.com%2Fmedia%2F2013%2F01%2Fdan2cropped3.jpg&compress=1&progressive=1&quality=75&client=hawkeye&signature=8d433de78a1e45365b0913f5a650790352ac8,1401,872.0,854.0,844.0,766.0,594.0,372
gemini.png,3582,3328.0,1414.0,1398.0,1340.0,1316.0,1274
p?_R=&_V=test&_w=https%3A%2F%2Fwww.engadget.com%2F&bckt=Treatment_Oath_Player&evt=s_load&src=https%3A%2F%2Fyep.video.yahoo.com%2Foath%2Fjs%2F1%2Foath-player.js&s=1197809794&host=www.engadget.com&pver=,0,0.0,72.0,72.0,72.0,72.0,72
