img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.epicgames.com/,93,0.0,,,,,
ttwl-carousel-1200x1600-1200x1600-7377d13558a7.jpg?h=854&resize=1&w=640,130921,130268.0,68934.0,63922.0,48362.0,34478.0,20762
egs-rl-nascar-carousel-mobile-1200x1600-8acdf7c77498.jpg?h=854&resize=1&w=640,82727,82182.0,73316.0,68130.0,55236.0,40676.0,27624
egs-evil-dead-featured-carousel-mobile-image-01-1200x1600-a3fe52c65b65.jpg?h=854&resize=1&w=640,184026,183227.0,165614.0,154806.0,117332.0,82638.0,46478
egs-spacepunks-carousel-mobile-1200x1600-eed8c340aacb.png?h=854&resize=1&w=640,92034,91442.0,125580.0,117512.0,87538.0,60492.0,37348
egs-mythforce-carousel-mobile-1200x1600-6e88124cd6ae.png?h=854&resize=1&w=640,67086,66549.0,21862.0,20502.0,16350.0,11858.0,7844
egs-f12022-carousel-mobile-1200x1600-e5d3e430d888.jpg?h=854&resize=1&w=640,68143,67595.0,22782.0,21366.0,17080.0,12820.0,8442
GameName_Newsfeed_Game_Icon_400x400-400x400-20e6cec6b1510826e616e41c3a99ff02.png?h=854&resize=1&w=640,119403,118812.0,28830.0,27920.0,24896.0,21304.0,17246
EGS_WOTC_MTGARENA_IC1_WHITE-260x200-2398d066e3fc892e44d8aabbbba911ed.png?h=854&resize=1&w=640,3607,3268.0,3262.0,3274.0,3270.0,3268.0,3270
EnterTheGungeon_Logo-1031x353-0ed1eeeb17a943c1706d947b1f2864c6.png?h=854&resize=1&w=640,26698,26304.0,18464.0,17274.0,14202.0,10676.0,8000
batman-arkham-knight-206x102-abbc3f98900fec35c91a91a5ec976771.png?h=854&resize=1&w=640,6458,6110.0,5190.0,5064.0,4568.0,3896.0,3238
WatchDogs2_Logo_White-2208x368-af0e8beb8ed46fb18607855cf6a7ba73.png?h=854&resize=1&w=640,80408,79896.0,83482.0,83024.0,80922.0,79040.0,77176
subnautica_logo_1024x138-1024x138-734df7a072e1a28f69d51fff7942b7bc.png?h=854&resize=1&w=640,18708,18332.0,19862.0,19260.0,17120.0,14754.0,12038
ttwl-dlc1-logo-350x234-b0a5bd468c31.png,19191,18728.0,24466.0,24106.0,22574.0,20732.0,18910
egs-rl-nascar-carousel-logo-v2-365x200-0813bf652ed0.png,10859,10416.0,13040.0,12870.0,12118.0,11466.0,10530
egs-evil-dead-featured-carousel-game-logo-01-350x100-68a555201258.png,9719,9275.0,8424.0,8170.0,7446.0,6608.0,5574
egs-spacepunks-carousel-logo-350x204-a3c3eed14b5f.png,28301,27803.0,16944.0,16504.0,14212.0,11790.0,9390
egs-mythforce-carousel-logo-350x155-39f53869cb2d.png,19171,18707.0,10694.0,10216.0,8962.0,7560.0,5900
egs-f12022-carousel-logo-350x100-9ac43e8e2b64.png,4732,4297.0,3918.0,3874.0,3788.0,3668.0,3552
track.png?referringUrl=none&location=https%3A%2F%2Fstore.epicgames.com%2Fen-US%2F&now=1650657953404&eventType=pageView,469,0.0,,,,,
track.png?appEnv=prod&application=EPICEVENTTRACKING&buildID=ee0e43a84ba1dfbefe3c387a9006f5406b72b7b2&eventAction=discover_section_in_view&eventCategory=LauncherHomeScroll&eventDate=2022-04-22T20%3A05%,469,0.0,,,,,
track.png?appEnv=prod&application=EPICEVENTTRACKING&buildID=ee0e43a84ba1dfbefe3c387a9006f5406b72b7b2&eventAction=discover_section_in_view&eventCategory=LauncherHomeScroll&eventDate=2022-04-22T20%3A05%,469,0.0,,,,,
track.png?appEnv=prod&application=EPICEVENTTRACKING&buildID=ee0e43a84ba1dfbefe3c387a9006f5406b72b7b2&eventAction=discover_section_in_view&eventCategory=LauncherHomeScroll&eventDate=2022-04-22T20%3A05%,469,0.0,,,,,
track.png?appEnv=prod&application=EPICEVENTTRACKING&buildID=ee0e43a84ba1dfbefe3c387a9006f5406b72b7b2&eventAction=discover_section_in_view&eventCategory=LauncherHomeScroll&eventDate=2022-04-22T20%3A05%,469,0.0,,,,,
EGS_ChickenPolicePaintitRed_TheWildGentlemen_S2_1200x1600-55cb4fd7679af6bc6d81dfbba7c5085b?h=854&resize=1&w=640,133430,132801.0,60716.0,56428.0,45682.0,33622.0,20984
download-scarf-offer-vhjod.jpg?h=854&resize=1&w=640,135367,134737.0,60722.0,57152.0,46562.0,35958.0,25268
portraitProductImage-1200x1600-c62d577d1522e4a4e9d94b0665b5a16b.png?h=854&resize=1&w=640,101772,101134.0,67528.0,64636.0,51892.0,38910.0,24826
download-unrailed-offer-11wt8.jpg?h=854&resize=1&w=640,44838,44264.0,23516.0,22282.0,18384.0,14344.0,10366
EGS_YesYourGrace_BraveAtNight_S2-1200x1600-7ca9c8e0ca57bfdb55fd17bb4daca005.jpg?h=854&resize=1&w=640,159915,159098.0,147732.0,138370.0,111450.0,84670.0,54752
download-aces-of-the-luftwaffe-squadron--extended-edition-offer-a401z.jpg?h=854&resize=1&w=640,128066,127454.0,76608.0,71612.0,58434.0,43976.0,28458
download-car-tuning-simulator-offer-e8hyt.png?h=854&resize=1&w=640,134613,133984.0,64666.0,60704.0,48346.0,35852.0,22542
EGS_TheTenants_AncientForgeStudio_S2-1200x1600-6ff72dbe1bcb1cdb3345714c8ab8b4a7.jpg?h=854&resize=1&w=640,69734,69176.0,119996.0,113318.0,89274.0,66898.0,43108
