img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.fandom.com/,21262,112969.0,,,,,
85e470bc-0c8e-41e4-8367-7fdd4bcd05da,1911,1432.0,1010.0,974.0,894.0,796.0,702
6a181c72-e8bf-419b-b4db-18fd56a0eb60,6692,6170.0,4222.0,4154.0,3840.0,3612.0,3216
800,35363,34864.0,47818.0,44940.0,34736.0,24568.0,13364
800,24343,23816.0,62934.0,58208.0,46608.0,32024.0,16604
800,120361,119760.0,41396.0,38922.0,30352.0,20924.0,11838
800,69413,68848.0,12006.0,11210.0,8154.0,5834.0,3748
800,110862,110308.0,58152.0,54486.0,43104.0,30778.0,17742
800,61070,60516.0,31264.0,29422.0,22122.0,15256.0,8966
800,35735,35188.0,48074.0,45768.0,36626.0,26692.0,16750
800,88962,88388.0,10310.0,9742.0,7738.0,5930.0,4208
800,46900,46344.0,25302.0,23756.0,19502.0,15112.0,10150
800,101952,101368.0,37066.0,35284.0,27806.0,20030.0,12148
800,31140,30602.0,53482.0,50098.0,39114.0,28152.0,16520
800,41642,41104.0,25482.0,24064.0,18800.0,13640.0,8770
800,49110,48572.0,56448.0,52682.0,43478.0,33508.0,22296
800,91763,91188.0,26188.0,24888.0,19356.0,13832.0,8814
800,82654,82080.0,17230.0,16348.0,12844.0,9492.0,6354
800,79663,79098.0,44838.0,42462.0,35460.0,26460.0,16690
f986bbe3-d988-415a-be90-95912d7a7bdc,51699,51108.0,24168.0,23228.0,18728.0,13958.0,9348
1fcd9eb5-31ba-42aa-bc10-4a8c6332d69b,2158,1534.0,836.0,792.0,688.0,548.0,416
24899d15-3a7b-436b-ac4e-00c4073d3e3d,57283,56710.0,44296.0,43626.0,41232.0,38612.0,32512
500,17872,17336.0,26526.0,25064.0,20092.0,14312.0,8406
500,15530,15012.0,16190.0,15156.0,11684.0,8056.0,4622
500,48686,48132.0,5264.0,4740.0,3694.0,2678.0,1684
500,32635,32090.0,5264.0,4740.0,3694.0,2678.0,1684
500,44179,43652.0,5264.0,4740.0,3694.0,2678.0,1684
500,12318,11672.0,5264.0,4740.0,3694.0,2678.0,1684
400,48920,48340.0,19660.0,18766.0,14634.0,10916.0,6820
400,120404,119792.0,15432.0,14480.0,11254.0,8012.0,4912
400,37976,37424.0,15048.0,14272.0,10712.0,7880.0,5248
400,36789,36240.0,12454.0,11862.0,9538.0,7142.0,4850
400,31980,31450.0,10816.0,10296.0,8346.0,6324.0,4428
400,33365,32800.0,65172.0,60936.0,49342.0,36212.0,21692
400,30251,29712.0,30258.0,28412.0,22418.0,16428.0,9942
400,52997,52422.0,15342.0,14630.0,11244.0,8256.0,5196
400,57832,57290.0,23876.0,22026.0,16776.0,11794.0,6966
400,32858,32302.0,10912.0,10008.0,7526.0,5446.0,3730
400,25952,25390.0,14566.0,13840.0,11268.0,7932.0,4964
400,61276,60720.0,14566.0,13840.0,11268.0,7932.0,4964
400,36782,36224.0,14566.0,13840.0,11268.0,7932.0,4964
400,41177,40616.0,14566.0,13840.0,11268.0,7932.0,4964
400,53137,52564.0,14566.0,13840.0,11268.0,7932.0,4964
400,27064,26504.0,14566.0,13840.0,11268.0,7932.0,4964
400,23864,23316.0,14566.0,13840.0,11268.0,7932.0,4964
400,32580,32062.0,14566.0,13840.0,11268.0,7932.0,4964
