img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.fidelity.com/,5097,10290.0,,,,,
fidelity_com_logo.gif,996,809.0,1466.0,1410.0,1242.0,1028.0,768
fidelityweblogo.gif,2102,1882.0,2178.0,2128.0,1926.0,1658.0,1358
Footer_Logo.png,0,0.0,,,,,
nav-gradient.png,838,423.0,90.0,86.0,84.0,80.0,74
sb_bg.png,1114,700.0,134.0,134.0,126.0,112.0,78
r.rnc?n=0&c=65&i=68wikw&p=prod&s=313&d=8ER7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNTI2IiwiY2xpZW50SWQiOjY1LCJwdWJsaXNoUGF0aCI6InByb2QiLCJpbnN0YW5jZSUA8BQiNjh3aWt3IiwicGFja2V0IjowLCJtb2RlIjoib2JzZ,215,0.0,,,,,
e.gif?msg=%24nav%20is%20not%20defined&lnn=-1&fn=&cid=65&client=fidelity&publishPath=prod&rid=-1&did=-1&errorName=ReferenceError,215,0.0,,,,,
ibs:dpid=411&dpuuid=YmLHOAAAAJ1TKgP0,945,42.0,,,,,
adsct?p_user_id=25015793162544291260173339234154752734&p_id=38594,355,43.0,,,,,
ibs:dpid=477&dpuuid=0f641fcb940b8bd55234a71c2159294882d1232e1b7421a9e56696bb779f2a5fb0da87c991749652,945,42.0,,,,,
ibs:dpid=358&dpuuid=7581023943533914227,945,42.0,,,,,
?che=1650640697295&mcvisid=30925314586120416270736996893823562371,595,43.0,,,,,
clear.png?org_id=5h8i3ud8&session_id=7704e96fde69e13e87b0b970a66c2be6&nonce=57b1f089b1bdb551&ck=0&m=1,475,81.0,74.0,74.0,74.0,74.0,74
clear.png?org_id=5h8i3ud8&session_id=7704e96fde69e13e87b0b970a66c2be6&nonce=57b1f089b1bdb551&ck=0&m=2,475,81.0,74.0,74.0,74.0,74.0,74
ibs:dpid=1957&dpuuid=15C41AE8E43461FA39060B66E53D601C,945,42.0,,,,,
ibs:dpid=771&dpuuid=CAESEJvbZJMjbp6pVsDHRIz_W_w&google_cver=1?gdpr=0&gdpr_consent=,945,42.0,,,,,
r.rnc?n=1&c=65&i=68wikw&p=prod&s=13475&d=8ER7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNTI2IiwiY2xpZW50SWQiOjY1LCJwdWJsaXNoUGF0aCI6InByb2QiLCJpbnN0YW5jZSUA8BQiNjh3aWt3IiwicGFja2V0IjoxLCJtb2RlIjoib2J,215,0.0,,,,,
migrate_et3,132,0.0,,,,,
r7ifn0SL?redir=https%3A%2F%2Fwww.facebook.com%2Ffr%2Fb.php%3Fp%3D1531105787105294%26e%3D%24%7BTM_USER_ID%7D%26t%3D2592000%26o%3D0,177,0.0,,,,,
clear.png?org_id=5h8i3ud8&session_id=7704e96fde69e13e87b0b970a66c2be6&nonce=57b1f089b1bdb551&di=yes,438,81.0,74.0,74.0,74.0,74.0,74
clear1.png;CIS3SID=F26CC1CAEFAA056F9C6AB840F3EBAE75?org_id=5h8i3ud8&session_id=7704e96fde69e13e87b0b970a66c2be6&nonce=57b1f089b1bdb551&jf=363336267361665d726e66357464705f384074726f7a4e4d75766b3a70496b,400,0.0,,,,,
ibs:dpid=782&dpuuid=YmLHOwAD4our9wAZ&_test=YmLHOwAD4our9wAZ,945,42.0,,,,,
r.rnc?n=2&c=65&i=68wikw&p=prod&s=8520&d=8ER7InZlcnNpb24iOiIxLjAuMCIsImdhdGV3YXkiOiIyLjMuNTI2IiwiY2xpZW50SWQiOjY1LCJwdWJsaXNoUGF0aCI6InByb2QiLCJpbnN0YW5jZSUA8BQiNjh3aWt3IiwicGFja2V0IjoyLCJtb2RlIjoib2Jz,215,0.0,,,,,
clear1.png;CIS3SID=489E5B4585798D7C8A32263AF5E6BAB8?org_id=5h8i3ud8&session_id=7704e96fde69e13e87b0b970a66c2be6&nonce=57b1f089b1bdb551&jf=363336267361665d726e66357464705f7f605253576b4e4b674f6d4f494569,400,0.0,,,,,
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MjE5MSZ0bD0yNTkyMDA=&piggybackCookie=YmLHPAAD42jUjAAZ&_test=YmLHPAAD42jUjAAZ,549,1.0,,,,,
?random=1650640700398&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650640700398&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
tap.php?v=7941&nid=2243&put=YmLHPAAD4yTaMQAZ&expires=90&_test=YmLHPAAD4yTaMQAZ,786,42.0,,,,,
sd?cc=1&id=537148856&val=YmLHPAAD37-QagAZ&_test=YmLHPAAD37-QagAZ,61,43.0,,,,,
pixel?google_nid=g8f47s39e399f3fe&google_push&google_sc&google_hm=WW1MSFBBQUQ0amplVXdBWg==&_test=YmLHPAAD4jjeUwAZ,188,170.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-84221228-1&cid=2128059186.1650640700&jid=143024455&_u=YEBAAUAAAAAAAC~&z=260978062,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-84221228-1&cid=2128059186.1650640700&jid=143024455&_u=YEBAAUAAAAAAAC~&z=260978062,107,42.0,72.0,72.0,72.0,72.0,72
Graphic.php?IM=IM_3yKp2nFO4GPtXrD,2108,1595.0,618.0,592.0,512.0,428.0,344
rum?cm_dsp_id=88&external_user_id=YmLHPAAD4uTX5wAZ&_test=YmLHPAAD4uTX5wAZ&C=1,1003,43.0,,,,,
setuid?entity=158&code=YmLHPQAD4o-yYgAZ&_test=YmLHPQAD4o-yYgAZ,1026,43.0,,,,,
