img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.getintopc.com/,335,0.0,,,,,
stains_texture_background_dark_50791_1920x1080.jpg,81069,80628.0,51378.0,46440.0,32384.0,19748.0,10836
bg.png,854,499.0,592.0,580.0,572.0,694.0,520
shadow.png,4146,3790.0,3268.0,3272.0,3268.0,3270.0,3268
bg-nav.png,450,96.0,68.0,66.0,66.0,64.0,62
nav-a.png,1042,687.0,368.0,370.0,364.0,338.0,320
icons.png,12402,12035.0,6268.0,6154.0,5678.0,5208.0,4614
nav-div.png,426,72.0,52.0,52.0,50.0,50.0,50
mystique_media_icons.png,14855,14488.0,6268.0,6154.0,5678.0,5208.0,4614
bg-main-r.jpg,12744,12376.0,2706.0,2676.0,2628.0,2546.0,2410
bg-main-l.jpg,2662,2305.0,398.0,392.0,378.0,350.0,340
post-std.png,3070,2714.0,1252.0,1350.0,1148.0,1008.0,932
search.png,6342,5985.0,1546.0,1538.0,1354.0,1218.0,1008
block-t.png,5346,4989.0,1834.0,1836.0,1744.0,1724.0,1624
Microsoft-Windows-10-April-2022-Free-Download-GetintoPC.com_-150x150.jpg.webp,1687,1330.0,1334.0,1326.0,1188.0,778.0,634
FoneGeek-iPhone-Passcode-Unlocker-Free-Download.png.webp,4804,4446.0,3706.0,3518.0,2526.0,2252.0,1568
Microsoft-Windows-Server-2022-April-2022-Free-Download-GetintoPC.com_-150x150.jpg.webp,1120,764.0,764.0,760.0,672.0,480.0,390
Pixarra-TwistedBrush-Pro-Studio-2022-Free-Download-GetintoPC.com_-150x150.jpg.webp,3701,3344.0,3346.0,3282.0,2952.0,2164.0,1476
FaceGen-Artist-Pro-2022-Free-Download-GetintoPC.com_-150x150.jpg.webp,4105,3748.0,3748.0,3680.0,3288.0,2460.0,1708
donate-Getintopc.com_-300x107.png.webp,6136,5778.0,4778.0,4592.0,3364.0,2778.0,1886
vpnb.jpg.webp,9373,9006.0,8932.0,8792.0,7584.0,5104.0,2782
Getintopc.com-twitter.png.webp,936,580.0,482.0,472.0,348.0,296.0,202
Getintopc.com-rss-subscribe.png.webp,1030,674.0,562.0,540.0,394.0,338.0,216
Subscribe-GetintoPC.png.webp,4610,4252.0,3418.0,3276.0,2412.0,1992.0,1320
bg-nav-d.png,446,92.0,78.0,70.0,70.0,70.0,62
Artweaver-Plus-2022-Free-Download-GetintoPC.com_-150x150.jpg.webp,1996,1638.0,1622.0,1588.0,1404.0,942.0,708
Submit-Request-Getintopc.png.webp,2351,1994.0,1642.0,1536.0,1266.0,1016.0,708
alexa_getintopc.com_.png.webp,5178,4820.0,3990.0,3872.0,2942.0,2510.0,1716
pageTransferSize,289997,,,,,,
totalByteWeight,617386,,,,,,
