img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.globo.com/,107138,636865.0,72.0,72.0,72.0,72.0,72
notifications-24-px.svg,680,737.0,72.0,72.0,72.0,72.0,72
g1.svg,982,1309.0,,,,,
oglobo.svg,981,1313.0,,,,,
valor.svg,1507,2522.0,,,,,
ge.svg,1342,2233.0,,,,,
cartolafc.svg,1321,2250.0,,,,,
globoplay.svg,2734,6067.0,72.0,72.0,72.0,72.0,72
gshow.svg,963,1395.0,,,,,
quem.svg,2831,5338.0,,,,,
receitas.svg,806,978.0,,,,,
back-button.svg,563,211.0,,,,,
grupoGlobo.svg,873,1497.0,72.0,72.0,72.0,72.0,72
menu-button.svg,513,558.0,,,,,
logo-globoplay.svg,7765,18218.0,72.0,72.0,72.0,72.0,72
logo-deezer.svg,1683,3060.0,,,,,
logo-premiere.svg,2974,5702.0,72.0,72.0,72.0,72.0,72
header-grid-logo.svg,1992,3620.0,,,,,
icon-search.svg,617,264.0,,,,,
icon-close-search.svg,682,329.0,,,,,
topglobo.svg,725,750.0,72.0,72.0,72.0,72.0,72
topglobo.svg,709,721.0,72.0,72.0,72.0,72.0,72
globocom-footer-logo.svg,1611,3130.0,,,,,
globocom-footer-icon.svg,794,1032.0,,,,,
52012139227-60260b471a-o.jpg,168653,168128.0,72.0,72.0,72.0,72.0,72
52019416612-0b3ca7b7e0-k.jpg,43596,43208.0,72.0,72.0,72.0,72.0,72
gettyimages-1388008441.jpg,26506,26136.0,10160.0,9654.0,7866.0,5646.0,3892
daniel-silveira.jpg,22140,21770.0,8458.0,8130.0,6114.0,4568.0,3254
globo-canal-5-10-frame-305364.jpeg,46416,46020.0,72.0,72.0,72.0,72.0,72
min-sau-emer.png,83954,83522.0,26244.0,25392.0,20552.0,14220.0,9210
10507355.jpg,60100,59694.0,38344.0,36980.0,29608.0,20020.0,12700
academicos-do-tucuruvi-2.jpg,117206,116736.0,42958.0,41342.0,33020.0,23650.0,15818
destaq-home-sabrina.png,44261,43874.0,26552.0,25264.0,20412.0,14518.0,9544
valor.svg,2036,4186.0,,,,,
globoplay.svg,2367,4687.0,72.0,72.0,72.0,72.0,72
arrow-left.svg,538,185.0,,,,,
arrow-right.svg,536,185.0,,,,,
a-ilha-da-fantasia.png,56978,56580.0,72.0,72.0,72.0,72.0,72
amar-a-morte.png,22327,21964.0,19152.0,18380.0,12492.0,7106.0,4148
the-good-doctor.png,9645,9292.0,72.0,72.0,72.0,72.0,72
premiere.png,18465,18104.0,16462.0,16030.0,13398.0,9544.0,6386
logo_premiere.png,1446,1096.0,16462.0,16030.0,13398.0,9544.0,6386
disney.png,12717,12362.0,11082.0,10614.0,8368.0,5202.0,3346
logo_disney.png,3939,3589.0,11082.0,10614.0,8368.0,5202.0,3346
gigagloob.png,8904,8550.0,8064.0,7728.0,6760.0,4622.0,3230
logo_gigagloob.png,3370,3020.0,8064.0,7728.0,6760.0,4622.0,3230
telecine.png,21600,21228.0,72.0,72.0,72.0,72.0,72
logo_telecine.png,1850,1498.0,744.0,746.0,744.0,744.0,742
discovery.png,10976,10622.0,9494.0,9042.0,7142.0,4186.0,2556
logo_discovery.png,4021,3671.0,9494.0,9042.0,7142.0,4186.0,2556
deezer.png,28609,28238.0,72.0,72.0,72.0,72.0,72
logo_deezer.png,2099,1749.0,862.0,862.0,860.0,858.0,860
post-video-duration.svg,549,197.0,72.0,72.0,72.0,72.0,72
arrow.svg,517,164.0,,,,,
10507159,15623,15272.0,8440.0,8012.0,6126.0,3948.0,2652
10507156,66249,65834.0,37986.0,36620.0,29664.0,19698.0,13022
10506680,50025,49628.0,27896.0,26588.0,20866.0,14230.0,9128
10506487,18291,17930.0,10104.0,9638.0,7394.0,5190.0,3562
10507218,44812,44424.0,25072.0,24324.0,19630.0,13498.0,8806
aries.svg,1448,2137.0,,,,,
libra.svg,942,1063.0,,,,,
scorpio.svg,1975,3257.0,72.0,72.0,72.0,72.0,72
sagittarius.svg,857,886.0,,,,,
capricorn.svg,1325,1879.0,72.0,72.0,72.0,72.0,72
aquarius.svg,989,1160.0,,,,,
pisces.svg,1552,2343.0,72.0,72.0,72.0,72.0,72
taurus.svg,1206,1611.0,,,,,
gemini.svg,1366,2065.0,,,,,
cancer.svg,1966,3213.0,,,,,
leo.svg,1296,1760.0,,,,,
virgo.svg,1080,1335.0,,,,,
10506161,46617,46232.0,18998.0,18290.0,14270.0,10064.0,6804
10507892,34181,33804.0,11046.0,10586.0,7984.0,5578.0,3732
10506293,41496,41110.0,16734.0,15828.0,12314.0,8852.0,5660
10506402,22868,22510.0,8404.0,8006.0,6114.0,4378.0,3028
10507174,58271,57866.0,,,,,
bbb22-220422-102213.jpg,34912,34534.0,11328.0,10800.0,8748.0,5922.0,4016
bbb22-220422-032737.jpg,48562,48174.0,72.0,72.0,72.0,72.0,72
pedro.png,26065,25696.0,22960.0,22008.0,17526.0,11752.0,7524
user.svg,749,698.0,,,,,
nonlogged-button.svg,801,750.0,,,,,
conta-globo-login.svg,3696,7410.0,,,,,
description-login.svg,7163,27026.0,72.0,72.0,72.0,72.0,72
globo_produtos.png,22152,21779.0,10866.0,10296.0,8348.0,6254.0,3998
bolsonaro-americana.jpg,75073,74646.0,72.0,72.0,72.0,72.0,72
renata-lo-prete-andreia-sadi.jpeg,23670,23308.0,8142.0,7850.0,6118.0,4148.0,2814
2022-04-18t152651z-1-lynxnpei3h0f9-rtroptp-3-at-least-10-killed-after-russian-missile-hits-kharkiv.jpg,54175,53776.0,27276.0,26292.0,21236.0,14324.0,8890
prf.png,8872,8520.0,5458.0,5222.0,4168.0,3162.0,2274
pequena_lo_sonza_e_vitor_kley.jpg,35243,34864.0,25824.0,24814.0,19476.0,12844.0,8062
1545.jpg,54066,53670.0,39128.0,37398.0,30134.0,18952.0,11804
b2?c1=2&c2=6035227&cs_it=b2&cv=3.8.0.210223&ns__t=1650642814853&ns_c=UTF-8&c7=https%3A%2F%2Fwww.globo.com%2F&c8=globo.com%20-%20Absolutamente%20tudo%20sobre%20not%C3%ADcias%2C%20esportes%20e%20entrete,191,0.0,72.0,72.0,72.0,72.0,72
horizon-pageview?object=http%3A%2F%2Fwww.globo.com%2F&Referrer=&tags=portal&client_version=0.3.11,238,0.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1969779100&t=pageview&_s=1&dl=https%3A%2F%2Fwww.globo.com%2F&ul=en-us&de=UTF-8&dt=globo.com%20-%20Absolutamente%20tudo%20sobre%20not%C3%ADcias%2C%20esportes%20e%20entretenimento&s,55,35.0,72.0,72.0,72.0,72.0,72
ping?h=globo.com&p=%2F&u=CDXm6cDu4n51DSMcCv&d=globo.com&g=66123&g0=No%20Section&g1=No%20Author&n=1&f=00001&c=0&x=2592&m=2592&y=17247&o=360&w=640&j=45&R=1&W=0&I=0&E=0&e=0&r=&b=17120&t=DfjCiWDbMPnzB0jbZ,201,43.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-296593-2&cid=28161102.1650642816&jid=83596129&_u=YCDAgEABAAAAAE~&z=182494998,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-296593-2&cid=28161102.1650642816&jid=83596129&_u=YCDAgEABAAAAAE~&z=182494998,501,42.0,72.0,72.0,72.0,72.0,72
?random=1650642817176&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650642817176&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650642817182&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dpage_vi,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650642817182&cv=9&fst=1650639600000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dpage_vi,64,42.0,72.0,72.0,72.0,72.0,72
p?c1=9&c2=8188709&cs_xi=Oyz1ZNNw&rn=1650642818,357,43.0,72.0,72.0,72.0,72.0,72
379708.gif?partner_uid=Oyz1ZNNw,449,42.0,72.0,72.0,72.0,72.0,72
token?pid=27384&puid=krux_id&gdpr=0,656,0.0,72.0,72.0,72.0,72.0,72
data.gif?_kuid%3DOyz1ZNNw%26_kdpid%3D2dd640a6-6ebd-4d4f-af30-af8baa441a0d%26dlxid%3D%3Cna_id%3E%26dlxdata%3D%3Cna_da%3E,0,0.0,72.0,72.0,72.0,72.0,72
trk?tA=TT-12842-2&tJ=_channel:g-homepage:1&tK=1650642819&tM=direct&tL=direct&tN=direct&tY=3&tZ=651232707,604,70.0,92.0,92.0,92.0,90.0,88
pixel.gif?source=smarttag&fired=report&confid=J2lZajxx&_kpid=5007d44e-09d1-49b7-8c99-6b1cc38c3cbc&_kcp_s=Barra&_kcp_d=www.globo.com&_knifr=4&_kua_kx_tz=-300&geo_country=pk&geo_region=pb&_kua_kx_lang=e,337,0.0,72.0,72.0,72.0,72.0,72
usermatch.gif?_kuid=Oyz1ZNNw&partner=bluekai&bk_uuid=$_BK_UUID,338,0.0,72.0,72.0,72.0,72.0,72
