img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.icicibank.com/,61571,446733.0,,,,,
icici-icon.svg,35678,46652.0,,,,,
google_play.png,1796,1144.0,1156.0,1142.0,1046.0,928.0,792
logo.png,4262,3654.0,1722.0,1680.0,1600.0,1468.0,1334
rivilege.svg,3014,6336.0,,,,,
close-icon.svg,873,448.0,,,,,
india.svg,1111,1273.0,,,,,
bahrain.svg,851,485.0,,,,,
canada.svg,1168,1065.0,,,,,
china.svg,1412,1599.0,,,,,
germany.svg,777,228.0,,,,,
hong-kong.svg,2447,5893.0,,,,,
Singapore.svg,1436,1777.0,,,,,
uk.svg,959,605.0,,,,,
us.svg,1964,8845.0,,,,,
europe.svg,2243,5412.0,,,,,
UAE.svg,1963,2171.0,,,,,
red_close-icon.svg,1212,1692.0,,,,,
doAnythingCampaign.svg,2795,7129.0,,,,,
imobile.svg,5546,6710.0,,,,,
digital-banking.svg,4051,9621.0,,,,,
user-icon.svg,953,742.0,,,,,
user-icon-o.svg,939,727.0,,,,,
key-icon.svg,1101,918.0,,,,,
key-icon-o.svg,1138,912.0,,,,,
conatct-icon.svg,2069,3380.0,,,,,
bank-icon-o.svg,946,675.0,,,,,
icon-insta-saving-account.svg,1356,2179.0,,,,,
icon-popularsaving-account.svg,826,508.0,,,,,
icon-privilege-account.svg,867,822.0,,,,,
icon-special-account.svg,1087,822.0,,,,,
icon-woman-account.svg,946,710.0,,,,,
icon-family-account.svg,1171,1662.0,,,,,
icon-fd.svg,956,849.0,,,,,
icon-rd.svg,1120,1345.0,,,,,
icon-iwish-rd.svg,784,400.0,,,,,
icon-forex_service.svg,964,928.0,,,,,
icon-forex_prepaid.svg,2031,4646.0,,,,,
icon-send_money_abroad.svg,1002,1146.0,,,,,
icon-student_service.svg,864,861.0,,,,,
icon-online_forex.svg,903,931.0,,,,,
icon-internet_banking.svg,857,1055.0,,,,,
icon-mobile_banking.svg,804,597.0,,,,,
icon-find-ATM-branch.svg,769,498.0,,,,,
icon-other_channels.svg,1347,2324.0,,,,,
icon-calculators.svg,926,1007.0,,,,,
icon-interact_bloges.svg,884,670.0,,,,,
card-icon-o.svg,1200,1517.0,,,,,
icon-instant_card.svg,2010,4646.0,,,,,
icon-special_card.svg,853,528.0,,,,,
icon-credit_card_rewards.svg,930,751.0,,,,,
icon-featured_card.svg,2057,4646.0,,,,,
icon-emi_on_credit_card.svg,2031,4646.0,,,,,
icon-special_offers.svg,2604,4983.0,,,,,
icon-feature_debit_cards.svg,2109,4646.0,,,,,
icon-emi_on_debit_card.svg,2031,4646.0,,,,,
icon-generate-atm-pin.svg,869,450.0,,,,,
icon-special_offers.svg,2605,4983.0,,,,,
icon-prepaid_card.svg,2030,4646.0,,,,,
icon-forex_prepaid_card.svg,2030,4646.0,,,,,
icon-paydirect_card.svg,2010,4646.0,,,,,
icon-fastag.svg,1321,1517.0,,,,,
icon-multi-wallet-prepaid-card.svg,775,439.0,,,,,
loan-icon-o.svg,2512,4772.0,,,,,
