img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.kizlarsoruyor.com/,55574,236734.0,,,,,
kizlarsoruyor-logo.png,5943,5542.0,6336.0,6176.0,5548.0,4732.0,3914
thumb-672-378.jpg?0,39460,38940.0,27326.0,23858.0,18986.0,15262.0,9632
kizlarsoruyor-bayrak-mobile.png,12743,12318.0,7078.0,6910.0,6250.0,5502.0,4588
error-girl.png,893,518.0,530.0,510.0,444.0,348.0,250
error-guy.png,897,468.0,466.0,442.0,364.0,282.0,214
thumb-672-378.jpg?76,42993,42068.0,26990.0,25890.0,20694.0,15456.0,10072
preloader_gag.svg,826,1923.0,,,,,
anonymous_girl@2x.png,2511,2106.0,866.0,810.0,696.0,532.0,380
Pinar_Label.png,2302,1908.0,1846.0,1784.0,1552.0,1282.0,946
kbo-label.png,3371,2704.0,4190.0,4128.0,3844.0,3476.0,3098
thumb.jpg?7,2452,1861.0,1330.0,1286.0,1078.0,844.0,576
thumb.jpg?1,1410,976.0,690.0,612.0,496.0,404.0,278
thumb-672-378.jpg?9,92332,91669.0,68006.0,64946.0,52750.0,37796.0,19898
thumb-app.jpg?3,3863,3450.0,2444.0,2190.0,1822.0,1408.0,1084
thumb-672-378.jpg?46,35731,35223.0,13916.0,12856.0,9714.0,6646.0,4224
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-5LJNNW1JXT&cid=935396306.1650724564&gtm=2oe4k0&aip=1&z=629218979,501,42.0,72.0,72.0,72.0,72.0,72
tr.png,3161,3057.0,1908.0,1856.0,1608.0,1362.0,1012
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
l?ebcid=ALh7CaRfvwbzg4UnfRT3OmWsGEsOWLKLDwMlL7MJ65aD-enZCmELtmZ0oRjFpnOYWwY50bmu1b5mI8ycR4a4XXCuYgo1NJUXJA,0,0.0,,,,,
adview?ai=CI_IU1A5kYrKeCcGZxgKm266gCouli9Jp5YTSlcUPwI23ARABILaF8j9gy9y0BaABmf2prijIAQGpAjQ1up9pNXI-4AIAqAMByAMKqgSAAk_QQ1d4b8SzA89HdvhvDcA8xtGm9c2rfIX4duD6KGGSVHRUJKbIO-KP02E6wxKnQ93Hp6pB6JZXyr0LLK-QS,0,0.0,,,,,
si?st=NO_DATA,0,0.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-20345230-1&cid=935396306.1650724564&jid=1602410168&_u=6CDAgEAjAAQCAE~&z=1459153510,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-20345230-1&cid=935396306.1650724564&jid=1602410168&_u=6CDAgEAjAAQCAE~&z=1459153510,63,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1209040,,,,,,
totalByteWeight,3057859,,,,,,
