img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.kontan.co.id/,20538,96691.0,72.0,72.0,72.0,72.0,72
insight.jpg,33823,33401.0,14392.0,13588.0,11216.0,8188.0,5304
logo-putih.png,10852,10458.0,72.0,72.0,72.0,72.0,72
1966454616p.jpg,33250,32842.0,72.0,72.0,72.0,72.0,72
336474210p.jpg,27199,26801.0,15624.0,14784.0,11802.0,9308.0,6240
1731609016p.jpg,36560,36157.0,72.0,72.0,72.0,72.0,72
logo_insight70.png,13450,13056.0,6222.0,6210.0,6174.0,6136.0,6094
loader.gif,19252,18838.0,2910.0,2876.0,2642.0,2382.0,2098
icon-search-1.png,1837,1452.0,72.0,72.0,72.0,72.0,72
arrow-kanan20.png,1485,1102.0,72.0,72.0,72.0,72.0,72
arrow-kiri20.png,1475,1092.0,154.0,154.0,154.0,154.0,154
collect?v=1&_v=j96&a=1479154718&t=pageview&_s=1&dl=https%3A%2F%2Fwww.kontan.co.id%2F&ul=en-us&de=UTF-8&dt=Kontan%20%3A%20Berita%20Investasi%2C%20Bisnis%2C%20Ekonomi%20Indonesia&sd=24-bit&sr=360x640&vp,55,35.0,44.0,44.0,44.0,44.0,44
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Kontan%20%3A%20Berita%20Investasi%2C%20Bisnis%2C%20Ekonomi%20Indonesia&time=1650687087187&time_zone_offset=-300&screen_params=360x640x24&java_e,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,72.0,72.0,72.0,72.0,72
arrow_daftar.png,1094,711.0,72.0,72.0,72.0,72.0,72
b2?c1=2&c2=8077308&ns__t=1650687086754&ns_c=UTF-8&c8=Kontan%20%3A%20Berita%20Investasi%2C%20Bisnis%2C%20Ekonomi%20Indonesia&c7=https%3A%2F%2Fwww.kontan.co.id%2F&c9=,190,0.0,72.0,72.0,72.0,72.0,72
?id=525085630997607&ev=fb_page_view&dl=https%3A%2F%2Fwww.kontan.co.id%2F&rl=&if=false&ts=1650687087527&sw=360&sh=640&at=,408,44.0,72.0,72.0,72.0,72.0,72
dfead2ec8f414f115349200f3efce93573e03b04,81493,80540.0,7538.0,7178.0,5546.0,4124.0,2690
2ce6e3d58e9e50919b33171e37d65c51cb38e99a,126823,125862.0,53916.0,50914.0,41194.0,30112.0,20276
imp?adspot_id=MjI2OjE2MTI5&dat=eBRTdz_uj-aMSpSvSaVi1gMxbr9NAA94s08L8hMyXFXP5ThhV-B4Mgjfk-EE8pt3NAklemUKUJNTu-7aKPof3wQA2OR_BKMyJsaYFjQxFhNkCo-EXa9CTpqiz9dlFJxmMFP-ZIUhJdEq1w0P9rdGs4SoIbEozSyMZmaoj4ht5,313,43.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-9647240-1&cid=1508110293.1650687087&jid=1660196343&_u=YCDAgEABAAAAAE~&z=135620944,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-9647240-1&cid=1508110293.1650687087&jid=1660196343&_u=YCDAgEABAAAAAE~&z=135620944,501,42.0,72.0,72.0,72.0,72.0,72
1580110023t.jpg,4026,3662.0,2706.0,2568.0,2134.0,1654.0,1072
1679147419t.jpg,5419,5056.0,72.0,72.0,72.0,72.0,72
812744600t.jpg,8072,7710.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1479154718&t=pageview&_s=1&dl=https%3A%2F%2Fwww.kontan.co.id%2F&ul=en-us&de=UTF-8&sd=24-bit&sr=360x640&vp=360x640&je=0&_u=YCDAiEABBAQCAE~&jid=1116339&gjid=2096893641&cid=150811029,55,35.0,44.0,44.0,44.0,44.0,44
2130345794408456593?,30641,30515.0,21290.0,20022.0,15924.0,12236.0,7816
3469669091316893048?,315097,314348.0,61310.0,57912.0,44650.0,32718.0,20678
google?google_gid=CAESELHu8Bv6ay9UUhYoo-N1qqs&google_cver=1,207,35.0,44.0,44.0,44.0,44.0,44
usersync?partner=appnexus&uid=$UID,689,43.0,72.0,72.0,72.0,72.0,72
match2?DSPR=%7B%22v%22:1%22dr%22:%7B%22t%22:%2220220423%22%22u%22:%2240946238.1650687088785%22%7D%7D,493,0.0,,,,,
p-25CIknq_eSg16.gif?idmatch=0&gdpr=0,373,35.0,44.0,44.0,44.0,44.0,44
pixel?google_nid=openx&google_hm=MjQzYzFiNDEtNWM3NS02MDI5LTcyNTEtMmM4OTIxYmRkMTVm,502,170.0,88.0,88.0,88.0,84.0,80
c.gif?xid=3917650082458770933140&Red3=TLMS_pd,595,42.0,72.0,72.0,72.0,72.0,72
sd?id=537072971&val=dddb4c9c-e4a3-4c28-bc28-ba6fa69f32ae&ttd_puid=0853c88b-9502-3e8d-67b1-7630eb5f1f3f&gdpr=0&gdpr_consent=,323,43.0,44.0,44.0,44.0,44.0,44
sd?id=537072991&val=CAESEAh0SWJhiV0aFPffgAHdQVE&google_cver=1,106,43.0,44.0,44.0,44.0,44.0,44
pixel?google_nid=triplelift&gdpr=0&gdpr_consent=&us_privacy=&google_hm=MzkxNzY1MDA4MjQ1ODc3MDkzMzE0MA%3D%3D,243,170.0,88.0,88.0,88.0,84.0,80
xuid?mid=5989&xuid=CAESELSX8nMGE_Hs-2jkLbr4dzI&dongle=c627&gdpr=0&gdpr_consent=&google_cver=1,354,37.0,72.0,72.0,72.0,72.0,72
ebda?gdpr=0&gdpr_consent=,139,37.0,72.0,72.0,72.0,72.0,72
xuid?mid=3658&xuid=dddb4c9c-e4a3-4c28-bc28-ba6fa69f32ae&dongle=0cfd,354,37.0,72.0,72.0,72.0,72.0,72
Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9ODA2JnRsPTUxODQwMA==&piggybackCookie=uid:$UID&gdpr=0&gdpr_consent=,612,43.0,72.0,72.0,72.0,72.0,72
p-5aWVS_roA1dVM.gif?idmatch=0&gdpr=0&gdpr_consent=,211,35.0,44.0,44.0,44.0,44.0,44
CDB0C6D1-7311-4D9B-BF94-A46FF93EDE85?gdpr=0&gdpr_consent=,986,43.0,72.0,72.0,72.0,72.0,72
sync?ssp=pubmatic&gdpr=0&gdpr_consent=,235,43.0,72.0,72.0,72.0,72.0,72
sd?id=536872786&val=65e46263-7c73-4600-8fc9-45ac76d8d7a2,61,43.0,44.0,44.0,44.0,44.0,44
xuid?mid=2662&xuid=y-aWetAPZE2oQmyJY98npme4C2grmaOrWg.2gO8AkXpg--~A&dongle=0883,354,37.0,72.0,72.0,72.0,72.0,72
user_sync.html?p=156578&predirect=,14580,14580.0,72.0,72.0,72.0,72.0,72
