img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.lazada.co.th/,42720,259876.0,72.0,72.0,72.0,72.0,72
38a58998-6805-4240-a150-c5591a140c13.jpg_760x760Q50s150.jpg,35588,35045.0,22580.0,21556.0,18120.0,13678.0,9094
9d78cd14-05ee-43ba-a360-61f895a70aef.png,13919,13487.0,2694.0,2598.0,2328.0,2082.0,1744
ef15815c-f183-435e-b05c-63a38917d438.png,9781,9357.0,1790.0,1752.0,1622.0,1502.0,1390
1b84b613-5cb8-49e8-949b-13ae1e660132.png,19918,19464.0,4048.0,3912.0,3494.0,3030.0,2580
788e34e3-7469-47d3-a972-3cccc5f18fc6.png,11987,11551.0,2056.0,1996.0,1828.0,1674.0,1478
a6a7c920-404d-47bc-b4a3-c79154048fea.png,25346,24875.0,4612.0,4470.0,3980.0,3414.0,2856
TB1g8fpm7zoK1RjSZFlXXai4VXa-56-56.png,984,609.0,922.0,904.0,834.0,762.0,686
TB1JkVjNKL2gK0jSZPhXXahvXXa-51-51.png,1281,674.0,566.0,542.0,516.0,492.0,472
TB1wkpOf5qAXuNjy1XdXXaYcVXa-720-720.png_200x200.jpg,1252,593.0,242.0,234.0,216.0,178.0,152
O1CN01Y3c8hr1nzmm59KVPu_!!6000000005161-1-tps-100-100.gif,94683,94076.0,72.0,72.0,72.0,72.0,72
60187d15-99ac-46d0-bcd2-57ef17d81ee0.jpg_720x720q80.jpg,31766,30997.0,17118.0,16498.0,13414.0,10668.0,7420
947c645a-6627-426c-875f-bedbaa95c7ea.jpg_720x720q80.jpg,42274,41480.0,18528.0,17546.0,14198.0,10748.0,7184
9b741c5e-e727-4a7f-bea9-6dc5fc4f1b90.jpg_720x720q80.jpg,54138,53306.0,23788.0,22590.0,18538.0,14076.0,9266
260af39a-65a7-4bd4-9545-d6155f490000.jpg_720x720q80.jpg,33546,32767.0,13962.0,13104.0,10730.0,8140.0,5542
347ede9c-e041-4262-9652-74b8cc090749.jpg_720x720q80.jpg,43222,42425.0,21326.0,20366.0,17016.0,13448.0,9112
TB1cshP48r0gK0jSZFnXXbRRXXa.jpg,22835,22408.0,72.0,72.0,72.0,72.0,72
b4d13d7836efc70fafedd710b957df58.jpg_150x150q80.jpg_.webp,2057,1376.0,1228.0,1184.0,942.0,688.0,476
4cf02efeb955f7ce152c21b26dd38025.jpg_150x150q80.jpg_.webp,2347,1662.0,1474.0,1408.0,1228.0,866.0,648
aHR0cHM6Ly9jZi5zaG9wZWUuY28udGgvZmlsZS9kMDhlYTRiNGZiYjk4ODdjOTc1ZjQ3NzU4ZjRhMTM0Mg==_150x150q80.jpg_.webp,5891,5158.0,4692.0,4488.0,3522.0,2218.0,1348
038a0a1f4b2c910907db05cd1cea933c.jpg_150x150q80.jpg_.webp,5072,4382.0,1114.0,1068.0,852.0,612.0,446
df28662c1a7fe1fcbdab8fb9ef893dcf.jpg_150x150q80.jpg_.webp,2681,1992.0,1800.0,1734.0,1362.0,884.0,602
3e489400a5f8b1c3ee2698ce203b2bcc.jpg_150x150q80.jpg_.webp,2030,1342.0,1194.0,1130.0,956.0,692.0,476
45cfc195738846c769f090a963386d36.jpg_150x150q80.jpg_.webp,2466,1782.0,1600.0,1526.0,1318.0,946.0,668
637c2d3582d0a53442990696dd48ccb8.jpg_150x150q80.jpg_.webp,3061,2384.0,2124.0,2014.0,1592.0,1042.0,672
6f94371c908c5cbbba78136ad43c6cde.jpg_150x150q80.jpg_.webp,1835,1156.0,1042.0,988.0,788.0,568.0,396
3bc55903623ed62723eb131e5a059e7e.jpg_340x340q80.jpg_.webp,11310,10614.0,9482.0,9068.0,7172.0,4818.0,3112
00569c656909ce15015782eb4fd70a53.jpg_340x340q80.jpg_.webp,14342,13632.0,12422.0,11946.0,9608.0,6610.0,4124
545f41ac550e150085529d811b87336b.jpg_340x340q80.jpg_.webp,12814,12110.0,10454.0,9962.0,7420.0,4222.0,2432
S4c9d802592ef4b6a9fd732ca001ec40dU.jpg_340x340q80.jpg_.webp,7885,7264.0,6268.0,6084.0,4722.0,3030.0,1618
TB1P5iqDlr0gK0jSZFnXXbRRXXa.gif,731381,729386.0,368814.0,352566.0,297656.0,232458.0,156160
458f092fea396c8abd5ec633cdeb4ee6.jpg_260x260q80.jpg_.webp,11140,10430.0,9432.0,9034.0,7478.0,5238.0,3494
87c4957d5344393c113d910701452116.jpg_260x260q80.jpg_.webp,16838,16118.0,15036.0,14430.0,12348.0,8174.0,5528
efabd36ae3d34e1cda7feade8070256b.jpg_260x260q80.jpg_.webp,9955,9250.0,8244.0,7750.0,6014.0,3866.0,2376
