img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.lazada.sg/,43308,261974.0,72.0,72.0,72.0,72.0,72
O1CN01mQlo6j1NQMCLxdBMH_!!6000000001564-0-tps-1053-360.jpg_760x760Q50s150.jpg,33210,32734.0,72.0,72.0,72.0,72.0,72
TB1XR3LWBr0gK0jSZFnXXbRRXXa.png,17362,16947.0,3864.0,3768.0,3296.0,2788.0,2214
TB1Esmhllr0gK0jSZFnXXbRRXXa.png,21593,21169.0,4284.0,4144.0,3652.0,2994.0,2286
TB1eh4shKT2gK0jSZFvXXXnFXXa.png,18740,18323.0,3910.0,3758.0,3330.0,2784.0,2204
TB1lb4xhRr0gK0jSZFnXXbRRXXa.png,15014,14608.0,3168.0,3098.0,2718.0,2306.0,1866
TB1BupyhQT2gK0jSZFkXXcIQFXa.png,16745,16327.0,3830.0,3702.0,3272.0,2766.0,2218
TB1g8fpm7zoK1RjSZFlXXai4VXa-56-56.png,985,609.0,922.0,904.0,834.0,762.0,686
TB1JkVjNKL2gK0jSZPhXXahvXXa-51-51.png,1281,674.0,566.0,542.0,516.0,492.0,472
TB1wkpOf5qAXuNjy1XdXXaYcVXa-720-720.png_200x200.jpg,1253,593.0,242.0,234.0,216.0,178.0,152
O1CN01Y3c8hr1nzmm59KVPu_!!6000000005161-1-tps-100-100.gif,94683,94076.0,72.0,72.0,72.0,72.0,72
O1CN014XLEOj1nMrBNcYjmb_!!6000000005076-0-tps-1053-360.jpg_720x720q80.jpg,54953,54108.0,72.0,72.0,72.0,72.0,72
O1CN01Y6684g1NnG0C1PGn9_!!6000000001614-0-tps-1053-360.jpg_720x720q80.jpg,50244,49397.0,72.0,72.0,72.0,72.0,72
O1CN01uAyJES1LgGiviUIYm_!!6000000001328-0-tps-1053-360.jpg_720x720q80.jpg,38419,37620.0,72.0,72.0,72.0,72.0,72
O1CN01GPUSs81EYkv9tuhhh_!!6000000000364-0-tps-1053-360.jpg_720x720q80.jpg,48035,47219.0,26076.0,24764.0,20296.0,15458.0,10356
O1CN0125vUUt1LsdQBII9ET_!!6000000001355-0-tps-1053-360.jpg_720x720q80.jpg,56126,55285.0,25494.0,24120.0,19676.0,14604.0,9584
13563600-457e-4652-b342-de6f984bae27.png,9136,8717.0,6524.0,6250.0,5368.0,4252.0,2972
6b9955fe57147b93d9da2f4e48211735.jpg_150x150q80.jpg_.webp,2605,1926.0,1722.0,1628.0,1372.0,930.0,600
1bc84f8e6c5cda450abd18abd68ac461.jpg_150x150q80.jpg_.webp,3666,2986.0,2744.0,2608.0,2304.0,1466.0,950
561c7d2f34be30e667d0373d87ed1fac.jpg_150x150q80.jpg_.webp,2837,2158.0,1922.0,1864.0,1424.0,874.0,554
4a6d97dde94c3850fa9eb3914d70347c.jpg_150x150q80.jpg_.webp,3888,3188.0,2934.0,2774.0,2436.0,1614.0,1100
c55664b1b90f306d55a9eef8cfcc9596.jpg_150x150q80.jpg_.webp,3526,2836.0,2562.0,2458.0,2064.0,1522.0,1078
a9b597e812ad68ae1aa72d5ab5436bb1.jpg_150x150q80.jpg_.webp,2114,1430.0,1266.0,1218.0,886.0,616.0,408
d6d0ad7576d92676577a0bed62406e56.png_150x150q80.jpg_.webp,2036,1348.0,1190.0,1168.0,962.0,714.0,514
a7e587eec64e80bb28f9ae71a98bb318.jpg_150x150q80.jpg_.webp,2590,1910.0,1704.0,1622.0,1256.0,908.0,632
e1987098bac8e158c021812f656279a1.jpg_150x150q80.jpg_.webp,5259,4564.0,4178.0,4072.0,3412.0,2192.0,1440
bf865a0b9d9ca79ee3854032b3b10de3.png_340x340q80.jpg_.webp,9922,9232.0,8158.0,7814.0,6192.0,3932.0,2496
670750e779e6e8407fee9b25fff66df7.jpg_340x340q80.jpg_.webp,15381,14658.0,13218.0,12510.0,10238.0,7300.0,4880
TB1r3Rqi2zO3e4jSZFxXXaP_FXa-94-28.png,1396,790.0,1084.0,1050.0,922.0,782.0,588
2c434d3a61a4c0cb9158e58503723ff9.jpg_340x340q80.jpg_.webp,48564,47758.0,40196.0,39056.0,30554.0,21626.0,13014
6ccf1078bda31b74a9f256884fe33377.jpg_340x340q80.jpg_.webp,10793,10086.0,9104.0,8720.0,7498.0,5602.0,3898
TB1j1mZDlr0gK0jSZFnXXbRRXXa.gif,731380,729386.0,368814.0,352566.0,297656.0,232458.0,156160
0f4d4c697419a215a24254e07e43373e.jpg_260x260q80.jpg_.webp,7182,6494.0,5920.0,5694.0,4758.0,3344.0,2276
5e9cfdfad999c052d624ffe450975e12.jpg_260x260q80.jpg_.webp,7840,7146.0,6544.0,6154.0,5340.0,3464.0,2348
