img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.legit.ng/,35554,276253.0,,,,,
logo-header.svg,4677,4405.0,,,,,
7d200573315db998.jpg?impolicy=cropped-image&imwidth=720,21152,20813.0,27130.0,25746.0,20586.0,15588.0,10894
placeholder.gif,210,48.0,,,,,
d99da07198031a13.jpg?impolicy=cropped-image&imwidth=720,32811,32418.0,52204.0,49718.0,39264.0,28476.0,18548
logo-footer.svg,1932,1669.0,,,,,
80x80.png,17274,16864.0,7946.0,7806.0,7370.0,6856.0,6352
mobile_80x60_80x60-05.svg,5895,5534.0,,,,,
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Legit%20Nigeria%20News%20-%20Latest%20Naija%20News%20and%20Updates%20on%20Legit.ng&time=1650720102709&time_zone_offset=-300&screen_params=360x6,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
18?ar=1,628,43.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1378233297&t=pageview&_s=1&dl=https%3A%2F%2Fwww.legit.ng%2F&ul=en-us&de=UTF-8&dt=Legit%20Nigeria%20News%20-%20Latest%20Naija%20News%20and%20Updates%20on%20Legit.ng&sd=24-bit&sr=36,55,35.0,44.0,44.0,44.0,44.0,44
pixel;r=422168870;source=choice;rf=0;a=p-BC5PEEEd0P8Nw;url=https%3A%2F%2Fwww.legit.ng%2F;uht=2;fpan=1;fpa=P0-315164251-1650720103258;pbc=;ns=0;ce=1;qjs=1;qv=a98acd33-20220316110313;cm=;gdpr=0;us_priva,372,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-30373428-1&cid=1863544296.1650720103&jid=2054179046&_u=YGBAgUABCAQCAE~&z=649376427,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-30373428-1&cid=1863544296.1650720103&jid=2054179046&_u=YGBAgUABCAQCAE~&z=649376427,501,42.0,72.0,72.0,72.0,72.0,72
25de5e05e42dc1b2.png?impolicy=cropped-image&imwidth=190,6464,6175.0,55682.0,52640.0,42356.0,32466.0,21884
5568a16865922549.jpg?impolicy=cropped-image&imwidth=190,5413,5132.0,36550.0,33992.0,27136.0,20552.0,14422
32418174d70561b4.jpg?impolicy=cropped-image&imwidth=190,7132,6834.0,88270.0,83572.0,66318.0,50878.0,33210
027346e5ebae67d7.jpeg?impolicy=cropped-image&imwidth=720,35348,34985.0,40600.0,38230.0,29816.0,22680.0,14892
213d11a8e3544690.png?impolicy=cropped-image&imwidth=720,17762,17445.0,21630.0,20268.0,16080.0,12246.0,8634
d9505f522f2a5d61.png?impolicy=cropped-image&imwidth=720,26718,26383.0,27676.0,25778.0,20198.0,14664.0,9726
44bd6445a1a672d6.jpg?impolicy=cropped-image&imwidth=720,47708,47262.0,86052.0,81808.0,64158.0,48156.0,31026
https%3A%2F%2Fs.amazon-adsystem.com%2Fecm3%3Fex%3Dbeeswax.com%26id%3D%24UID?gdpr=0,184,0.0,72.0,72.0,72.0,72.0,72
