img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.lotterypost.com/,622,0.0,,,,,
logo-2x.png,30099,29688.0,,,,,
icon-share.svg,566,328.0,,,,,
newsicon_international.jpg,12815,12301.0,6140.0,5880.0,4858.0,3818.0,2630
newsicon_megamillions.jpg,18758,18243.0,10388.0,9974.0,8216.0,6420.0,4382
newsicon_powerball.jpg,13520,13153.0,7338.0,7008.0,6018.0,4858.0,3440
newsicon_ialottery.jpg,14650,14138.0,7448.0,7120.0,5968.0,4764.0,3312
newsicon_nclottery.jpg,18443,17888.0,6670.0,6252.0,5306.0,4128.0,2860
newsicon_milottery.jpg,13195,12668.0,7212.0,6880.0,5864.0,4598.0,3258
facebook.svg,577,332.0,,,,,
twitter.svg,585,370.0,,,,,
youtube.svg,566,358.0,,,,,
logo-navpanel-2x.png,38804,38340.0,,,,,
instagram.svg,1527,2801.0,,,,,
b.gif,414,43.0,72.0,72.0,72.0,72.0,72
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Lottery%20Post&time=1650744760820&time_zone_offset=-300&screen_params=360x640x24&java_enabled=0&cookie_enabled=1&ref_url=&host_url=https%3A%2F%,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
__utm.gif?utmwv=5.7.2dc&utms=1&utmn=2078658241&utmhn=m.lotterypost.com&utmcs=UTF-8&utmsr=360x640&utmvp=360x640&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Lottery%20Post&utmhid=1122375067&utmr=-&ut,198,35.0,44.0,44.0,44.0,44.0,44
pixel;r=358364424;rf=0;a=p-7alUP9zu-TfBA;url=https%3A%2F%2Fm.lotterypost.com%2F;uht=2;fpan=1;fpa=P0-639471758-1650744761342;pbc=;ns=0;ce=1;qjs=1;qv=a98acd33-20220316110313;cm=;gdpr=0;ref=;d=lotterypos,372,35.0,,,,,
l?ebcid=ALh7CaTkKr2MZdaZ9kw8atVXmcUgX-8dxOyfvVFFmeq45eoMMs1leoAPzrqJcYjoc25JAeqF81CW,0,0.0,,,,,
7707906854526294616,41575,41205.0,,,,,
l?ebcid=ALh7CaSiZXCei-7gC7OkB__b2_0tEYDh02fBeHJl-rxlOEcjI9e48JLrlZ3Jdd4CEE0WPZF-qM1R2bDxtcSTffsP8B53_St7Zg,0,0.0,,,,,
en.png,3088,2982.0,1746.0,1692.0,1468.0,1248.0,926
icon.png,806,344.0,174.0,170.0,146.0,120.0,82
adview?ai=CHSASul1kYtvUCszBzQbpuYqgB4rlwbdojsPkkOwLrM_-keQaEAEg8q2FHGDL3LQFoAGlqMXrA8gBAeACAKgDAcgDCqoE5AFP0CoMcXLJT6XSJ5yz8redZFrxSvQh6vMuT2A_rfpMylkcFffijyENUjN4Z-7n4XVHpP_GcuDsF-VPZDDPg_iFzQLScvUsZ,0,0.0,,,,,
ui,0,0.0,,,,,
icon.png,0,344.0,174.0,170.0,146.0,120.0,82
pageTransferSize,1065432,,,,,,
totalByteWeight,2991657,,,,,,
