img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ltn.com.tw/,58239,270691.0,,,,,
x.png,865,426.0,294.0,296.0,290.0,290.0,286
rwd_ltnlogo.png,32670,32312.0,9614.0,9446.0,8936.0,8302.0,7594
logo_foot.png,7590,7278.0,4704.0,4640.0,4402.0,4098.0,3686
new.gif,2969,2648.0,4092.0,3968.0,3540.0,3002.0,2392
wi_0002_day.png,5154,4834.0,2516.0,2488.0,2370.0,2250.0,2142
93876301362629716f111d5.24466839.jpeg,89605,89249.0,62564.0,58808.0,46278.0,34160.0,20368
1650591889.jpg,112195,111810.0,24388.0,22556.0,17986.0,13180.0,8698
16215379476262ab2d94d2b7.42611251.jpg,184452,183979.0,50118.0,47048.0,36458.0,27320.0,16910
17114578046262937535bd88.59502426.jpg,83960,83522.0,47760.0,45446.0,36512.0,28400.0,18370
1649748599.jpg,128287,127875.0,93846.0,89058.0,74050.0,53940.0,34218
5619910536262aa32d8b529.49130563.jpeg,104376,103991.0,77716.0,73306.0,57888.0,42902.0,25294
170638309962628df2a57511.42705135.jpeg,51003,50656.0,31170.0,29048.0,22336.0,15676.0,9380
1650505534.jpg,174734,174268.0,51614.0,48252.0,38034.0,27862.0,17266
6550400306262a6395b3c40.67545000.jpeg,57951,57556.0,30928.0,29490.0,22398.0,16280.0,9968
69042667862628be1845093.00717611.jpeg,60676,60338.0,34542.0,32504.0,25726.0,19198.0,12488
1650531916.jpg,163464,163016.0,30652.0,28834.0,22498.0,16554.0,10860
407843870626295cb1526a2.53990357.jpg,75446,75063.0,43520.0,40452.0,30946.0,22508.0,12988
video01.svg,1635,2331.0,,,,,
20581501266262a59a6f4627.74827303.jpg,85360,84969.0,6952.0,6556.0,5218.0,3934.0,2558
148890092262628ae0c9d919.78106505.jpeg,9450,9175.0,5606.0,5314.0,4158.0,3008.0,1852
1650593501.jpg,175668,175184.0,130186.0,124372.0,100908.0,74920.0,43282
197593681662629ef65f5665.28012981.jpeg,10201,9927.0,6038.0,5730.0,4502.0,3380.0,2096
74864994462627796d7ab91.40852655.jpeg,13544,13267.0,9768.0,9204.0,7356.0,5538.0,3142
1650590456.jpg,115304,114908.0,80146.0,74794.0,60908.0,44958.0,27634
17229287896262913fd8ca93.04362360.jpg,62974,62591.0,4954.0,4698.0,3886.0,3006.0,1972
414971715626297cf981324.75954052.jpeg,14950,14657.0,11026.0,10422.0,8276.0,6220.0,3752
1650532061.jpg,163553,163016.0,30652.0,28834.0,22498.0,16554.0,10860
17149256006261ed0cc95b73.24757987.jpeg,13511,13236.0,9692.0,9046.0,7382.0,5396.0,3230
3020089.jpg,119660,119239.0,38758.0,36180.0,30006.0,23466.0,16314
3020206.jpg,115739,115318.0,35270.0,33714.0,28486.0,22324.0,15450
3020261.jpg,115751,115330.0,36830.0,35410.0,29824.0,23898.0,16584
3020294.jpg,120014,119576.0,37752.0,35836.0,30106.0,23780.0,16328
3020148.jpg,122293,121889.0,38758.0,36258.0,29250.0,22138.0,14798
3020044.jpg,124056,123653.0,39508.0,37024.0,30856.0,23970.0,16100
spacer.gif,480,43.0,72.0,72.0,72.0,72.0,72
video_logo.png,13602,13160.0,,,,,
wi_0011.png,5408,5088.0,2590.0,2562.0,2478.0,2362.0,2262
wi_0010.png,4530,4219.0,1904.0,1872.0,1830.0,1778.0,1698
wi_0008.png,4347,4036.0,1552.0,1554.0,1536.0,1528.0,1524
appstore.png,6691,6371.0,2184.0,2128.0,1890.0,1618.0,1220
googleplay.png,8106,7796.0,2158.0,2076.0,1828.0,1542.0,1166
search_g.svg,708,395.0,,,,,
bt-menu.png,418,110.0,144.0,148.0,140.0,140.0,136
bt_left.png,7139,6698.0,3006.0,3000.0,2904.0,2812.0,2716
bt_right.png,5824,5383.0,2946.0,2920.0,2848.0,2756.0,2664
youtube_r.svg,1297,854.0,,,,,
default.png,45914,45472.0,3654.0,3456.0,2756.0,2100.0,1384
black-orchid.png,40373,39693.0,39758.0,39756.0,39738.0,39738.0,39738
play-button.svg,1097,1014.0,,,,,
impression?ano=2022042244293643&device=M&1650634747562,198,35.0,44.0,44.0,44.0,44.0,44
impression?ano=2022042132585329&device=M&1650634747564,198,35.0,44.0,44.0,44.0,44.0,44
278830737_5379106788841610_2865554757136365279_n.jpg?stp=dst-jpg_p130x130&_nc_cat=1&ccb=1-5&_nc_sid=dd9801&_nc_ohc=OC4PFXEanYgAX8UO8Fz&_nc_ht=scontent.flhe5-1.fna&edm=ANSO7JkEAAAA&oh=00_AT_ItkD2OUYPKa,15546,15411.0,,,,,
149324350_4009128465839456_4320621729341078607_n.png?stp=cp0_dst-png_p50x50&_nc_cat=1&ccb=1-5&_nc_sid=dbb9e7&_nc_ohc=Ccy6FlTQLycAX-HA78h&_nc_ht=scontent.flhe5-1.fna&edm=ANSO7JkEAAAA&oh=00_AT_m7v-WJPtk,3771,3460.0,,,,,
278894146_3218588961758611_8946533654427778361_n.jpg?stp=dst-jpg_p160x160&_nc_cat=105&ccb=1-5&_nc_sid=08861d&_nc_ohc=eEp-jLAoxg0AX_KijPS&_nc_ht=scontent.flhe5-1.fna&edm=ANSO7JkEAAAA&oh=00_AT_z4Q4O2MaS,17259,17133.0,,,,,
safe_image.php?w=476&h=249&url=https%3A%2F%2Fimg.ltn.com.tw%2FUpload%2Fnews%2F600%2F2022%2F04%2F22%2FphpxL0GT3.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6ff79&_nc_sid=0,29657,29265.0,,,,,
safe_image.php?w=476&h=249&url=https%3A%2F%2Fimg.ltn.com.tw%2FUpload%2Fnews%2F600%2F2022%2F04%2F22%2FphpWuwHX5.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&ext=emg0&_nc_oe=6ff79&_nc_sid=0,17691,17313.0,,,,,
278157632_465092875412605_3532721905043763383_n.jpg?stp=dst-jpg_p160x160&_nc_cat=106&ccb=1-5&_nc_sid=08861d&_nc_ohc=xdqVQWp4lK4AX95R6pU&_nc_ht=scontent.flhe5-1.fna&edm=ANSO7JkEAAAA&oh=00_AT9Xvb9JK_IQZ,15744,15619.0,,,,,
