img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.macys.com/,1236,0.0,,,,,
PK.gif,799,601.0,202.0,196.0,172.0,146.0,124
C2200143_102_1461239.jpg?scl=1&fmt=webp&wid=670,14143,13882.0,12836.0,12256.0,9968.0,7488.0,5118
C2201412_104_A_1455368.jpg?scl=1&fmt=webp&wid=750,55532,55134.0,46668.0,44020.0,34984.0,25094.0,16234
012422_WINTER_FASHION_HOMEPAGE_REFRESH_05_1452028.jpg?scl=1&fmt=webp&wid=750,22104,21826.0,19192.0,18072.0,14978.0,11418.0,7834
PK.gif,920,573.0,202.0,196.0,172.0,146.0,124
cc_1455724_1457104.png,99344,98888.0,20100.0,18924.0,14472.0,10232.0,5828
activityi;src=3856256;type=global;cat=landing;ord=1650655938954?,0,0.0,,,,,
activityi;src=10289658;type=globmmn;cat=mmn_g0;u28=department%20store%2C%20dept%20store%2C%20department%20stores%2C%20Macys%20store%2C%20clothing%2C%20apparel%2C%20clothing%20store%2C%20accessories%2C,0,0.0,,,,,
C2201412_106_1455369.jpg?scl=1&fmt=webp&wid=750,21409,21130.0,17788.0,16952.0,13978.0,10586.0,7140
061021INTLHOMEPAGETEAMPLATEBANNER10302_1433054.jpg?scl=1&fmt=webp&wid=750,76708,76312.0,,,,,
s86206182325754?AQB=1&ndh=1&pf=1&t=23%2F3%2F2022%200%3A32%3A20%206%20-300&sdid=3FD15CC2581AE680-2C189DB919F95435&mid=61708004419159873784048531850878124691&aamlh=3&ce=UTF-8&pageName=mcom%3Ahome%20page,245,43.0,,,,,
session.gif?uid_bam=1772378321043404605,394,0.0,,,,,
track.gif?t=1650655941579&mi_u=anon-1650655941578-7231562591&mi_cid=2393&page_title=Macy%27s%20-%20Shop%20Fashion%20Clothing%20%26%20Accessories%20-%20Official%20Site%20-%20Macys.com&timezone_offset=-,623,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-HXF6P409HF&cid=1258542310.1650655942&gtm=2oe4k0&aip=1&z=702331855,501,42.0,72.0,72.0,72.0,72.0,72
ibs:dpid=411&dpuuid=YmMCxgAAAHDy_AQS,945,42.0,,,,,
segment?pdata=ranEAID%3Dundefined&pid=466956&redirect=1,57,42.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nvcbi&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=885562b3-4837-4e6d,354,43.0,72.0,72.0,72.0,72.0,72
adsct?type=javascript&version=2.3.2&p_id=Twitter&p_user_id=0&txn_id=nvcbi&events=%5B%5B%22pageview%22%2C%7B%7D%5D%5D&tw_order_quantity=0&tw_sale_amount=0&tw_iframe_status=0&event_id=885562b3-4837-4e6d,337,43.0,72.0,72.0,72.0,72.0,72
?tid=2614456307456&ov=%7B%22page_name%22%3A%22Macy%27s%20-%20Shop%20Fashion%20Clothing%20%26%20Accessories%20-%20Official%20Site%20-%20Macys.com%22%2C%22page_category%22%3A%22%22%7D&pd=%7B%7D&event=in,333,35.0,44.0,44.0,44.0,44.0,44
