img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.premierleague.com/,27280,191633.0,,,,,
t3@x2.png,6534,6190.0,3476.0,3384.0,2956.0,2482.0,1940
t3@x2.png,15384,15033.0,1074.0,1052.0,912.0,788.0,636
t7@x2.png,5725,5383.0,768.0,740.0,660.0,542.0,416
t7@x2.png,12805,12451.0,1096.0,1052.0,912.0,736.0,550
t94@x2.png,6549,6180.0,1812.0,1742.0,1560.0,1278.0,996
t94@x2.png,16759,16384.0,1812.0,1742.0,1560.0,1278.0,996
t36@x2.png,6150,5806.0,1198.0,1166.0,1048.0,912.0,742
t36@x2.png,13002,12648.0,1580.0,1540.0,1372.0,1156.0,912
t90@x2.png,6204,5861.0,1392.0,1340.0,1200.0,976.0,760
t90@x2.png,15130,14777.0,1392.0,1340.0,1200.0,976.0,760
t8@x2.png,7854,7511.0,1456.0,1416.0,1264.0,1084.0,870
t8@x2.png,20805,20443.0,4654.0,4500.0,3972.0,3272.0,2442
t31@x2.png,6537,6192.0,4246.0,4120.0,3718.0,3228.0,2658
t31@x2.png,15126,14770.0,1732.0,1696.0,1560.0,1362.0,1164
t11@x2.png,7706,7361.0,1096.0,1074.0,946.0,824.0,690
t11@x2.png,19005,18641.0,1590.0,1536.0,1362.0,1144.0,930
t2@x2.png,5218,4850.0,1194.0,1164.0,1048.0,896.0,724
t2@x2.png,12906,12528.0,3564.0,3454.0,3026.0,2546.0,1982
t13@x2.png,7975,7632.0,1810.0,1752.0,1540.0,1266.0,1000
t13@x2.png,21548,21184.0,1810.0,1752.0,1540.0,1266.0,1000
t14@x2.png,9587,9243.0,1306.0,1272.0,1150.0,1032.0,868
t14@x2.png,21804,21442.0,,,,,
t43@x2.png,7593,7251.0,4256.0,4154.0,3614.0,2996.0,2304
t43@x2.png,19882,19519.0,1628.0,1574.0,1376.0,1166.0,936
t1@x2.png,6933,6589.0,2138.0,2072.0,1882.0,1612.0,1320
t1@x2.png,17562,17209.0,2138.0,2072.0,1882.0,1612.0,1320
t4@x2.png,7703,7360.0,1494.0,1458.0,1354.0,1194.0,1020
t4@x2.png,21395,21033.0,2234.0,2180.0,1978.0,1752.0,1488
t45@x2.png,6060,5717.0,1438.0,1396.0,1214.0,1012.0,782
t45@x2.png,13999,13646.0,1438.0,1396.0,1214.0,1012.0,782
t20@x2.png,6941,6597.0,4070.0,3974.0,3530.0,2970.0,2352
t20@x2.png,17438,17084.0,1694.0,1630.0,1478.0,1254.0,1032
t6@x2.png,4078,3735.0,826.0,808.0,754.0,688.0,624
t6@x2.png,7336,6992.0,1068.0,1046.0,984.0,898.0,824
t57@x2.png,4027,3683.0,1076.0,1034.0,918.0,774.0,614
t57@x2.png,9078,8726.0,1274.0,1238.0,1090.0,896.0,710
t21@x2.png,6384,6040.0,1446.0,1386.0,1218.0,1016.0,826
t21@x2.png,13847,13495.0,1446.0,1386.0,1218.0,1016.0,826
t39@x2.png,5059,4716.0,952.0,920.0,820.0,704.0,562
t39@x2.png,8841,8497.0,2128.0,2044.0,1802.0,1560.0,1270
premier-league-logo-header-mob.svg,1795,3902.0,,,,,
premier-league-logo-header-full.png,7708,7391.0,5848.0,5848.0,5848.0,5850.0,5848
t43@x2.png,4681,4336.0,1628.0,1574.0,1376.0,1166.0,936
t14@x2.png,4078,3734.0,,,,,
t8@x2.png,4772,4429.0,1932.0,1858.0,1644.0,1352.0,1048
t6@x2.png,2027,1685.0,1068.0,1046.0,984.0,898.0,824
t3@x2.png,4011,3667.0,1434.0,1402.0,1230.0,1052.0,846
t1@x2.png,5028,4684.0,2138.0,2072.0,1882.0,1612.0,1320
t21@x2.png,3947,3603.0,1446.0,1386.0,1218.0,1016.0,826
t39@x2.png,3154,2810.0,1138.0,1106.0,984.0,836.0,684
t13@x2.png,4985,4642.0,1810.0,1752.0,1540.0,1266.0,1000
t36@x2.png,3775,3432.0,1580.0,1540.0,1372.0,1156.0,912
t4@x2.png,4648,4304.0,2234.0,2180.0,1978.0,1752.0,1488
t94@x2.png,4762,4396.0,1812.0,1742.0,1560.0,1278.0,996
t20@x2.png,4147,3805.0,1694.0,1630.0,1478.0,1254.0,1032
t31@x2.png,3517,3175.0,1732.0,1696.0,1560.0,1362.0,1164
t7@x2.png,3342,3002.0,1096.0,1052.0,912.0,736.0,550
t2@x2.png,3867,3501.0,1558.0,1520.0,1342.0,1126.0,902
t11@x2.png,4645,4301.0,1590.0,1536.0,1362.0,1144.0,930
t90@x2.png,3691,3349.0,1392.0,1340.0,1200.0,976.0,760
t57@x2.png,3292,2949.0,1274.0,1238.0,1090.0,896.0,710
t45@x2.png,3592,3249.0,1438.0,1396.0,1214.0,1012.0,782
Photo-Missing.png,5521,5176.0,2264.0,2264.0,2262.0,2264.0,2260
SHeB2Xwx.jpg?width=860&height=573,48615,48218.0,38414.0,36622.0,28634.0,21576.0,13482
Reece-James-Chelsea.jpg?width=860&height=573,34859,34478.0,31920.0,29764.0,23304.0,17070.0,11084
1356653817.jpg?width=894&height=620,66015,65590.0,55700.0,53002.0,40898.0,26324.0,15934
How-to-report-on-social-media-TW.png?width=100&height=60,1413,1060.0,974.0,936.0,784.0,656.0,474
wJV2TKuv.jpg?width=100&height=52,2265,1910.0,1568.0,1522.0,1228.0,922.0,596
sGIn25nQ.jpg?width=100&height=56,3017,2666.0,2280.0,2168.0,1796.0,1344.0,878
2NNUey3i.jpg?width=100&height=56,1674,1330.0,1116.0,1054.0,858.0,662.0,438
rCVCXfvQ.jpg?width=100&height=57,2092,1740.0,1568.0,1506.0,1220.0,846.0,550
XEFo4ZQF.jpg?width=100&height=55,2167,1814.0,1520.0,1438.0,1180.0,900.0,584
Aguero-Man-City-Norwich.jpg,2715,2334.0,4284.0,4150.0,3324.0,2538.0,1616
PL2-D1-champions-2021-22-Man-City.jpg?width=100&height=62,3031,2680.0,2454.0,2358.0,1976.0,1298.0,870
2022-02-19T161157Z_751091863_UP1EI2J18ZVC0_RTRMADP_3_SOCCER-ENGLAND-ARS-BRE-REPORT.JPG?width=100&height=65,2681,2328.0,2088.0,2002.0,1572.0,1136.0,724
Pep-Guardiola-Bernardo-Silva-Manchester-City.jpg?width=100&height=63,2115,1772.0,1462.0,1388.0,1164.0,872.0,582
Harvey-Barnes-Leicester.jpg?width=100&height=63,2068,1724.0,1420.0,1352.0,1130.0,872.0,576
2022-04-10T145017Z_1401811966_UP1EI4A157Q9P_RTRMADP_3_SOCCER-ENGLAND-NOR-BUR-REPORT.JPG?width=100&height=66,3876,3524.0,3198.0,3124.0,2498.0,1922.0,1312
2022-04-10T150419Z_1874333397_UP1EI4A15V4B0_RTRMADP_3_SOCCER-ENGLAND-BRE-WHU-REPORT.JPG?width=100&height=73,2375,2032.0,1722.0,1636.0,1344.0,1052.0,720
taa-kdb2.jpg?width=100&height=63,3030,2678.0,2440.0,2354.0,1984.0,1352.0,902
John-Stones.jpg?width=100&height=67,2204,1852.0,1678.0,1628.0,1356.0,898.0,592
2022-03-10T212322Z_807340351_UP1EI3A1NEWNH_RTRMADP_3_SOCCER-ENGLAND-NOR-CHE-REPORT.JPG?width=100&height=67,2863,2512.0,2128.0,2042.0,1646.0,1230.0,804
1391805935.jpg?width=100&height=60,3090,2738.0,2512.0,2432.0,2118.0,1400.0,946
2022-04-19T192919Z_54438840_UP1EI4J1I4U41_RTRMADP_3_SOCCER-ENGLAND-LIV-MUN-REPORT.JPG?width=100&height=70,3507,3154.0,2620.0,2510.0,2086.0,1592.0,1040
1390664811.jpg?width=100&height=72,3080,2728.0,2330.0,2198.0,1814.0,1412.0,956
2022-04-10T143002Z_867058908_UP1EI4A14A082_RTRMADP_3_SOCCER-ENGLAND-NOR-BUR-REPORT.JPG?width=100&height=65,3479,3126.0,2652.0,2538.0,2144.0,1640.0,1084
1389312535.jpg?width=100&height=57,3170,2818.0,2350.0,2256.0,1914.0,1512.0,994
t1.png,4422,4105.0,688.0,672.0,620.0,562.0,478
t43.png,5304,4985.0,530.0,512.0,466.0,402.0,334
t36.png,4722,4405.0,522.0,506.0,452.0,394.0,336
t3.png,4499,4181.0,432.0,422.0,372.0,330.0,288
t94.png,4070,3754.0,510.0,496.0,446.0,386.0,318
hublot.svg,1119,797.0,,,,,
oracle.svg,1113,791.0,,,,,
balls-sprite@x2.png,7291,6963.0,3184.0,3176.0,3128.0,3038.0,3006
chevrons-sprite@x2.png,10790,10461.0,3294.0,3284.0,3172.0,3044.0,2892
global-sprite@x2.png,887005,885714.0,332584.0,329126.0,316022.0,300454.0,283336
external-sprite.png,3685,3358.0,2046.0,2022.0,1958.0,1862.0,1762
pl-logo-sprite@x2.png,187108,186583.0,89104.0,88810.0,87290.0,85518.0,83100
arrows-sprite@x2.png,6902,6574.0,3364.0,3302.0,3184.0,3024.0,2840
stats-card-bg.svg,862,540.0,,,,,
flags-sprite@x2.png,92248,91832.0,32324.0,31196.0,27270.0,22244.0,16550
sponsors-bg.png,8500,8184.0,4864.0,4996.0,4732.0,4620.0,4448
sponsors-sprite@x2.png,462672,461840.0,158734.0,156530.0,146716.0,135478.0,121880
video-bg.svg,826,504.0,,,,,
premier-league-logo.svg,1197,1712.0,,,,,
pl-footer-m-top.svg,760,438.0,,,,,
pl-footer-m-bottom.svg,896,577.0,,,,,
collect?v=1&_v=j96&a=679263694&t=pageview&_s=1&dl=https%3A%2F%2Fwww.premierleague.com%2F&ul=en-us&de=UTF-8&dt=Premier%20League%20Football%20News%2C%20Fixtures%2C%20Scores%20%26%20Results&sd=24-bit&sr=,194,35.0,44.0,44.0,44.0,44.0,44
How-to-report-on-social-media-TW.png?width=500&height=333,6552,6200.0,5704.0,5560.0,4748.0,3898.0,2958
wJV2TKuv.jpg?width=500&height=333,30459,30080.0,20170.0,18580.0,14594.0,10448.0,6172
sGIn25nQ.jpg?width=600&height=340,38550,38164.0,31694.0,30146.0,24596.0,18578.0,11802
ab67706c0000bebb303c90d6e3739a31274e29fc,15913,15480.0,4222.0,4074.0,3490.0,2706.0,1926
2NNUey3i.jpg?width=320&height=180,7478,7126.0,5896.0,5602.0,4520.0,3232.0,2100
rCVCXfvQ.jpg?width=320&height=180,9766,9404.0,7786.0,7382.0,5952.0,4394.0,2714
XEFo4ZQF.jpg?width=320&height=180,11151,10788.0,8236.0,7774.0,6324.0,4568.0,2896
Aguero-Man-City-Norwich.jpg?width=320&height=180,8308,7948.0,7738.0,7384.0,5948.0,4484.0,2900
p103025.png,96631,96162.0,,,,,
p205533.png,75623,75173.0,9484.0,9140.0,8104.0,6938.0,5638
p179018.png,75752,75303.0,8530.0,8212.0,7192.0,6254.0,5134
man50167.png,69965,69548.0,6112.0,5890.0,5132.0,4414.0,3652
starind@x2.png,3899,3511.0,1480.0,1434.0,1270.0,1116.0,832
sGIn25nQ.jpg?width=205&height=115,8392,8040.0,6708.0,6410.0,5274.0,3980.0,2448
2NNUey3i.jpg?width=205&height=115,4102,3748.0,3352.0,3204.0,2620.0,1696.0,1116
rCVCXfvQ.jpg?width=205&height=115,5130,4780.0,3970.0,3764.0,3056.0,2324.0,1432
XEFo4ZQF.jpg?width=205&height=115,5568,5216.0,4020.0,3806.0,3108.0,2286.0,1496
Aguero-Man-City-Norwich.jpg?width=205&height=115,4765,4414.0,4022.0,3850.0,3226.0,2128.0,1424
Alex_Wallace_Photography_PL_HOF_Schmeichel_001-45-Crop.jpg?width=205&height=115,1914,1560.0,1348.0,1280.0,1028.0,706.0,460
4KXHKPsP.jpg?width=205&height=115,6855,6504.0,5142.0,4856.0,3946.0,2944.0,1914
SHeB2Xwx.jpg?width=205&height=115,6584,6232.0,5692.0,5452.0,4586.0,2988.0,2028
DU91esTo.jpg?width=205&height=115,4554,4204.0,3772.0,3600.0,2966.0,2016.0,1324
jZZP8KM9.jpg?width=205&height=115,6025,5674.0,5118.0,4892.0,4038.0,2686.0,1846
ab67706c0000bebb303c90d6e3739a31274e29fc,0,15480.0,4222.0,4074.0,3490.0,2706.0,1926
collect?v=1&_v=j96&aip=1&a=1629062151&t=pageview&_s=1&dl=https%3A%2F%2Fsync.ecal.com%2Fbutton%2Fv1%2Fecal.html%3F_%3D1650670383531%26widgetRef%3D6ea0955297341b6b22f516a42177979d55821c6d7217b%26apiKey%,55,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=416bd775686ba066f8cb79a2&account=2508689025001&destination=https%3A%2F%2Fwww.premierleague.com%2F&platform_version=6.64.3&player=players.brightcove.,94,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=416bd775686ba066f8cb79a2&account=2508689025001&destination=https%3A%2F%2Fwww.premierleague.com%2F&platform_version=6.64.3&player=players.brightcove.,207,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,5534088,,,,,,
totalByteWeight,13931996,,,,,,
