img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.prezi.com/,68,0.0,,,,,
prezi-video-v4.png,845680,844295.0,66912.0,61396.0,47050.0,36844.0,27816
prezi-present-v4.png,404549,403568.0,61678.0,55050.0,41904.0,31486.0,24878
prezi-design-v4.png,489625,488590.0,35976.0,33620.0,27808.0,23056.0,19296
webex.jpg,3084,2635.0,676.0,656.0,558.0,438.0,306
zoom.jpg,2387,1939.0,480.0,452.0,378.0,318.0,242
microsoft_teams.jpg,1681,1232.0,372.0,346.0,302.0,240.0,186
prezi-present.png,22124,21647.0,5172.0,4960.0,4044.0,3148.0,2348
icon-prezi-present.svg,811,361.0,,,,,
prezi-video.png,40089,39587.0,9956.0,9422.0,7520.0,5912.0,4092
icon-prezi-video.svg,875,425.0,,,,,
prezi-design-control.jpg,76915,76383.0,55094.0,52816.0,42352.0,31586.0,21026
icon-prezi-design.svg,801,352.0,,,,,
brain_mobile_en.webp,27222,26740.0,25086.0,24190.0,20846.0,15320.0,11926
brain_en.jpg,47295,46801.0,36138.0,34402.0,28276.0,21546.0,15970
huffpo.svg,1402,1816.0,,,,,
curve_with_linear_gradient.svg,941,488.0,,,,,
business1_en.webp,16087,15624.0,14970.0,14444.0,12284.0,9052.0,6832
business2_en.webp,21629,21158.0,19152.0,18492.0,15038.0,10438.0,7476
business3_en.webp,32328,31846.0,30800.0,29992.0,25664.0,17292.0,12888
business4_en.webp,29130,28648.0,27626.0,27072.0,23424.0,14172.0,10452
business5_en.webp,16372,15908.0,15278.0,14844.0,12840.0,9862.0,7008
business6_en.webp,15869,15406.0,14396.0,13966.0,11888.0,7822.0,5494
marketing1_en.webp,19667,19196.0,18082.0,17460.0,14668.0,9684.0,7272
marketing2_en.webp,20417,19944.0,18348.0,17738.0,14774.0,10406.0,7596
marketing3_en.webp,20166,19694.0,18336.0,17602.0,14492.0,10280.0,7736
marketing4_en.webp,13411,12946.0,12496.0,12236.0,10440.0,7036.0,5382
marketing5_en.webp,39334,38842.0,36966.0,36046.0,30378.0,18934.0,12914
marketing6_en.webp,28427,27948.0,27508.0,27066.0,23664.0,15556.0,11578
