img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.rbc.ru/,22283,138438.0,,,,,
756202290843825.svg,846,1196.0,,,,,
756502711218820.svg,2007,3896.0,,,,,
756502711797014.svg,1367,2447.0,,,,,
756502712064146.svg,1267,2191.0,,,,,
756502712430912.svg,643,1022.0,,,,,
logo.svg,1079,841.0,,,,,
close.svg,1208,969.0,,,,,
play_70.svg,1006,767.0,,,,,
collect?v=1&_v=j96&a=1701692533&t=event&_s=2&dl=https%3A%2F%2Fwww.rbc.ru%2F&ul=en-us&de=UTF-8&dt=%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D1%82%D0%B8%20%D0%B4%D0%BD%D1%8F%20%D0%B2%20%D0%A0%D0%BE%D1%81%D1%81%D0%,55,35.0,44.0,44.0,44.0,44.0,44
?wamid=2641&Wvar=%7B%22domain%22%3A%22www.rbc.ru%22%2C%22wamid%22%3A%222641%22%2C%22typ%22%3A%223%22%2C%22url%22%3A%22https%253A%252F%252Fwww.rbc.ru%252F%22%2C%22ref%22%3A%22%22%7D&d.r=1650672838203,268,0.0,,,,,
collect?dsp_id=0&eid=25X2OKuH1hPb,16,0.0,44.0,44.0,44.0,44.0,44
advert.gif,136,43.0,72.0,72.0,72.0,72.0,72
401736.gif?partner_uid=ppn5y8eDtQePaCR6Smjxfu,448,42.0,72.0,72.0,72.0,72.0,72
collect?dsp_id=0&eid=25X2OKuH1hPb,268,0.0,44.0,44.0,44.0,44.0,44
t.1?rnd=1650672839651,276,43.0,72.0,72.0,72.0,72.0,72
check?partner_id=2964&partner_device_id=25X2OKuH1hPb,113,95.0,72.0,72.0,72.0,72.0,72
;0.8128454117421113,528,43.0,,,,,
404937636,297,43.0,72.0,72.0,72.0,72.0,72
dcm?pid=0485bdfe-f03c-4309-8ba2-59b54b1419fb&id=cHBuNXk4ZUR0UWVQYUNSNlNtanhmdQ&dcc=t,932,43.0,72.0,72.0,72.0,72.0,72
513299097,297,43.0,72.0,72.0,72.0,72.0,72
?tag=20300&ver=2&format=pixel&cdt=2016-12-22%2012%3A59%3A14&bw=360&bh=640&rnd=1710413550898,673,95.0,,,,,
arrow-down.svg,1106,867.0,,,,,
arrow-up.svg,1102,864.0,,,,,
0205b5cfa316b9b8ecdef73ab5819850?_e=pv&_sesstart=1&_tz=5&_ul=en-US&_sz=360x640&_ts=1650672839985&_mob=t&_device=Android&url=www.rbc.ru%2F&_v=3.0.26&_uid=4b1a6774-1deb-42c0-a672-9256a78b18fc&_getid=t,408,35.0,44.0,44.0,44.0,44.0,44
ids?key=ggl&value=CAESEMBgx6NkFo72TUWBeSy1XFs&google_gid=CAESEMBgx6NkFo72TUWBeSy1XFs&google_cver=1,268,0.0,,,,,
x450,26646,26212.0,21498.0,20502.0,16452.0,12564.0,8290
bukwood.ru?size=32&stub=1,1312,1099.0,538.0,518.0,462.0,396.0,322
y450,89204,88708.0,64546.0,61666.0,49254.0,35944.0,21078
canada-usa-education.ru?size=32&stub=1,2500,2280.0,782.0,758.0,680.0,598.0,514
x450,30636,30204.0,44480.0,39162.0,27748.0,21494.0,11854
lablife.pro?size=32&stub=1,1277,1064.0,772.0,768.0,750.0,736.0,722
pageTransferSize,1110774,,,,,,
totalByteWeight,2662165,,,,,,
