img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sabah.com.tr/,221,0.0,,,,,
vavtv-logo.png,17473,17121.0,1136.0,1122.0,1104.0,1078.0,1048
ztk2.png,1150,810.0,566.0,556.0,502.0,452.0,390
ztk.png,1187,846.0,476.0,464.0,428.0,388.0,344
sabah-logo-170x71.png,6309,5968.0,4450.0,4310.0,3814.0,3282.0,2630
i.gif,382,43.0,44.0,44.0,44.0,44.0,44
1650708015302.jpg,114403,114007.0,19610.0,18556.0,14932.0,11024.0,7080
vakif-katilim-logo-2022.png,1637,1296.0,1460.0,1450.0,1382.0,1286.0,1206
milli-savunma-bakanligi-duyurdu-50-pkkli-terorist-etkisiz-hale-getirildi-1650709754430.jpg,29999,29541.0,13704.0,13166.0,10698.0,8458.0,5866
1579857082689.jpg,5989,5577.0,3408.0,3290.0,2672.0,2008.0,1304
1609242595996.png,31163,30765.0,1714.0,1642.0,1330.0,960.0,658
1613211502728.jpg,5256,4846.0,1974.0,1848.0,1490.0,1086.0,714
1579856150693.jpg,4516,4104.0,1938.0,1872.0,1488.0,1130.0,722
1609242808969.png,32855,32465.0,1874.0,1774.0,1384.0,1034.0,682
1579856088321.jpg,4311,3928.0,1748.0,1666.0,1330.0,1016.0,684
1579856249939.jpg,4935,4535.0,2176.0,2092.0,1652.0,1210.0,788
1599937703420.jpg,4088,3679.0,1548.0,1454.0,1166.0,866.0,612
1609242839723.png,32949,32558.0,1714.0,1592.0,1276.0,944.0,648
1579873349371.jpg,4619,4220.0,1950.0,1852.0,1452.0,1082.0,700
1579856765083.jpg,4459,4047.0,1694.0,1620.0,1278.0,968.0,660
1579857286155.jpg,4446,4064.0,1824.0,1726.0,1366.0,1010.0,650
1581594420206.jpg,4606,4215.0,1974.0,1848.0,1490.0,1086.0,714
1579857041332.jpg,4446,4033.0,1814.0,1758.0,1370.0,1008.0,616
1579856600138.jpg,4484,4073.0,1744.0,1630.0,1264.0,924.0,620
1579856031716.jpg,4105,3694.0,1598.0,1488.0,1190.0,896.0,582
1579856326412.jpg,4775,4374.0,2068.0,1954.0,1576.0,1180.0,758
1579789994378.jpg,4430,4019.0,1820.0,1710.0,1380.0,1048.0,692
1579870330391.jpg,3915,3504.0,1374.0,1336.0,1042.0,776.0,524
1642490646138.jpg,4317,3924.0,1758.0,1648.0,1332.0,988.0,644
1632566241505.jpg,5791,5389.0,2884.0,2698.0,2214.0,1704.0,1114
1579857122982.jpg,5220,4808.0,2350.0,2222.0,1796.0,1342.0,882
1579856578652.jpg,4919,4508.0,2156.0,2020.0,1642.0,1212.0,828
?token=0.vihf2rh0lp,691,0.0,,,,,
listele.png?v=1,561,221.0,164.0,164.0,164.0,166.0,164
sabah-dummy-146x60.png,2367,2025.0,1894.0,1896.0,1894.0,1898.0,1888
ramazan-trendyol-2022-317x85.png,13397,13055.0,4364.0,4220.0,3550.0,2706.0,1804
ccola-ramadan-320x66.jpg,22590,22180.0,2744.0,2548.0,1926.0,1394.0,878
dummy_sabah.png,7697,7356.0,970.0,926.0,770.0,600.0,398
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1088682-6&cid=1652421976.1650710091&jid=1255987237&_u=IEBAAEAAAAAAAC~&z=2051533213,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1088682-6&cid=1652421976.1650710091&jid=1255987237&_u=IEBAAEAAAAAAAC~&z=2051533213,501,42.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=324966252&t=event&_s=2&dl=https%3A%2F%2Fm.sabah.com.tr%2F&ul=en-us&de=UTF-8&dt=Sabah%20-%20G%C3%BCncel%2C%20En%20Son%20Haberler%2C%20Son%20Dakika%20ve%20Gazete%20Haberleri&sd=24-b,55,35.0,44.0,44.0,44.0,44.0,44
marker.png?v=1?v=1,651,310.0,250.0,244.0,234.0,226.0,220
k1aoqAD25T,551,43.0,72.0,72.0,72.0,72.0,72
icon-mosque.png?v=1?v=1,879,538.0,530.0,528.0,500.0,484.0,450
khaos.jpg?us_privacy=1YNY,954,284.0,44.0,44.0,44.0,44.0,44
709414.gif?us_privacy=1YNY,448,42.0,72.0,72.0,72.0,72.0,72
v1?nwid=10000010181&eid=L2BQ6DUV-1Z-KFKR&sigv=1&esig=2~563a20610b7adfcf753949e18cd30596f471da4f&us_privacy=1YNY,194,0.0,,,,,
setuid?partner=rubiconDb&dbredirect=true&ruxId=L2BQ6DUV-1Z-KFKR&us_privacy=1YNY,572,0.0,,,,,
pixel?google_nid=rp&google_hm=TDJCUTZEVVYtMVotS0ZLUg==&us_privacy=1YNY&google_tc=,188,170.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=rubicon&google_hm=NGFhODc0MmViMTc3NGNhOTQ0NGRiNWMyZmE1NjE5OGU0YmMyNGIwOA&us_privacy=1YNY&google_tc=,188,170.0,88.0,88.0,88.0,84.0,80
tap.php?v=7751&nid=2249&expires=30&put=CAESEGxtRxvihNXk4NV5-mNHM-E&google_cver=1,711,42.0,72.0,72.0,72.0,72.0,72
tap.php?v=31950&nid=2974&put=7530367209126839256,711,42.0,72.0,72.0,72.0,72.0,72
ecm3?ex=rubiconprojectHMT&id=_k3QetZRRTGcn-i7kOSj7A,556,43.0,72.0,72.0,72.0,72.0,72
bagisikligi-celik-gibi-yapiyor-sabahlari-ac-karnina-yediginizde-tum-hastaliklara-kalkan-oluyor-1650692927672.jpg,41893,41399.0,22700.0,21584.0,17272.0,13038.0,8542
son-dakika-haberi-rekabet-kurumu-acikladi-sebze-ve-meyve-icin-zincir-market-onerisi-1650704665826.jpg,41177,40690.0,22224.0,21054.0,17062.0,13526.0,8932
son-dakika-haberi-vladimir-putinden-asya-hamlesi-ab-ulkeleri-koseye-mi-sikisti-2-secenekleri-var-1650707227565.jpg,45653,45169.0,25880.0,24396.0,18936.0,14110.0,9152
unopt-ramazani-yasat-1650344982861.jpg,32630,32209.0,9580.0,9092.0,7250.0,5398.0,3374
gazeteci-tufan-turenc-hayatini-kaybetti-1650706973808.jpg,10928,10503.0,4650.0,4360.0,3370.0,2380.0,1476
son-dakika-besiktas-galatasaraydan-transfer-yapiyor-larinin-menajerinden-ilginc-ahmet-nur-cebi-cikisi-1650703036316.jpg,20525,20049.0,18278.0,17374.0,13736.0,10254.0,6658
unopt-hilal-olsun-1650269707674.jpg,39458,39029.0,13430.0,12780.0,10592.0,8202.0,5506
cocuktan-al-haberi-umit-seda-erdim-ciftinin-ikinci-bebeklerinin-cinsiyetini-ve-ismini-kizlari-ses-acikladi-1650696402677.jpg,17995,17504.0,22224.0,21054.0,17062.0,13526.0,8932
son-dakika-almanlar-mesut-ozilin-yeni-takimini-yazdi-joachim-low-gelirse-1650647856465.jpg,20816,20356.0,11686.0,11042.0,8836.0,6378.0,4032
logo-bik.png,3238,2900.0,1110.0,1088.0,1018.0,932.0,832
logo-ilan-gov-tr.png,58573,58163.0,32196.0,31998.0,30958.0,29790.0,28298
pageTransferSize,1771347,,,,,,
totalByteWeight,3502617,,,,,,
