img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.saednews.com/,519,0.0,,,,,
cover-1_9x1.jpg?1650645839,37570,36961.0,14442.0,13662.0,10768.0,8000.0,5002
cover-1_9x1.jpg?1650637842,20366,19758.0,6316.0,5862.0,4740.0,3562.0,2468
cover-1_9x1.jpg?1650609329,23032,22427.0,5738.0,5400.0,4198.0,3070.0,1998
cover-1_9x1.jpg?1650608825,50098,49487.0,24620.0,22976.0,18898.0,13860.0,8592
brushed-alum.png,11711,11099.0,12912.0,12910.0,12884.0,12884.0,12884
job-editor.gif,22954,22341.0,14308.0,13716.0,11764.0,9440.0,6978
cover-1x1.jpg?1650645839,55747,55138.0,19528.0,18450.0,14626.0,10728.0,7102
cover-1x1.jpg?1650637842,37822,37212.0,11178.0,10736.0,8230.0,6060.0,4104
cover-1x1.jpg?1650609329,46990,46383.0,13358.0,12590.0,9366.0,6774.0,4604
cover-1x1.jpg?1650608825,81041,80414.0,37288.0,35616.0,28336.0,20362.0,12072
cover-1_9x1.jpg?1650530131,22347,21738.0,6742.0,6348.0,5246.0,3890.0,2632
cover-1_9x1.jpg?1650517789,24574,23965.0,7284.0,6938.0,5472.0,4164.0,2870
cover-1_9x1.jpg?1650515330,30638,30029.0,8354.0,7626.0,5252.0,3626.0,2250
hmn-bn-29sid.png,54832,54226.0,7574.0,7212.0,6094.0,4814.0,3350
tbp-bn-2ws0.gif,99866,99249.0,42608.0,40618.0,31488.0,24218.0,15662
aseman2.png,53327,52716.0,14396.0,13588.0,10792.0,8164.0,5244
etn-bn-z5o23.gif,49583,48969.0,47836.0,45634.0,39356.0,30968.0,22010
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87%20%D8%AE%D8%A8%D8%B1%DB%8C%E2%80%8C%D8%AA%D8%AD%D9%84%DB%8C%D9%84%DB%8C%20%D8%B3%D8%A7%D8%B9%D8%AF%D9%86%D,551,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
__fake.gif?aa=event&abe=L&abf=6d943426-cc4c-4ed5-812a-441dd27a045e&abj=1&aed=adv&abh=3464&ac=https%3A%2F%2Fsaednews.com%2Ffa&ae=%7B%7D&ad=saednews.com&as=%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87%20%D8%AE%,319,42.0,72.0,72.0,72.0,72.0,72
__fake.gif?aa=event&abe=L&abf=509a61d8-e238-49fa-ad1d-093814a7b343&abj=0&aed=pub&ac=https%3A%2F%2Fsaednews.com%2Ffa&ae=%7B%7D&ad=saednews.com&as=%D9%BE%D8%A7%DB%8C%DA%AF%D8%A7%D9%87%20%D8%AE%D8%A8%D8%,640,42.0,72.0,72.0,72.0,72.0,72
pixel?id=yektanet,819,597.0,44.0,44.0,44.0,44.0,44
225x150.jpg,13364,12932.0,6208.0,5884.0,4726.0,3544.0,2284
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-105812244-3&cid=403588189.1650649413&jid=1415448975&_u=4CDAAUAAAAAAAC~&z=2017234167,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-105812244-3&cid=403588189.1650649413&jid=1415448975&_u=4CDAAUAAAAAAAC~&z=2017234167,501,42.0,72.0,72.0,72.0,72.0,72
fa,993,993.0,72.0,72.0,72.0,72.0,72
cover-1_9x1.jpg?1650639287,17418,16814.0,4852.0,4554.0,3684.0,2762.0,1830
cover-1_9x1.jpg?1650524725,26773,26164.0,8496.0,7956.0,6434.0,4950.0,3464
cover-1_4x1.jpg?1643876260,26379,25774.0,6750.0,6378.0,5388.0,4124.0,2892
cover-1x1.jpg?1650533701,64713,64098.0,23594.0,21832.0,17464.0,12946.0,8278
cover-1x1.jpg?1650528261,36341,35724.0,12910.0,12278.0,9542.0,7054.0,4432
cover-1x1.jpg?1650514900,49961,49349.0,15582.0,14534.0,11524.0,8912.0,6254
cover-1x1.jpg?1650518627,102499,101873.0,50570.0,47056.0,38350.0,28944.0,19248
cover-1x1.jpg?1650357503,63742,63124.0,23670.0,22298.0,16176.0,10752.0,5948
cover-1x1.jpg?1650267775,65926,65313.0,29560.0,27752.0,22204.0,15940.0,9214
pageTransferSize,1819192,,,,,,
totalByteWeight,2960474,,,,,,
