img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sarkariresult.com/,16100,59859.0,,,,,
logo-new.png,45335,45187.0,6922.0,6636.0,5804.0,4800.0,3690
dmca_premi_badge.png,5748,5605.0,1210.0,1162.0,996.0,824.0,628
0.gif?2047891&101,163,43.0,72.0,72.0,72.0,72.0,72
log?pxRes=false&event=PPID_ANALYTICS_C1&data=eyJ1c2VySWQiOm51bGwsInNlc3Npb25JZCI6bnVsbCwicHBpZEFwcGxpY2FibGUiOiJNaXNzaW5nIiwic2l0ZUlkIjo0Mjc2OH0%3D,119,0.0,,,,,
sync,482,70.0,72.0,72.0,72.0,72.0,72
feedback?data=eyJjcmVhdGVkVFMiOjE2NTA3MDI4MjA5ODAsInBhY2tldElkIjoiMDAwMEE3MTAtYzEwNzY0YTgtZmEzOC00NTAwLTk4YmEtMjJlMGQ4YzE1MWY2Iiwic2l0ZUlkIjo0Mjc2OCwic2l0ZURvbWFpbiI6Imh0dHBzOi8vd3d3LnNhcmthcmlyZXN1bH,131,70.0,92.0,92.0,92.0,90.0,88
feedback?data=eyJjcmVhdGVkVFMiOjE2NTA3MDI4MjA5ODksInBhY2tldElkIjoiMDAwMEE3MTAtYzEwNzY0YTgtZmEzOC00NTAwLTk4YmEtMjJlMGQ4YzE1MWY2Iiwic2l0ZUlkIjo0Mjc2OCwic2l0ZURvbWFpbiI6Imh0dHBzOi8vd3d3LnNhcmthcmlyZXN1bH,131,70.0,92.0,92.0,92.0,90.0,88
log?pxRes=false&event=IL_data&data=eyJ1c2VySWQiOiIwMDAwQTcxMC1jMTA3NjRhOC1mYTM4LTQ1MDAtOThiYS0yMmUwZDhjMTUxZjYiLCJjb3VudHJ5IjoiSU4iLCJkYXRlIjoxNjUwNzAyODIxMjE1LCJkb21haW4iOiJ3d3cuc2Fya2FyaXJlc3VsdC5jb,119,0.0,,,,,
?random=1650702821701&cv=9&fst=1650700800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
?random=1650702821701&cv=9&fst=1650700800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,548,42.0,,,,,
jot?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Fwww.sarkariresult.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22m%3Awithcount%3A%22%2C%22_category_%22%3A%22tf,475,43.0,72.0,72.0,72.0,72.0,72
6592766407814317453,33873,33738.0,14376.0,13262.0,10222.0,7406.0,4820
downsize_200k_v1,76533,76144.0,31688.0,29384.0,22672.0,16458.0,11124
