img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sozcu.com.tr/,68832,382923.0,,,,,
10n.svg,1016,1810.0,,,,,
content.png,13049,12656.0,12608.0,12386.0,11618.0,10578.0,9502
ismail-kartal-3456671_20314950_16_9_1650658844-480x270.jpg,24453,24253.0,12896.0,12070.0,9698.0,7416.0,4920
aw602447_01_16_9_1650662157-480x270.jpg,20982,20749.0,10172.0,9650.0,7574.0,5618.0,3668
eyp-4_16_9_1650661921-480x270.jpg,34623,34416.0,24644.0,22990.0,18570.0,13400.0,8246
kartal-23_16_9_1650661256-480x270.jpg,23710,23499.0,12224.0,11484.0,9238.0,7126.0,4608
bursa-6_16_9_1650660367-480x270.jpg,21399,21210.0,10472.0,9844.0,7824.0,5890.0,3984
aw602430_02_16_9_1650658137-480x270.jpg,24922,24733.0,13536.0,12676.0,10240.0,7658.0,5102
hilal-23_16_9_1650656363-480x270.jpg,25610,25421.0,13922.0,13086.0,10126.0,7454.0,4760
aw602407_02_16_9_1650653857-480x270.jpg,23399,23209.0,13252.0,12130.0,8768.0,5792.0,3190
deprem-shutter-1_16_9_1626125915_16_9_1650665050.jpg,50619,50375.0,30554.0,28564.0,23032.0,17376.0,11422
zu5depo_16_9_1590403456.jpg,63780,63546.0,50792.0,48386.0,38876.0,27286.0,15356
logo.svg,20120,78517.0,,,,,
plus_icon.svg,736,1159.0,,,,,
arda-guler-6768_16_9_1650656757-480x270.jpg,22536,22336.0,12618.0,11882.0,9472.0,7280.0,4660
tbmm-2_16_9_1650646667-480x270.jpg,20421,20230.0,10350.0,9880.0,7836.0,6186.0,4260
3-sehit-2.jpg,71314,70935.0,30674.0,29288.0,23460.0,18714.0,13172
chp-77.jpg,85990,85729.0,38240.0,36082.0,29452.0,22358.0,15112
bitay_white.gif,35061,34826.0,43688.0,42112.0,36092.0,29140.0,20534
bg_left.jpg,23481,23300.0,3714.0,3496.0,2342.0,1624.0,1194
bg_right.jpg,26991,26605.0,5516.0,5020.0,3648.0,2628.0,1828
buyuksen-23_16_9_1650665433-480x270.jpg,24833,24643.0,14052.0,13174.0,9732.0,7090.0,4104
moskova-ihhha_16_9_1650662293-480x270.jpg,24035,23846.0,14550.0,13588.0,10686.0,7658.0,4526
erdogan-5_16_9_1630948948_16_9_1650651242-480x270.jpg,14174,14002.0,5598.0,5314.0,4162.0,3206.0,2224
crespo-depo_16_9_1650654770-480x270.jpeg,22002,21722.0,11616.0,10792.0,8502.0,6364.0,4158
erdoan-reuters_16_9_1650644181-480x270.jpg,21962,21490.0,11546.0,10820.0,8612.0,6524.0,4270
prens-harry-reuters-2_16_9_1650626577-480x270.jpg,12516,12303.0,5068.0,4804.0,3678.0,2636.0,1796
boris_16_9_1650635497-480x270.jpg,17189,16762.0,7594.0,7240.0,5740.0,4416.0,2994
indir-58_16_9_1650633234-480x270.jpg,39038,38610.0,28916.0,27662.0,22300.0,16758.0,9718
collect?v=1&_v=j96&a=358919726&t=pageview&_s=1&dl=https%3A%2F%2Fwww.sozcu.com.tr%2F&ul=en-us&de=UTF-8&dt=S%C3%B6zc%C3%BC%20Gazetesi%20-%20Haberler%2C%20Son%20dakika%20haberleri%2C%20G%C3%BCncel%20habe,55,35.0,44.0,44.0,44.0,44.0,44
bulent-korkmaz-66781_20314953_16_9_1650657430-480x270.jpg,27481,27018.0,15532.0,14526.0,11630.0,8572.0,5564
22042022-tbmm-12_16_9_1650655149-480x270.jpg,25100,24673.0,13468.0,12754.0,10100.0,7784.0,5130
kim-min-jae-64657_16_9_1650654137-480x270.jpeg,28839,28406.0,17430.0,16342.0,12580.0,9180.0,5606
34341_20314995_16_9_1650654310-480x270.jpg,23259,22832.0,11794.0,11224.0,8480.0,6150.0,3806
mehmet-fendoglu-depo_16_9_1650643439-480x270.jpg,12294,11864.0,4998.0,4702.0,3726.0,2774.0,1906
depophotos_17171142-2_16_9_1650643775-480x270.jpeg,35508,35075.0,23630.0,22354.0,17636.0,13278.0,8222
depophotos_17465260_16_9_1650630916-480x270.jpg,33007,32565.0,22108.0,20688.0,16178.0,11652.0,6904
josef-depo_16_9_1650633092-480x270.jpg,20840,20412.0,11080.0,10434.0,8336.0,6394.0,4136
fuat-oktay-iha_16_9_1650661133-480x270.jpg,17943,17517.0,7916.0,7516.0,5902.0,4446.0,3084
koca-iha_16_9_1650640617-480x270.jpg,14031,13606.0,5920.0,5548.0,4468.0,3268.0,2262
soylu-7_16_9_1650661011-480x270.jpg,32162,31732.0,20420.0,19504.0,15382.0,11556.0,7008
aksener-2_16_9_1650654598-480x270.jpg,25531,25088.0,13554.0,12820.0,10342.0,7820.0,5046
guterre-reuters_16_9_1650650935-480x270.jpg,18387,17959.0,8660.0,8044.0,6490.0,4898.0,3382
tbb_16_9_1573226409_16_9_1640622702_16_9_1650643102-480x270.jpg,26364,25937.0,13056.0,12314.0,9870.0,7328.0,4856
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-33329685-1&cid=789531083.1650666750&jid=399226183&_u=IEBAAEAAAAAAAC~&z=924686040,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-33329685-1&cid=789531083.1650666750&jid=399226183&_u=IEBAAEAAAAAAAC~&z=924686040,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-33329685-3&cid=789531083.1650666750&jid=995894070&_u=aGhAgEABAAAAAG~&z=1439683615,107,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-33329685-3&cid=789531083.1650666750&jid=995894070&_u=aGhAgEABAAAAAG~&z=1439683615,107,42.0,72.0,72.0,72.0,72.0,72
bahceli_16_9_1650633475-480x270.jpg,16123,15698.0,6884.0,6466.0,5126.0,3978.0,2778
babacan-sha1_16_9_1650641335-480x270.jpeg,19991,19561.0,9610.0,9098.0,7222.0,5510.0,3628
egitim_16_9_1650625453-480x270.jpg,22288,21861.0,10834.0,10102.0,7978.0,5852.0,3872
cemal-kasikci-1_16_9_1650639018-480x270.jpg,28999,28572.0,17494.0,16440.0,12906.0,9378.0,5602
imamoglu-6.jpg,85325,84879.0,38242.0,35730.0,28532.0,22118.0,15168
fenerbahce-5567768.jpg,116608,116149.0,61968.0,58984.0,48054.0,37570.0,24498
macron-rreuters.jpg,82129,81668.0,34664.0,32702.0,25736.0,19476.0,13106
fett.jpg,63198,62754.0,24032.0,22742.0,18662.0,14858.0,10486
coronae-1.jpg,104904,104446.0,50854.0,47500.0,39172.0,30296.0,20926
ahmet-dursun-346456546.jpg,102742,102291.0,50454.0,47660.0,38884.0,30596.0,20752
kazananlar.jpg,83892,83446.0,36518.0,34586.0,27656.0,21404.0,14412
kara-tahta.jpg,133830,133367.0,77942.0,72324.0,58280.0,43562.0,26874
billgates.jpg,103667,103200.0,49490.0,46566.0,37188.0,28590.0,19236
rahmi-turan-1.jpg,112742,112280.0,63720.0,60722.0,51254.0,40398.0,28060
emin-colasan.png?ver=1.0.0.1,35017,34552.0,12802.0,12108.0,9908.0,7524.0,5016
ugur-dundar.png?ver=1.0.0.1,18310,17854.0,6270.0,5978.0,5092.0,4236.0,3260
rahmi-turan.png?ver=1.0.0.1,21467,20998.0,7146.0,6802.0,5762.0,4876.0,3918
yilmaz-ozdil.png?ver=1.0.0.1,24417,23960.0,9500.0,9102.0,7740.0,6428.0,5206
necati-dogru.png?ver=1.0.0.1,18156,17700.0,6500.0,6220.0,5296.0,4250.0,3270
saygi-ozturk.png?ver=1.0.0.1,18906,18450.0,5542.0,5322.0,4484.0,3702.0,2876
soner-yalcin.png?ver=1.0.0.1,23061,22631.0,8166.0,7836.0,6492.0,5256.0,3864
deniz-zeyrek.png?ver=1.0.0.1,42224,41750.0,6398.0,6130.0,5440.0,4610.0,3986
ege-cansen.png?ver=1.0.0.1,49190,48712.0,6602.0,6358.0,5502.0,4622.0,3720
cigdem-toker.png?ver=1.0.0.1,58560,58090.0,8750.0,8520.0,7648.0,6682.0,5686
murat-muratoglu.png?ver=1.0.0.1,46209,45734.0,8298.0,7912.0,6638.0,5490.0,4172
aytunc-erkin.png?ver=1.0.0.1,48691,48208.0,5430.0,5222.0,4604.0,4006.0,3458
nedim-turkmen.png?ver=1.0.0.1,50511,50020.0,6460.0,6118.0,5168.0,4418.0,3672
sezgin-ozcan.png?ver=1.0.0.1,58160,57680.0,8106.0,7762.0,6800.0,5798.0,4730
sinan-meydan.png?ver=1.0.0.1,57293,56818.0,9240.0,8850.0,7198.0,5472.0,3882
serpil-yilmaz.png?ver=1.0.0.1,59242,58772.0,9080.0,8860.0,7894.0,7066.0,6250
ruhat-mengi.png?ver=1.0.0.1,59332,58848.0,10036.0,9678.0,8432.0,7082.0,5770
ayse-sucu.png?ver=1.0.0.1,62746,62256.0,6290.0,6056.0,5246.0,4390.0,3686
yekta-gungor-ozden.png?ver=1.0.0.1,28496,28032.0,10616.0,9946.0,7886.0,5700.0,3932
sultan-ucar.png?ver=1.0.0.1,64552,64072.0,10984.0,10692.0,9618.0,8526.0,7468
default.png,2186,1740.0,1364.0,1352.0,1328.0,1308.0,1294
madonnaevi1_16_9_1650633889.png,71582,71132.0,44162.0,41682.0,33102.0,24094.0,15610
music-shutterstock-2_16_9_1624300567_16_9_1646254989_16_9_1650629181.jpg,36141,35711.0,19712.0,18762.0,14856.0,11532.0,7692
heard_depp-reuters_16_9_1650613341.jpg,39350,38920.0,23236.0,21884.0,16408.0,11384.0,7100
depophotos_15635845_16_9_1650613036.jpg,43871,43422.0,32378.0,30354.0,24290.0,17350.0,10000
strangerthings-netflix_16_9_1650619433.png,79429,78982.0,39986.0,37700.0,28674.0,21258.0,14380
kilicdaroglu-23_16_9_1650642607-480x270.jpg,16766,16339.0,6938.0,6536.0,5196.0,3922.0,2464
davutoglu-2_16_9_1650642800-480x270.jpg,21426,20999.0,12098.0,11436.0,9114.0,6722.0,4148
logo-bik.png,3236,2900.0,1110.0,1088.0,1018.0,932.0,832
logo-ilan-gov-tr.png,58564,58163.0,32196.0,31998.0,30958.0,29790.0,28298
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-GG5P6V2SE4&cid=789531083.1650666750&gtm=2oe4k0&aip=1&z=804217897,63,42.0,72.0,72.0,72.0,72.0,72
bitcoin.svg,1567,2069.0,,,,,
ethereum.svg,970,1345.0,,,,,
solana.svg,1063,1785.0,,,,,
ripple.svg,673,472.0,,,,,
avalanche-2.svg,1196,1619.0,,,,,
tron.svg,821,651.0,,,,,
shiba-inu.svg,3452,9894.0,,,,,
dogecoin.svg,21404,57184.0,,,,,
cardano.svg,2361,5693.0,,,,,
polkadot.svg,835,1055.0,,,,,
litecoin.svg,711,489.0,,,,,
matic-network.svg,910,1109.0,,,,,
chainlink.svg,666,387.0,,,,,
omisego.svg,1417,1829.0,,,,,
tezos.svg,1149,1517.0,,,,,
arpa-chain.svg,906,1197.0,,,,,
?random=1650666764398&cv=9&fst=1650664800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,,,,,
?random=1650666764398&cv=9&fst=1650664800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,,,,,
?random=297204036&cv=9&fst=1650666764404&num=1&value=0&label=https%3A%2F%2Fwww.sozcu.com.tr%2F&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java,64,42.0,,,,,
pageTransferSize,4337366,,,,,,
totalByteWeight,6668743,,,,,,
