img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.sportbible.com/,49091,511800.0,,,,,
clock-icon.33be180bd67d44af01de8be6848ae59d.svg,563,873.0,,,,,
278978365_363069852544971_2431402268413547277_n.png,34837,34638.0,5152.0,5066.0,4524.0,3502.0,2108
trending.3f7238775dcf123c8e2d41d70301ee16.svg,299,344.0,,,,,
Untitled_design.png,17674,17490.0,3774.0,3710.0,3260.0,2434.0,1506
Colourful_Italy_Facebook_App_(30).png,14226,14056.0,5192.0,5074.0,4540.0,3452.0,2066
Colourful_Italy_Facebook_App_(29).png,9053,8888.0,3572.0,3504.0,3116.0,2364.0,1488
Untitled_design_(3).png,55842,55618.0,5826.0,5656.0,5086.0,3884.0,2414
Untitled_design_(2).png,20820,20340.0,7528.0,7378.0,6622.0,5160.0,3146
5d79efd7623bdaa0c7fb515fb6146cf2.png,12406,12238.0,4684.0,4636.0,4150.0,3238.0,1820
b?c1=2&c2=15593740&ns__t=1650675650600&ns_c=UTF-8&cv=3.5&c8=SPORTbible%20-%20The%20Latest%20Sports%20News%2C%20Videos%2C%20Rumours%20%26%20Pictures&c7=https%3A%2F%2Fwww.sportbible.com%2F&c9=,284,0.0,,,,,
Untitled_design_(3).png,13549,13352.0,5826.0,5656.0,5086.0,3884.0,2414
b2?c1=2&c2=15593740&ns__t=1650675650309&ns_c=UTF-8&cv=3.5&c8=SPORTbible%20-%20The%20Latest%20Sports%20News%2C%20Videos%2C%20Rumours%20%26%20Pictures&c7=https%3A%2F%2Fwww.sportbible.com%2F&c9=,190,0.0,,,,,
?id=273758552816412&ev=PageView&dl=https%3A%2F%2Fwww.sportbible.com%2F&rl=&if=false&ts=1650675651065&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650675651062.1955580207&it=1650675650676&coo=fa,408,44.0,,,,,
gn?prd=session&c9=devid&c13=asidP4A4DFDB3-E02B-4580-BD5D-C4BCD0499C2B&sessionId=l6jpnt8jalf1pnqh1jdb75netm3yo1650675650&c16=sdkvbj.6.0.0&uoo=&fp_id=&fp_cr_tm=&fp_acc_tm=&fp_emm_tm=&ve_id=&c30=bldv,717,44.0,72.0,72.0,72.0,72.0,72
l6jpnt8jalf1pnqh1jdb75netm3yo1650675650.nuid.imrworldwide.com,351,35.0,,,,,
278978365_363069852544971_2431402268413547277_n.png,13542,13370.0,5152.0,5066.0,4524.0,3502.0,2108
Colourful_Italy_Facebook_App_(30).png,14015,13820.0,5192.0,5074.0,4540.0,3452.0,2066
Untitled_design_(71).png,11416,11244.0,4158.0,4088.0,3650.0,2820.0,1684
Untitled_design.png,17874,17442.0,3774.0,3710.0,3260.0,2434.0,1506
Colourful_Italy_Facebook_App_(29).png,8990,8798.0,3572.0,3504.0,3116.0,2364.0,1488
https%3A%2F%2Fs3-images.sportbible.com%2Fs3%2Fcontent%2Fe08f71746262a595bc77fed392224625.png,4894,4582.0,1984.0,1966.0,1714.0,1234.0,822
?id=273758552816412&ev=PermutiveSegmentEntry&dl=https%3A%2F%2Fwww.sportbible.com%2F&rl=&if=false&ts=1650675653785&cd[segment_id]=10895&sw=360&sh=640&v=2.9.57&r=stable&ec=2&o=30&fbp=fb.1.1650675651062.,91,44.0,72.0,72.0,72.0,72.0,72
seg?add=23812368&t=1,673,0.0,72.0,72.0,72.0,72.0,72
?id=273758552816412&ev=PermutiveSegmentEntry&dl=https%3A%2F%2Fwww.sportbible.com%2F&rl=&if=false&ts=1650675653787&cd[segment_id]=41559&sw=360&sh=640&v=2.9.57&r=stable&ec=3&o=30&fbp=fb.1.1650675651062.,88,44.0,72.0,72.0,72.0,72.0,72
seg?add=28835619&t=1,673,0.0,72.0,72.0,72.0,72.0,72
