img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.state.gov/,33136,186394.0,,,,,
us_flag_small.png,542,135.0,160.0,160.0,144.0,126.0,108
chevron.svg,769,532.0,,,,,
icon-dot-gov.svg,832,800.0,,,,,
icon-https.svg,796,720.0,,,,,
lock.svg,813,793.0,,,,,
Logo_White_M.png,3749,3303.0,3678.0,3604.0,3422.0,3248.0,3094
wavy-bg.jpg,1254,846.0,218.0,198.0,124.0,110.0,82
star.svg,609,236.0,,,,,
What-Is-A-Special-Military-Operation-Hero-1024x512.png,114502,113776.0,,,,,
AP735034335059-scaled-1-1-e1645217542661-1024x1024.jpg,135963,135226.0,46300.0,42778.0,30548.0,21896.0,14554
40625373363_c47fb80b5a_o-1024x768.jpg,56760,56196.0,20732.0,19394.0,14962.0,11278.0,7622
51001530789_7846d9af00_q.jpg,11244,10808.0,5216.0,4942.0,4022.0,3048.0,2020
tracker?domain=videocloud&platform=video-js&session=75966952731468b529e46e5&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=6.64.3&player=players.brightcove.com%2F170566,207,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=75966952731468b529e46e5&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=6.64.3&player=players.brightcove.com%2F170566,94,35.0,44.0,44.0,44.0,44.0,44
countries-bg.jpg,132986,132260.0,43338.0,39806.0,30386.0,22198.0,15326
footer-logo-vert-2x.png,20114,19630.0,12730.0,12394.0,11156.0,9404.0,7660
tracker?domain=videocloud&platform=video-js&session=75966952731468b529e46e5&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=6.64.3&player=players.brightcove.com%2F170566,49,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=75966952731468b529e46e5&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=6.64.3&player=players.brightcove.com%2F170566,49,35.0,44.0,44.0,44.0,44.0,44
image.jpg,29200,28636.0,14568.0,13862.0,10920.0,8186.0,5614
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,207,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,94,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,94,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-107671946-1&cid=1826784514.1650643783&jid=1886852887&_u=aGDAAUADQAAAAC~&z=1274060386,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-107671946-1&cid=1826784514.1650643783&jid=1886852887&_u=aGDAAUADQAAAAC~&z=1274060386,501,42.0,72.0,72.0,72.0,72.0,72
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,49,35.0,44.0,44.0,44.0,44.0,44
1705665025_6101837050001_6101833451001-vs.jpg?pubId=1705665025&videoId=6101833451001,22759,22289.0,,,,,
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,49,35.0,44.0,44.0,44.0,44.0,44
tracker?domain=videocloud&platform=video-js&session=315f36366621d1b47f20e250&account=1705665025&destination=https%3A%2F%2Fwww.state.gov%2F&platform_version=5.28.1&player=players.brightcove.com%2F17056,49,35.0,44.0,44.0,44.0,44.0,44
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-107671946-1&cid=1826784514.1650643783&jid=552181399&_u=aHDAAUADQAAAAC~&z=1332480646,63,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-107671946-1&cid=1826784514.1650643783&jid=552181399&_u=aHDAAUADQAAAAC~&z=1332480646,63,42.0,72.0,72.0,72.0,72.0,72
Panama.jpg,3464772,3456690.0,1198530.0,1115440.0,786746.0,514958.0,292950
pageTransferSize,5543933,,,,,,
totalByteWeight,9665945,,,,,,
