img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.study.com/,212,0.0,,,,,
bbbLogo_ep.jpg,11356,10930.0,4898.0,4654.0,3934.0,3086.0,2156
logo.png,2766,2360.0,1320.0,1304.0,1248.0,1164.0,1116
favicon.ico,1547,1150.0,,,,,
homeCoursePreview.jpg,10787,10409.0,3942.0,3778.0,3110.0,2202.0,1392
icon_lesson_fff.svg,1379,972.0,,,,,
icon_article_fff.svg,890,1096.0,,,,,
icon_chapter_fff.svg,895,1005.0,,,,,
icon_quiz_fff.svg,1021,1627.0,,,,,
icon-answers.svg,940,1051.0,,,,,
math.svg,1187,1954.0,,,,,
science.svg,2074,3628.0,,,,,
subjects_math.svg,1036,1599.0,,,,,
subjects_socialsciences.svg,1555,2326.0,,,,,
subjects_science.svg,1697,2804.0,,,,,
subjects_business.svg,1222,814.0,,,,,
subjects_humanities.svg,1214,1602.0,,,,,
subjects_education.svg,1243,1734.0,,,,,
subjects_artsanddesign.svg,1230,1816.0,,,,,
subjects_history.svg,1108,699.0,,,,,
subjects_techandengineering.svg,1675,2913.0,,,,,
subjects_health.svg,1118,1287.0,,,,,
hub-diagram-white.svg,1175,767.0,,,,,
one-percent-pledge.png,19591,19158.0,13844.0,13536.0,12508.0,11242.0,9568
keys-to-classroom.png,26853,26420.0,4562.0,4332.0,3526.0,2610.0,1540
one-percent-pledge-icon.png,4176,3762.0,1730.0,1652.0,1442.0,1222.0,944
working-scholars.png,14227,13801.0,2816.0,2700.0,2304.0,1936.0,1332
scholarships.png,6288,5873.0,3082.0,3006.0,2840.0,2630.0,2464
app-icon-logo.png,2457,2052.0,1274.0,1248.0,1072.0,922.0,718
facebook_white_39x39.png,855,451.0,266.0,266.0,266.0,266.0,266
youtube_white_39x39.png,832,427.0,226.0,226.0,226.0,226.0,226
instagram_white_39x39.png,908,502.0,272.0,272.0,272.0,272.0,272
twitter_white_39x39.png,893,489.0,250.0,250.0,250.0,250.0,250
linkedin_white_39x39.png,1823,1418.0,318.0,318.0,318.0,318.0,318
couple_mobile.jpg,88323,87816.0,21026.0,19606.0,14908.0,10346.0,6468
homepage-book.svg,1084,667.0,,,,,
homepage-pencil.svg,1308,890.0,,,,,
homepage-grad-cap.svg,1111,692.0,,,,,
homepage-apple.svg,1085,668.0,,,,,
study_2.jpg,88135,87627.0,23474.0,21934.0,16084.0,10720.0,6258
test_prep.jpg,45996,45534.0,13810.0,12882.0,10492.0,8100.0,5918
college_credit.jpg,112846,112309.0,44854.0,41864.0,32812.0,24180.0,15414
teacher_resources.jpg,96884,96367.0,32648.0,30656.0,22884.0,15974.0,9950
homeschool_2.jpg,75414,74916.0,17052.0,15900.0,11882.0,8690.0,5196
tutor-social.png,100335,99811.0,9822.0,9280.0,7678.0,5714.0,3714
subject-math.jpg,10206,9780.0,6530.0,6154.0,4912.0,3774.0,2452
subject-science.jpg,11141,10715.0,5778.0,5406.0,4400.0,3266.0,2122
subject-business.jpg,10551,10125.0,7076.0,6696.0,5488.0,4152.0,2770
subject-english.jpg,11195,10768.0,10628.0,10106.0,8356.0,6434.0,4204
subject-social-science.jpg,8869,8443.0,4502.0,4296.0,3398.0,2576.0,1678
subject-history.jpg,14264,13838.0,8562.0,8130.0,6452.0,4720.0,2874
subject-psychology.jpg,8595,8179.0,4440.0,4176.0,3362.0,2556.0,1700
subject-test-prep.jpg,9905,9480.0,5470.0,5086.0,4068.0,3042.0,1884
platform_phone_mobile.png,73458,72968.0,10886.0,10412.0,8826.0,6992.0,4890
BBB_white.png,5009,4595.0,2064.0,2064.0,2064.0,2066.0,2064
0?ti=5012553&Ver=2&mid=0da36279-d962-4bcd-be68-52682395f0ab&sid=e9886660c2a211ec909641a3cf4d535b&vid=e9889fc0c2a211eca79feba89fd462f1&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Study.com%20%,152,0.0,,,,,
unifiedPixel?marketerId=00cd5d357f451562a05bf99313999bea71&obApiVersion=1.1&obtpVersion=1.6.0&name=PAGE_VIEW&dl=https%3A%2F%2Fstudy.com%2F&optOut=false&bust=08378951648655149,256,43.0,72.0,72.0,72.0,72.0,72
c.gif?ctsa=mr&CtsSyncId=916DB4E3E193420284004228D1B105C2&MUID=32A49DACE5566E9F35698C23E45F6F79,464,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1461402,,,,,,
totalByteWeight,2992063,,,,,,
