img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.tass.ru/,4132,3996.0,,,,,
ajax-loader.gif,7022,6820.0,12934.0,12600.0,11278.0,9744.0,7774
ajax-loader.gif,0,6820.0,12934.0,12600.0,11278.0,9744.0,7774
ajax-loader.gif,0,6820.0,12934.0,12600.0,11278.0,9744.0,7774
logo;TASS_total?40.1,417,141.0,,,,,
close-icon.svg,941,1318.0,,,,,
tass-logo.svg,1436,2901.0,,,,,
news-flash-03.svg,790,829.0,,,,,
search-icon.svg,827,984.0,,,,,
sections-icon.svg,769,847.0,,,,,
vk.svg,1721,2813.0,,,,,
ok.svg,1391,2196.0,,,,,
6707523.jpg,144554,144193.0,,,,,
press-icon.svg,1125,2077.0,,,,,
vk.svg,1480,2250.0,,,,,
vk.svg,1306,2024.0,,,,,
ok.svg,1483,2660.0,,,,,
rss.svg,1039,1563.0,,,,,
iPhone.svg,1100,1579.0,,,,,
6715655.jpg,159400,159020.0,70090.0,65590.0,51290.0,35380.0,20460
6715641.jpg,62004,61733.0,8522.0,8030.0,6114.0,4280.0,2688
6715627.jpg,78422,78134.0,,,,,
6715555.jpg,75607,75319.0,,,,,
6715569.jpg,121132,120799.0,,,,,
6715577.jpg,129652,129310.0,,,,,
6715307.jpg,357532,356936.0,,,,,
6715593.jpg,201341,200916.0,,,,,
optimize.webp,8459,8044.0,,,,,
optimize.webp,27306,26864.0,,,,,
optimize.webp,50297,49828.0,,,,,
optimize.webp,90908,90394.0,,,,,
optimize.webp,108087,107554.0,,,,,
5191348.63887c18dff34070c913c3c553fcc347.jpg,80809,80301.0,,,,,
6715593.jpg,104897,104582.0,,,,,
y180,7404,7000.0,,,,,
spaceru.ru?size=32&stub=1,848,635.0,,,,,
play.google.com?size=120&stub=1,1897,1684.0,,,,,
play.google.com?size=32&stub=1,1354,1141.0,,,,,
6715611.jpg,96546,96239.0,,,,,
;h%u041D%u043E%u0432%u043E%u0441%u0442%u0438%20%u0432%20%u0420%u043E%u0441%u0441%u0438%u0438%20%u0438%20%u043C%u0438%u0440%u0435%20-%20%u0422%u0410%u0421%u0421;0.6861099872695446,528,43.0,,,,,
advert.gif,148,43.0,,,,,
350099296,415,43.0,,,,,
736598383,415,43.0,,,,,
?et=pv&pid=2706484&rid=1650719725.985-570608439&tid=t1.2706484.296334562.1650719725986&v=2.1.10&exp=exp_bot%2Csplit_a%2Cexp_ping%2Cyes&ct=web&aduid=49d06cde-dd81-4f5c-a185-3b830c6aedda&aduidsc=tass.ru,583,43.0,,,,,
orig,56928,56522.0,,,,,
DB55E5.jpg,94128,93762.0,,,,,
AACC8wGbhqjqYh2wH9uAnqQQ5waeL9lnM_pq0XUX59zfX14XysJbldlvUIvTN7Pmtos0ZnlDGB7wKXE-D_56uGCy-LalxqceOZY43GBPOLjqUxw_cg7e5n6idEoitAwwGNM_KsWriBAcsHzJoi_kSQhye5Q1EPcsIIVVwUhzJ0KUQ7GXxp5_xmi9AAAAsGEjwTm-K6CL,406,43.0,,,,,
9DBF98.png,758,397.0,,,,,
AEC13B.png,765,404.0,,,,,
8B79EF.png,649,288.0,,,,,
wx1080,75413,74926.0,,,,,
jet.jet-partners.ru?size=32&stub=1,763,550.0,,,,,
wx1080,38648,38206.0,,,,,
maxxproperty.ru?size=32&stub=1,1559,1346.0,,,,,
litmarket.ru?size=32&stub=1,1414,1201.0,,,,,
diadema-hotel.ru?size=32&stub=1,1882,1669.0,,,,,
vesperfin.com?size=32&stub=1,1475,1262.0,,,,,
x900,124468,123926.0,,,,,
x900,163340,162762.0,,,,,
com.games.joinblocks?af_c_id=53594945&sha1_idfa=&af_ip=2400%3Aadc5%3A13e%3A5400%3Ad67%3A9156%3A48f%3A7c41&af_adset=107061380&c=AdQuantum_JoinBlocks_BF_and_T4(apr2)_MyTarget_Mob_CPI_multi_max_fast_2104,311,2.0,,,,,
cm.gif?p=34&id=E-dzgyM_GSBD,451,43.0,,,,,
?et=pg&pid=2706484&rid=1650719725.985-570608439&tid=t1.2706484.296334562.1650719725986&v=2.1.10&exp=exp_bot%2Csplit_a%2Cexp_ping%2Cyes&ct=web&aduid=49d06cde-dd81-4f5c-a185-3b830c6aedda&aduidsc=tass.ru,483,43.0,,,,,
?et=pg&pid=2706484&rid=1650719725.985-570608439&tid=t1.2706484.296334562.1650719725986&v=2.1.10&exp=exp_bot%2Csplit_a%2Cexp_ping%2Cyes&ct=web&aduid=49d06cde-dd81-4f5c-a185-3b830c6aedda&aduidsc=tass.ru,483,43.0,,,,,
pageTransferSize,4771136,,,,,,
totalByteWeight,8156731,,,,,,
