img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.tempo.co/,17648,77994.0,,,,,
logo-tempo-G20-v2.jpg,22800,22422.0,9586.0,9176.0,7764.0,5874.0,4044
1105131_400.jpg,25134,24747.0,17416.0,16496.0,13670.0,10292.0,6740
1095840_400.jpg,12735,12357.0,6694.0,6208.0,4752.0,3316.0,2014
1105246_400.jpg,23888,23511.0,17840.0,16988.0,13948.0,10804.0,7070
1105264_400.jpg,16005,15626.0,10216.0,9752.0,7816.0,5864.0,3848
sprites.png?v2,44203,43795.0,18726.0,18706.0,18100.0,17534.0,16794
login.png,2019,1662.0,664.0,658.0,620.0,594.0,548
1102264_720.jpg,69156,68715.0,52520.0,48812.0,39542.0,29924.0,18856
798982_400.jpg,22629,21861.0,16084.0,15322.0,12630.0,9662.0,6340
798995_400.jpg,21046,20269.0,14874.0,14078.0,11550.0,8708.0,5530
799373_400.jpg,23688,22920.0,18448.0,17390.0,14294.0,10244.0,5764
1105272_400.jpg,18668,18290.0,13048.0,12312.0,9950.0,7520.0,4782
1105280_400.jpg,20239,19861.0,15102.0,14288.0,11834.0,8776.0,5720
1105281_400.jpg,24876,24498.0,20654.0,19678.0,16086.0,12002.0,7344
412155_400.jpg,43382,42969.0,10784.0,10120.0,7882.0,5842.0,3642
1102264_400.jpg,29418,29030.0,24356.0,23266.0,19098.0,14694.0,9108
1101614_400.jpg,17608,17221.0,12818.0,12248.0,10336.0,7860.0,5244
1092197_400.jpg,20120,19742.0,13862.0,13256.0,11044.0,8482.0,5832
logo-ramadan-2022.png,18543,18164.0,2558.0,2448.0,2070.0,1568.0,1090
1105273_400.jpg,16680,16311.0,11490.0,11002.0,8834.0,6744.0,4296
1105234_400.jpg,16095,15717.0,10374.0,9858.0,7892.0,5962.0,3894
923724_400.jpg,16995,16617.0,9976.0,9358.0,7672.0,5834.0,3966
732755_400.jpg,32960,32572.0,27916.0,27068.0,22400.0,17326.0,11058
952284_400.jpg,15263,14884.0,9008.0,8622.0,6830.0,5110.0,3290
1101397_400.jpg,25551,25164.0,19968.0,19056.0,15480.0,11552.0,7298
1105281_720.jpg,63708,63277.0,49642.0,46704.0,38148.0,27610.0,16740
1101225_720.jpg,45902,45496.0,28006.0,26550.0,20632.0,15352.0,9796
1104131_720.jpg,24248,23861.0,12310.0,11376.0,8166.0,5016.0,2738
202562_620.jpg,70147,69714.0,19886.0,18702.0,14842.0,11400.0,7464
652591_720.jpg,26275,25887.0,12666.0,11804.0,9394.0,6920.0,4780
973939_720.jpg,38757,38360.0,24404.0,22858.0,17878.0,13046.0,8120
513558_620.jpg,81765,81314.0,24354.0,23094.0,17712.0,12770.0,7930
1105182_720.jpg,86077,85616.0,79408.0,76048.0,61684.0,46896.0,26562
1104753_720.jpg,59592,59169.0,42080.0,39880.0,31730.0,23966.0,15020
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Berita%20Terkini%2C%20Berita%20Hari%20Ini%20Indonesia%20dan%20Dunia%20-%20Tempo.co&time=1650720693835&time_zone_offset=-300&screen_params=360x6,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
b2?c1=2&c2=16455543&ns__t=1650720693837&ns_c=UTF-8&cv=3.5&c8=Berita%20Terkini%2C%20Berita%20Hari%20Ini%20Indonesia%20dan%20Dunia%20-%20Tempo.co&c7=https%3A%2F%2Fwww.tempo.co%2F&c9=,189,0.0,,,,,
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-S2392T8S1Y&cid=1737700504.1650720695&gtm=2oe4k0&aip=1&z=360478781,501,42.0,72.0,72.0,72.0,72.0,72
