img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.theepochtimes.com/,124,0.0,,,,,
logo_eet.svg,6078,16220.0,,,,,
Ron-DeSantis-550x330.jpg,34085,33422.0,6660.0,6238.0,4994.0,3698.0,2528
white.png,211,95.0,72.0,72.0,72.0,72.0,72
SYSC.jpg,106030,105365.0,13256.0,12566.0,10482.0,7878.0,5424
62-20220422_730pm_Melbourne-NTDTV-David-Limbrick-205x123.jpg,13173,12510.0,3536.0,3356.0,2688.0,2022.0,1334
23-20220421-2PM-NJPAC-LilyYu-Paul-family-manager-prestor-copy-2-205x123.jpg,9392,8730.0,3406.0,3224.0,2538.0,1904.0,1290
epochvideo_sidebar.jpg,47190,47025.0,11442.0,10826.0,8608.0,6548.0,4394
EpochTV_Gold_Home.png,23673,23553.0,8366.0,8158.0,7408.0,6976.0,6590
750x790.jpg,208503,207838.0,34768.0,32596.0,24194.0,16662.0,10030
ATL-240x240.jpg,12214,11551.0,5492.0,5228.0,4166.0,3036.0,1926
WEB_LeeSmith2.jpg,128330,127665.0,11370.0,10684.0,8208.0,5660.0,3210
Epoch-Cinema-Banner-800-x-800.jpg,295788,295123.0,31226.0,29606.0,23034.0,16670.0,10392
title_epochfun.png,30524,30404.0,7386.0,7154.0,6236.0,5200.0,4146
Spot-the-Difference-4-22-22-205x123.png,64403,63741.0,7302.0,6922.0,5526.0,4100.0,2512
pexels-edgar-colomba-2240293-205x123.jpeg,8835,8173.0,2794.0,2620.0,2136.0,1660.0,1208
Spellbound-Cover-205x123.jpg,7217,6555.0,2908.0,2726.0,2162.0,1652.0,1122
title_store.png,37939,37810.0,5778.0,5492.0,4686.0,3544.0,2388
How-the-Specter-of-Communism-is-Ruling-Our-World-Book-Cover-205x123.png,39598,38936.0,2648.0,2504.0,2056.0,1592.0,1056
WEB_CharlotteAllen.jpg,79845,79181.0,5642.0,5294.0,4078.0,2952.0,1884
WEB_MartinKulldorff.jpg,65623,64960.0,4780.0,4510.0,3574.0,2632.0,1780
WEB_ScottieBarnes.jpg,234699,234034.0,26870.0,25612.0,19346.0,13840.0,9026
WEB_MikeSakal.jpg,177588,176923.0,11296.0,10548.0,8326.0,6280.0,4534
WEB_JeffLouderback.jpg,218411,217746.0,22102.0,20562.0,15456.0,10566.0,5936
week-16_CIsmall.jpg,80747,80083.0,15000.0,14338.0,11830.0,9180.0,6098
week-15_CIsmall.jpg,99752,99088.0,13324.0,12826.0,10500.0,8214.0,5232
week-14_CIsmall.jpg,86188,85524.0,10338.0,9902.0,8418.0,6504.0,4468
frontpage-inspired-banner-mobile.jpg,211963,211707.0,59596.0,55718.0,41444.0,28844.0,16672
week-16_LTsmall.jpg,67996,67332.0,8110.0,7658.0,6438.0,4844.0,3246
week-16_ACsmall.jpg,57502,56839.0,6466.0,6210.0,5164.0,4036.0,2726
week-15_LTsmall-1.jpg,83301,82637.0,8906.0,8406.0,6898.0,5154.0,3308
week-15_ACsmall.jpg,50781,50118.0,5566.0,5340.0,4578.0,3658.0,2592
week-15_MBsmall.jpg,76535,75871.0,9668.0,9196.0,7572.0,5866.0,3966
EET_footer.png,7621,7478.0,3846.0,3854.0,3850.0,3840.0,3850
mobile-AppleStoreBadge.png,32288,31626.0,9658.0,9454.0,8444.0,7266.0,5732
mobile-GooglePlayBadge.png,55295,54633.0,9386.0,9106.0,7976.0,6626.0,5060
icon_subscribe.png,2613,2503.0,1646.0,1646.0,1644.0,1644.0,1644
icon_book.png,540,429.0,220.0,220.0,216.0,216.0,216
backtotop.svg,691,1176.0,,,,,
eet_app.png,11569,11456.0,2214.0,2132.0,1904.0,1632.0,1360
Rehearsal-AngeliaWang-dancer-ShenYun-web-550x330.jpg,26820,26157.0,8648.0,8080.0,6434.0,4714.0,3180
Supreme-Court-Union-Fees-02_AP-205x123.jpg,8631,7969.0,4996.0,4664.0,3812.0,2816.0,1798
Manasseh-Sogavare-R-and-Chinese-Premier-Li-Keqiang-205x123.jpg,13434,12771.0,6700.0,6420.0,5214.0,3944.0,2526
GettyImages-618811522-205x123.jpeg,23847,23184.0,4622.0,4320.0,3456.0,2650.0,1730
