img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.toppr.com/,51234,611520.0,,,,,
productLearnNew@2x.png,35125,34992.0,,,,,
productLearnMweb@2x.png,18598,18483.0,,,,,
blueRightArrow.svg,264,282.0,,,,,
productCodr2x.png,134606,134337.0,,,,,
codrArrow.svg,446,516.0,,,,,
productAnswr2x.png,122005,121781.0,,,,,
productSchoolOS2x.png,119414,119190.0,,,,,
schoolExploreArrow.svg,405,504.0,,,,,
examJEE2x.png,179294,179006.0,,,,,
jeeExplore.svg,280,282.0,,,,,
examNEET2x.png,89772,89575.0,,,,,
neetExplore.svg,299,282.0,,,,,
examSTAR2x.png,84306,84116.0,,,,,
starExplore.svg,263,282.0,,,,,
Award.svg,3605,10269.0,,,,,
Award_GlobalEdTech.svg,149676,209550.0,,,,,
ap_board-50@2x.png,8654,8547.0,,,,,
cbse-50@2x.png,10793,10463.0,,,,,
goa_board-50@2x.png,10243,10138.0,,,,,
icse-50@2x.png,9600,9507.0,,,,,
karnataka_board-50@2x.png,8878,8743.0,,,,,
kerala_board-50@2x.png,7746,7631.0,,,,,
meghalaya_board-50@2x.png,10324,10206.0,,,,,
mh_board-50@2x.png,10120,10015.0,,,,,
mp-board-50@2x.png,10422,10317.0,,,,,
odisha_board-50@2x.png,10042,9937.0,,,,,
rj-board-50@2x.png,10486,10381.0,,,,,
telangana_board-50@2x.png,6995,6912.0,,,,,
aiims-50@2x.png,4824,4741.0,,,,,
bitsat-50@2x.png,10406,10312.0,,,,,
cma_foundation-50@2x.png,9603,9507.0,,,,,
eamcet-50@2x.png,10115,10015.0,,,,,
ieo-50@2x.png,10422,10317.0,,,,,
igko-50@2x.png,10459,10381.0,,,,,
imo-50@2x.png,8379,8269.0,,,,,
jipmer-50@2x.png,10348,10243.0,,,,,
jee-main-50@2x.png,10270,10138.0,,,,,
nso-50@2x.png,23146,23030.0,,,,,
nstse-50@2x.png,26723,26574.0,,,,,
sat-50@2x.png,96705,96502.0,,,,,
physics@2x.png,3746,3424.0,,,,,
chemistry@2x.png,3272,3153.0,,,,,
maths@2x.png,2994,2911.0,,,,,
english@2x.png,3423,3339.0,,,,,
biology@2x.png,3911,3827.0,,,,,
logical@2x.png,2645,2562.0,,,,,
civics@2x.png,3596,3512.0,,,,,
economics@2x.png,3724,3635.0,,,,,
evs@2x.png,4602,4262.0,,,,,
history@2x.png,3914,3801.0,,,,,
geography@2x.png,3913,3830.0,,,,,
generalKnowledge@2x.png,4620,4535.0,,,,,
arrow-white.svg,319,294.0,,,,,
anand@2x.jpg,6946,6815.0,,,,,
trophy-12@2x.png,6844,6719.0,,,,,
trophy-star@2x.png,4547,4450.0,,,,,
thule@2x.jpg,5173,5025.0,,,,,
yash@2x.png,11760,11411.0,,,,,
family-seeing-laptop@2x.png,34714,34575.0,,,,,
chasmawala@2x.jpg,6145,6021.0,,,,,
sridhar@2x.png,11399,11294.0,,,,,
mobile-g@2x.png,509,415.0,,,,,
tablet@2x.png,594,503.0,,,,,
Laptop@2x.png,653,503.0,402.0,396.0,388.0,390.0,372
play-store@2x.png,4477,4394.0,,,,,
brand-apple@2x.png,2580,2494.0,,,,,
tablet-and-phone-mock-for-grukhs@2x.png,225909,225580.0,,,,,
boy-with-tablet.png,50651,50439.0,224.0,230.0,222.0,222.0,224
attempted-question@2x.png,6865,6768.0,,,,,
doubts-answered@2x.png,12626,12519.0,,,,,
doubts-done@2x.png,9450,9345.0,,,,,
play-store@2x.png,7119,7035.0,,,,,
brand-apple@2x.png,3000,2905.0,,,,,
toppr-new-logo-mweb.svg,3298,8104.0,,,,,
