img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.umeng.com/,54773,241390.0,,,,,
O1CN01QM9U3s1tXHqnaaCGq_!!6000000005911-2-tps-200-80.png,4715,4399.0,1974.0,1964.0,1892.0,1812.0,1710
O1CN01cc4qI41HXKUftY8IO_!!6000000000767-2-tps-200-80.png,3705,3256.0,1782.0,1772.0,1770.0,1784.0,1778
O1CN01ITWZbt1wBi1AComkd_!!6000000006270-0-tps-258-258.jpg,14116,13818.0,7802.0,7412.0,5912.0,4744.0,3298
TB1X9NKXbGYBuNjy0FoXXciBFXa-176-176.png,4431,4123.0,7108.0,6924.0,6138.0,5204.0,4026
TB1tmkCctTfau8jSZFwXXX1mVXa-1280-1280.png,41129,40804.0,41182.0,39718.0,32914.0,25700.0,19094
TB1aBfwBEY1gK0jSZFMXXaWcVXa-18-18.png,1051,741.0,502.0,490.0,440.0,384.0,322
TB1azI2q7T2gK0jSZPcXXcKkpXa-20-20.png,16394,16082.0,526.0,510.0,468.0,408.0,336
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=1027&et=0&ja=0&ln=en-us&lo=0&rnd=1997276478&si=289016bc8d714b0144dc729f1f2ddc0d&v=1.2.92&lv=1&sn=26855&r=0&ww=360&ct=!!&u=https%3A%2F%2Fwww.umeng.com%2F&tt=%E5,299,43.0,72.0,72.0,72.0,72.0,72
O1CN01yruSyJ1Uzo7JeyTx2_!!6000000002589-2-tps-200-200.png,3041,2690.0,858.0,836.0,832.0,798.0,782
O1CN01hySzlc1yVynLNm4l3_!!6000000006585-2-tps-200-200.png,4411,4148.0,1426.0,1402.0,1374.0,1334.0,1288
O1CN01kUD0Wd20Nr0XLjad9_!!6000000006838-2-tps-96-96.png,10675,10370.0,2116.0,2038.0,1812.0,1532.0,1268
O1CN01KEvrd31PrUrlZsvVc_!!6000000001894-2-tps-200-200.png,4038,3742.0,858.0,856.0,846.0,824.0,796
O1CN010goDpV1Gczm2MfJ4h_!!6000000000644-2-tps-96-96.png,9521,9290.0,2054.0,1990.0,1754.0,1506.0,1250
O1CN01ef9iQj1zO1XJ0Uctu_!!6000000006703-2-tps-96-96.png,10576,10316.0,2200.0,2118.0,1904.0,1578.0,1260
O1CN014sXBJr1EgXbp7pxPU_!!6000000000381-2-tps-96-96.png,9792,9453.0,2274.0,2198.0,1984.0,1744.0,1428
O1CN01sxHwaf1QbISNtpDz1_!!6000000001994-2-tps-200-200.png,1609,1290.0,664.0,648.0,658.0,662.0,678
O1CN01QYGZyb1DKGjXb3EHM_!!6000000000197-2-tps-1280-1080.png,186007,185546.0,54840.0,52102.0,42392.0,31040.0,20272
O1CN01RCF0wY1YrLGPc33wr_!!6000000003112-2-tps-200-200.png,2387,2155.0,1088.0,1078.0,1062.0,930.0,888
O1CN01UmxEHP20FbsOOHby7_!!6000000006820-2-tps-1280-1080.png,163087,162625.0,36902.0,35118.0,28212.0,20502.0,13718
O1CN01eKIWfs1J0vhVrvTAA_!!6000000000967-2-tps-1280-1080.png,107738,107311.0,29694.0,28268.0,22782.0,16858.0,11358
O1CN019J6tbq1xSwYrHL1j3_!!6000000006443-2-tps-1280-1080.png,94146,93742.0,22006.0,20620.0,16744.0,12704.0,8886
O1CN010gBpyk1w0iXOJT7Wt_!!6000000006246-2-tps-380-96.png,6750,6485.0,2388.0,2264.0,1922.0,1448.0,998
O1CN01mxf8u11UgZUTcTuDL_!!6000000002547-2-tps-380-96.png,10813,10507.0,2638.0,2538.0,2162.0,1790.0,1294
O1CN01xOY4si1yVynwdDDIm_!!6000000006585-2-tps-380-96.png,13865,13647.0,2416.0,2340.0,2052.0,1708.0,1282
O1CN01XzpYUl20sXXm0E5ms_!!6000000006905-2-tps-380-96.png,30002,29734.0,4012.0,3814.0,3174.0,2394.0,1642
web_logs?d=eyJoIjp7InNkdCI6IndhcG1wIiwiYWsiOiI1NTk2MzEzMyIsInN2IjoiMS45LjIiLCJkdCI6IkFuZHJvaWQiLCJvcyI6IkFuZHJvaWQiLCJvdiI6IjcuMCIsInBsYXRmb3JtIjoid2FwIiwicHIiOjIuNjI1LCJybCI6IjE2ODAqOTQ1IiwibGFuZyI6I,225,43.0,72.0,72.0,72.0,72.0,72
O1CN01rgFdve1yWRCQA2He7_!!6000000006586-2-tps-1125-1200.png,796021,794798.0,21106.0,19784.0,15916.0,12184.0,8614
O1CN01dhCteH29UZMxCMqAG_!!6000000008071-2-tps-750-800.png,63568,63144.0,10084.0,9592.0,8016.0,6262.0,4478
O1CN01ZAuOmI1vAxorDraFm_!!6000000006133-2-tps-1125-1200.png,97573,97153.0,16640.0,15876.0,13282.0,10618.0,7858
O1CN01HZ9mgf1IGfi40mXRs_!!6000000000866-2-tps-1125-1200.png,96144,95734.0,18668.0,17782.0,14918.0,11712.0,8744
O1CN014HjbPc1wmo92yti7B_!!6000000006351-2-tps-1563-1667.png,194386,193857.0,28982.0,27748.0,23016.0,18240.0,13360
O1CN01kMht4Z27BfmEh2TVv_!!6000000007759-2-tps-375-269.png,20861,20548.0,4802.0,4704.0,4490.0,4226.0,4000
O1CN01d0bhb41CCC94nuU4I_!!6000000000044-2-tps-1125-780.png,177887,177368.0,35032.0,34356.0,32352.0,30078.0,28176
O1CN01WGkJIE24mp3g8fUpd_!!6000000007434-2-tps-1920-100.png,91504,91085.0,1278.0,1194.0,1032.0,882.0,730
O1CN01pjuzro1P4woadf1zp_!!6000000001788-0-tps-300-144.jpg,5061,4728.0,2420.0,2292.0,1946.0,1452.0,1014
TB15yV0j9_I8KJjy0FoXXaFnVXa-300-144.jpg,5058,4712.0,3352.0,3168.0,2700.0,2102.0,1526
TB19cy1jZLJ8KJjy0FnXXcFDpXa-300-144.jpg,6620,6319.0,4300.0,4126.0,3450.0,2604.0,1824
TB1pN49j8TH8KJjy0FiXXcRsXXa-300-144.jpg,4387,4161.0,2594.0,2472.0,2100.0,1686.0,1220
TB1mx49j8TH8KJjy0FiXXcRsXXa-300-144.jpg,6368,6040.0,4468.0,4224.0,3594.0,2848.0,2058
TB1ZhWLjY_I8KJjy1XaXXbsxpXa-300-144.jpg,4047,3816.0,2334.0,2212.0,1862.0,1378.0,998
TB1ZUxLj0fJ8KJjy0FeXXXKEXXa-300-144.jpg,6005,5720.0,4156.0,3942.0,3286.0,2454.0,1728
O1CN01FCMpB21rWi3z1PEF1_!!6000000005639-0-tps-300-144.jpg,7365,6963.0,3784.0,3634.0,3006.0,2288.0,1530
O1CN01a9Tt6t1TKkwr6Kgos_!!6000000002364-0-tps-300-144.jpg,5751,5414.0,2890.0,2782.0,2230.0,1702.0,1128
TB195V0j9_I8KJjy0FoXXaFnVXa-300-144.jpg,5376,5054.0,2872.0,2684.0,2246.0,1704.0,1212
O1CN01PCKfj01Dbfj4AjNOy_!!6000000000235-0-tps-300-144.jpg,4899,4648.0,2322.0,2178.0,1864.0,1462.0,1096
O1CN01S7yY5v29VwU6m2buF_!!6000000008074-0-tps-300-144.jpg,5751,5499.0,2722.0,2556.0,2054.0,1602.0,1120
O1CN01hlLsVx1Rrc85iUPzh_!!6000000002165-0-tps-300-144.jpg,6690,6437.0,4018.0,3850.0,3212.0,2588.0,1844
TB1Pkimj26H8KJjy0FjXXaXepXa-300-144.jpg,5024,4748.0,2686.0,2554.0,2142.0,1674.0,1216
O1CN01NvAwuU21LqpftUyEd_!!6000000006969-0-tps-300-144.jpg,4953,4578.0,2244.0,2144.0,1840.0,1384.0,1040
O1CN019Ou8Wv1nw7ZkTmjiF_!!6000000005153-0-tps-300-144.jpg,4641,4321.0,1864.0,1772.0,1490.0,1126.0,824
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=1027&ep=um_self_check*%E5%B0%8F%E4%BA%8E%E7%AD%89%E4%BA%8Eie8_%E5%91%BD%E4%B8%AD%E7%88%AC%E8%99%AB*NN&et=4&ja=0&ln=en-us&lo=0&rnd=1148441606&si=289016bc8d714b0,299,43.0,72.0,72.0,72.0,72.0,72
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=1027&ep=um_event_ping_test*%E5%B0%8F%E4%BA%8E%E7%AD%89%E4%BA%8Eie8_%E5%91%BD%E4%B8%AD%E7%88%AC%E8%99%AB*NN&et=4&ja=0&ln=en-us&lo=0&rnd=792858479&si=289016bc8d7,299,43.0,72.0,72.0,72.0,72.0,72
O1CN01B0N95G1jFkVkrhYvC_!!6000000004519-0-tps-1280-1280.jpg,70047,69673.0,34732.0,33116.0,28398.0,22246.0,17108
O1CN01JIuFMd1T5BWfQpS2E_!!6000000002330-0-tps-430-430.jpg,20708,20422.0,8862.0,8344.0,7164.0,5814.0,4404
O1CN01LnwqfB1LetTrdpYMR_!!6000000001325-2-tps-220-220.png,19569,19326.0,3142.0,3008.0,2516.0,1890.0,1248
O1CN01FN6Ad01sKdHJhCqYG_!!6000000005748-2-tps-104-134.png,7607,7287.0,3558.0,3474.0,3176.0,2876.0,2488
O1CN01C5cFLd1a7Ca3LcY3X_!!6000000003282-2-tps-148-334.png,13655,13313.0,5928.0,5862.0,5538.0,5148.0,4820
O1CN01aTmYTz1Q17CFsZaQV_!!6000000001915-2-tps-100-224.png,17519,17177.0,1704.0,1646.0,1480.0,1298.0,1106
pageTransferSize,3131225,,,,,,
totalByteWeight,4300610,,,,,,
