img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.yahoo.com/,112867,494929.0,72.0,72.0,72.0,72.0,72
p.gif?apptype=default&beaconType=pageRenderStart&code=pageRender&bucket=900&device=smartphone&intl=us&rid=9h52qh1h68aqo&site=fp&t=1650731864073,620,0.0,72.0,72.0,72.0,72.0,72
yahoo_en-US_h_p_bestfit_2.png,1440,942.0,2098.0,2076.0,1908.0,1744.0,1496
ca06fbb563c178de78c024bb24ae5431.cf.webp,43190,42656.0,18416.0,17138.0,12624.0,8556.0,4724
spaceball.gif,315,43.0,72.0,72.0,72.0,72.0,72
d881a8d3733ba53f700f3269074c41ba.cf.webp,4178,3670.0,72.0,72.0,72.0,72.0,72
e65be820-c25e-11ec-bfdf-071bc4065bf4.cf.webp,5998,5314.0,8550.0,8180.0,6426.0,4152.0,2840
f8bcba70ba30193a5761001b71c5e0b8.cf.webp,6025,5512.0,13124.0,12646.0,10292.0,6704.0,4502
fdb427eca10a6b3ff7616db2bdedfffd.cf.webp,10455,9920.0,23092.0,22390.0,18566.0,12220.0,7712
a335aa36956a5b532881ece7c4c3ed99.cf.webp,5972,5454.0,9190.0,8788.0,7258.0,4504.0,3038
272227e016265ea72ee2b31fe3db8375.cf.webp,12798,12260.0,72.0,72.0,72.0,72.0,72
PARTLY_CLOUDY_NIGHT.svg,1053,1780.0,,,,,
p.gif?apptype=default&beaconType=pageRenderEnd&code=pageRender&bucket=900&device=smartphone&intl=us&rid=9h52qh1h68aqo&site=fp&t=1650731864074,408,0.0,72.0,72.0,72.0,72.0,72
Oval_x3.png,31746,31489.0,6538.0,6496.0,6312.0,6058.0,5782
600ded460d217d74e25e879b41760d01.cf.webp,12059,11514.0,10864.0,10544.0,8958.0,6234.0,4174
6f25136f60934b3d28aad0ab8299d56c.cf.webp,4573,4018.0,9282.0,8956.0,7402.0,5134.0,3674
2950bb40b83ba6bcfde63d0ab28ed362.cf.webp,4857,4320.0,7974.0,7652.0,6114.0,4392.0,3098
stream_1920x1080x0_v2_3_0.jpg.cf.webp,9219,8678.0,72.0,72.0,72.0,72.0,72
dc62b3a423143ddc2391a3810e8635f2.cf.webp,6971,6436.0,10914.0,10364.0,8144.0,5286.0,3574
Visual_-_Sign_out_@2x.png,7265,7018.0,2606.0,2546.0,2364.0,2128.0,1888
yahoo_homepage_en-US_s_f_p_bestfit_homepage.png,4949,4704.0,2602.0,2530.0,2350.0,2142.0,1864
p2?c1=2&c2=7241469&c5=1197228339&c7=https%3A%2F%2Fwww.yahoo.com%2F&c14=-1&gdpr=0&gdpr_consent=&cs_ucfr=1&c8=Yahoo%20%7C%20Mail%2C%20Weather%2C%20Search%2C%20Politics%2C%20News%2C%20Finance%2C%20Sports,262,43.0,72.0,72.0,72.0,72.0,72
circle_bell.png,2534,2288.0,1334.0,1296.0,1188.0,1052.0,902
circle_news_purple.png,2445,2220.0,72.0,72.0,72.0,72.0,72
pageTransferSize,740955,,72.0,72.0,72.0,72.0,72
totalByteWeight,1939940,,,,,,
