img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.zara.com/,53980,295929.0,,,,,
transparent-background.png,254,151.0,72.0,72.0,72.0,72.0,72
IMAGE-small-f21880d1-6e7b-48de-b729-fcc44720d8c3-default_0.jpg?ts=1647452534065,68764,68391.0,57164.0,53092.0,40300.0,28386.0,17622
image-l.gif?t=16506533450720.39468776712370657&c=8b52ijgz79grfn88vf1jml2asdsfa&p=sugxzw&a=a32e3eba-3b18-4d37-8f3f-41edb1a98314&o=www.zara.com&rt=1650653344678,161,35.0,44.0,44.0,44.0,44.0,44
image-l.gif?t=16506533459190.1435556083907239&c=8b52ijgz79grfn88vf1jml2asdsfa&p=sugxzw&a=a32e3eba-3b18-4d37-8f3f-41edb1a98314&o=www.zara.com&rt=1650653344678,160,35.0,44.0,44.0,44.0,44.0,44
image-l.gif?t=16506533461960.7309350142230091&c=8b52ijgz79grfn88vf1jml2asdsfa&p=sugxzw&a=a32e3eba-3b18-4d37-8f3f-41edb1a98314&o=www.zara.com&rt=1650653344678,160,35.0,44.0,44.0,44.0,44.0,44
image-l.gif?t=16506533464320.2884775725203492&c=8b52ijgz79grfn88vf1jml2asdsfa&p=sugxzw&a=a32e3eba-3b18-4d37-8f3f-41edb1a98314&o=www.zara.com&rt=1650653344678,160,35.0,44.0,44.0,44.0,44.0,44
image-l.gif?t=16506533467070.5143914019512281&c=8b52ijgz79grfn88vf1jml2asdsfa&p=sugxzw&a=a32e3eba-3b18-4d37-8f3f-41edb1a98314&o=www.zara.com&rt=1650653344678,160,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,1182810,,,,,,
totalByteWeight,3946586,,,,,,
