img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.zougla.gr/,53555,322005.0,,,,,
3216188.jpg,169143,168398.0,1672.0,1604.0,1312.0,1016.0,678
frontstory-arrow-prev-2.png,708,470.0,534.0,520.0,494.0,436.0,386
frontstory-arrow-next-2.png,713,474.0,480.0,476.0,446.0,412.0,370
blank.gif,1046,807.0,72.0,72.0,72.0,72.0,72
3216188.jpg,3115,2822.0,52696.0,49620.0,39530.0,28738.0,17426
3216112.jpg,3318,3024.0,1894.0,1818.0,1522.0,1202.0,788
3216054.jpg,3413,3120.0,1972.0,1890.0,1568.0,1184.0,814
3216048.jpg,3095,2802.0,1714.0,1606.0,1340.0,1036.0,716
3215887.jpg,3056,2763.0,1668.0,1588.0,1300.0,1014.0,638
3215951.jpg,2945,2652.0,1512.0,1414.0,1178.0,884.0,598
3215740.jpg,3307,3014.0,1884.0,1794.0,1502.0,1148.0,776
3215712.jpg,3750,3448.0,2276.0,2176.0,1856.0,1366.0,916
3215649.jpg,2798,2505.0,1350.0,1276.0,1036.0,804.0,520
3215623.jpg,3105,2812.0,1612.0,1534.0,1264.0,990.0,666
zouglalive.gif,1856,1608.0,1630.0,1598.0,1496.0,1386.0,1266
erwtikos.gif,856,617.0,938.0,902.0,788.0,656.0,486
livecam-01.gif,1841,1593.0,1608.0,1584.0,1486.0,1380.0,1252
livecam-02.gif,1847,1599.0,1636.0,1612.0,1504.0,1402.0,1272
livecam-03.gif,1859,1611.0,1650.0,1632.0,1526.0,1414.0,1284
search_button_transparent.png,803,565.0,304.0,304.0,304.0,304.0,304
3216137.jpg,18527,18197.0,10614.0,10068.0,8182.0,6154.0,4032
3216196.jpg,20214,19875.0,12430.0,11678.0,9416.0,7110.0,4666
3216190.jpg,18795,18464.0,12112.0,11152.0,8706.0,5948.0,3264
3216169.jpg,29163,28797.0,22598.0,21620.0,17420.0,12952.0,7618
3215817.jpg,21189,20850.0,12796.0,12268.0,9900.0,7952.0,5404
3215717.jpg,18773,18443.0,11654.0,11026.0,8602.0,6256.0,3436
3216104.jpg,13712,13390.0,7500.0,7122.0,5708.0,4296.0,2872
3216186.jpg,20995,20656.0,27774.0,26558.0,21030.0,15812.0,10686
3216070.jpg,140513,139849.0,40082.0,37150.0,27174.0,18036.0,10342
rss.png,1456,1218.0,610.0,588.0,522.0,450.0,346
3216204.jpg,25755,25398.0,64454.0,61058.0,49046.0,35780.0,22098
3216189.jpg,18079,17749.0,10052.0,9640.0,7534.0,5520.0,3284
3216181.jpg,15490,15168.0,9578.0,9050.0,7334.0,5382.0,3472
3216175.jpg,22785,22446.0,15652.0,14668.0,11796.0,8454.0,5148
3216179.jpg,24406,24048.0,16890.0,15992.0,12746.0,9362.0,5756
3216170.jpg,28314,27947.0,20482.0,19432.0,15880.0,11998.0,7682
3216168.jpg,17840,17510.0,10564.0,10064.0,7920.0,5922.0,3722
3215857.jpg,10066,9755.0,4714.0,4352.0,3556.0,2738.0,1920
3216163.jpg,20182,19843.0,13174.0,12280.0,9912.0,7278.0,4526
3216164.jpg,31104,30738.0,23428.0,22134.0,18172.0,13962.0,8854
3216161.jpg,20468,20128.0,12926.0,12104.0,9950.0,7524.0,4948
3216160.jpg,22793,22453.0,16170.0,15262.0,12440.0,8800.0,5258
3216158.jpg,18288,17958.0,10348.0,9830.0,7838.0,5940.0,3906
3216157.jpg,13037,12716.0,6556.0,6206.0,4784.0,3526.0,2230
3216197.jpg,16549,16210.0,9586.0,9072.0,7386.0,5448.0,3342
