img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.5ch.net/,201,0.0,,,,,
rabbit.png,7713,7594.0,1366.0,1286.0,1088.0,872.0,604
5ch_logo.png,18716,18617.0,8486.0,8440.0,8334.0,8232.0,8130
bitcoin16-30x30.png,2401,2299.0,726.0,704.0,658.0,590.0,528
newsplus.jpg,5157,5052.0,2002.0,1898.0,1566.0,1176.0,770
5ch_mascot_normal.png,160380,160128.0,19980.0,19160.0,16682.0,13880.0,10856
collect?title=&screen_width=1920&screen_height=1080&req_id=yzb4ci4dzw1tx5bnxsice1tx1uhlckettvrsxwds1on33&adr_id=xIL7J6FaOmFUB5Sp1Vpt41wObdSm3HrVS5QbNbJzgj6GDEGu&referrer=https%3A%2F%2F5ch.net%2F,116,35.0,44.0,44.0,44.0,44.0,44
collect?title=&screen_width=1920&screen_height=1080&req_id=y3ht5h26w7ga1speovj8jvl18kgzk049n5bobap9wzlwh&adr_id=t0cXmeNzsuhfQZ85AIBRZWRzr7ySjhPzcUTKzr04IbLX5Izk&referrer=https%3A%2F%2F5ch.net%2F,117,35.0,44.0,44.0,44.0,44.0,44
collect?title=&screen_width=1920&screen_height=1080&req_id=fa31z7b3dnl9xvy0a3ogw1i1l5jh09y2iteliek65cy8u&adr_id=jBwDZV12RjxD4jwAuenBeiKDqHsNhXtbjtt647nUKWlmBzmC&referrer=https%3A%2F%2F5ch.net%2F,158,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,394619,,,,,,
totalByteWeight,786752,,,,,,
