img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.9lianmeng.com/,115,0.0,,,,,
logos.png,72811,72262.0,,,,,
pain-01.png,432174,429131.0,25678.0,24234.0,20516.0,16072.0,11566
dummy.png,105,68.0,72.0,72.0,72.0,72.0,72
logo-bday-money-pdgjzcy0x6pbsozud60y9w513l2ph2arscojqkn4yw.png,19141,19015.0,2490.0,2336.0,1980.0,1612.0,1156
favicon-logo-pd9pfkdpo30lfxi1k3m3mmmz00migcenvcu1k7mpo4.png,3240,3187.0,834.0,800.0,696.0,538.0,390
textura-fondo-3.jpg,212921,212750.0,15278.0,14352.0,11828.0,9370.0,6772
mujer-regalos-texto-1-1024x525.png,407503,407232.0,,,,,
pain-02.png,872918,872386.0,50238.0,48418.0,39524.0,30420.0,20800
google-play.png,23388,23325.0,,,,,
app-store.png,21146,21083.0,,,,,
QR-bday.png,21035,20972.0,,,,,
fondo-slider6.jpg,848191,842245.0,125716.0,119256.0,97412.0,70362.0,47098
BdayMoney_1_layer.jpeg,56517,56413.0,21256.0,20192.0,17224.0,13922.0,10884
pageTransferSize,4057518,,,,,,
totalByteWeight,5529323,,,,,,
