img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.a8.net/,44489,43453.0,,,,,
a8logo.svg,2149,2256.0,,,,,
img_top_monetize.png,50674,49701.0,26970.0,26112.0,22824.0,18702.0,14162
s00000022218001.png,12002,11029.0,,,,,
s00000012534001.png,4658,3687.0,1832.0,1768.0,1554.0,1310.0,972
s00000013851001.png,4923,3952.0,1188.0,1146.0,980.0,792.0,574
s00000014566001.png,5294,4322.0,1378.0,1352.0,1144.0,872.0,672
s00000014541001.png,5185,4213.0,1168.0,1142.0,1004.0,840.0,660
s00000010236023.png,5907,4935.0,2308.0,2254.0,1978.0,1656.0,1252
s00000015110002.png,9155,8183.0,,,,,
s00000017125001.png,5014,4043.0,1484.0,1424.0,1260.0,1056.0,826
s00000009132012.png,12604,11631.0,,,,,
s00000005230001.png,14004,13031.0,,,,,
s00000007836001.png,20427,19454.0,,,,,
s00000006767001.png,11084,10111.0,,,,,
s00000009409002.png,12845,11872.0,,,,,
s00000017205001.png,7277,6305.0,3782.0,3626.0,3106.0,2436.0,1762
s00000014951001.png,6537,5565.0,3548.0,3434.0,3040.0,2548.0,1954
s00000011623001.png,5212,4240.0,3270.0,3134.0,2704.0,2144.0,1534
s00000009884001.png,4796,3825.0,2210.0,2114.0,1818.0,1424.0,1020
s00000013437003.png,7964,6992.0,3516.0,3374.0,2890.0,2200.0,1538
s00000009448001.png,4036,3065.0,1108.0,1054.0,952.0,774.0,632
s00000020953001.png,11910,10937.0,3386.0,3230.0,2730.0,2076.0,1422
s00000011026001.png,19895,18922.0,,,,,
s00000008657013.png,8854,7882.0,1052.0,998.0,874.0,718.0,528
s00000017115001.png,5326,4354.0,2868.0,2740.0,2346.0,1766.0,1260
s00000012319001.png,6550,5578.0,2174.0,2076.0,1754.0,1338.0,934
s00000014109001.png,7968,6996.0,1780.0,1730.0,1502.0,1230.0,958
s00000000218001.png,5003,4032.0,2270.0,2148.0,1854.0,1454.0,1020
s00000001618001.png,10518,9546.0,,,,,
s00000011027008.png,10641,9669.0,,,,,
s00000000018015.png,15150,14177.0,,,,,
s00000014361001.png,20796,19823.0,,,,,
s00000007809001.png,10827,9855.0,1890.0,1800.0,1570.0,1228.0,910
s00000014274001.png,9416,8444.0,,,,,
s00000017931001.png,12055,11082.0,,,,,
img_top_ecblog.png,16663,15690.0,7994.0,7798.0,6734.0,5618.0,4454
img_top_ecsns.png,18369,17396.0,9430.0,9140.0,8120.0,6870.0,5476
img_top_ecside.png,16924,15951.0,7728.0,7394.0,6438.0,5524.0,4354
img_top_recommend.png,28698,27725.0,14208.0,13738.0,12166.0,10080.0,7824
img_top_ecnum.png,14232,13259.0,10780.0,10394.0,9264.0,7904.0,6354
img_top_sitenum.png,14970,13997.0,7852.0,7588.0,6846.0,6008.0,5052
img_top_pgnum.png,26580,25607.0,13550.0,13070.0,11452.0,9530.0,7432
img_top_anv.png,21478,20505.0,11146.0,10800.0,9274.0,7656.0,5866
img_media1.jpg,287890,286914.0,38576.0,36048.0,28934.0,22270.0,14726
img_media2.jpg,292547,291571.0,42994.0,40556.0,33720.0,25952.0,17396
img_top_best1.png,9061,8089.0,6554.0,6398.0,6046.0,5500.0,4864
img_top_best2.png,9785,8813.0,7052.0,6908.0,6542.0,5962.0,5370
img_top_best3.png,10076,9104.0,7102.0,6960.0,6598.0,6012.0,5428
logo_campus.png,7521,6549.0,3622.0,3440.0,2932.0,2278.0,1574
icon_seminer.svg,1760,2176.0,,,,,
logo_self.png,6434,5462.0,3016.0,2876.0,2456.0,2020.0,1434
logo_fanblog.png,6611,5639.0,3106.0,2962.0,2580.0,1990.0,1438
icon_hint.svg,2422,3990.0,,,,,
icon_feature.svg,2470,4482.0,,,,,
img_top_value.png,41313,40340.0,19296.0,18630.0,16646.0,14314.0,11296
icon_arrow.svg,1262,288.0,,,,,
icon_twitter.svg,1738,764.0,,,,,
icon_instagram.png,9376,8404.0,3380.0,3328.0,3142.0,2902.0,2576
icon_facebook.svg,1425,451.0,,,,,
logo_pmark.png,14279,13306.0,5190.0,5152.0,5054.0,4938.0,4806
logo_jask.png,14865,13892.0,4346.0,4200.0,3686.0,3120.0,2318
icon_jpxprime.png,4876,3905.0,1942.0,1860.0,1608.0,1328.0,960
btn_pagetop.svg,1339,365.0,,,,,
icon_arrowr.svg,1315,341.0,,,,,
ricos_newregist.png,69742,68768.0,38086.0,36650.0,31080.0,25056.0,17574
ricos_aboutregist.png,120276,119301.0,32710.0,31604.0,27492.0,22354.0,16140
ricos_charm.jpg,116823,115847.0,29976.0,28904.0,25040.0,20098.0,14472
ricos-pra20220526.jpg,76754,75779.0,14888.0,14092.0,11864.0,9494.0,6546
ricos-20220420_fathersday.jpg,92116,91141.0,17626.0,16706.0,14030.0,10840.0,7424
ricos-20220413_diethairremoval.jpg,85731,84756.0,13422.0,12844.0,10262.0,7818.0,5176
border@2x.png,4147,3176.0,4040.0,3824.0,3038.0,2230.0,1572
dot_active.svg,1287,313.0,,,,,
icon_arrow_right.svg,1262,288.0,,,,,
ajax-loader.gif,5150,4178.0,2640.0,2532.0,2230.0,1912.0,1604
icon_slideL.svg,1520,546.0,,,,,
icon_slideR.svg,1518,544.0,,,,,
pageTransferSize,2037235,,,,,,
totalByteWeight,2376366,,,,,,
