img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.airtel.in/,8080,49856.0,,,,,
airtel-red.svg?v=1650606499832,1821,2277.0,,,,,
get-app.svg?v=1650606499832,951,320.0,,,,,
airtel-store.svg?v=1650606499832,994,408.0,,,,,
login-user.svg?v=1650606499832,961,338.0,,,,,
banner-1.jpg?v=1650606499832,37930,37055.0,18190.0,17348.0,14682.0,11530.0,8426
banner-1.jpg?v=1650606499832,37900,37055.0,18190.0,17348.0,14682.0,11530.0,8426
arrow.svg?v=1650606499832,905,235.0,,,,,
services-sim.svg?v=1650606499832,1315,1225.0,,,,,
services-dth.svg?v=1650606499832,1197,907.0,,,,,
services-broadband.svg?v=1650606499832,1375,1506.0,,,,,
service-thanks.svg?v=1650606499832,1228,917.0,,,,,
services-xstream.svg?v=1650606499832,1157,714.0,,,,,
services-porttoairtel.svg?v=1650606499832,1380,1286.0,,,,,
services-pretopost.svg?v=1650606499832,1429,1628.0,,,,,
services-ir.svg?v=1650606499832,1732,2216.0,,,,,
service-business-postpaid.svg?v=1650606499832,1155,1037.0,,,,,
office_internet_dweb.svg?v=1650606499832,1087,974.0,,,,,
entertainment.svg?v=1650606499832,976,400.0,,,,,
lifestyle.svg?v=1650606499832,1147,783.0,,,,,
gaming.svg?v=1650606499832,1421,1365.0,,,,,
airtel-black.svg?v=1650606499832,2349,4786.0,,,,,
prepaid.svg?v=1650606499832,1041,594.0,,,,,
postpaid.svg?v=1650606499832,990,496.0,,,,,
broadband.svg?v=1650606499832,1240,1040.0,,,,,
dth.svg?v=1650606499832,1037,505.0,,,,,
xstream.svg?v=1650606499832,1035,629.0,,,,,
port-to-airtel.svg?v=1650606499832,1296,1083.0,,,,,
upgrade-to-postpaid.svg?v=1650606499832,1065,724.0,,,,,
airtel-payments-bank.svg?v=1650606499832,945,296.0,,,,,
international-roaming.svg?v=1650606499832,1078,555.0,,,,,
business-postpaid.svg?v=1650606499832,1015,536.0,,,,,
office_internet_mweb.svg?v=1650606499832,1088,972.0,,,,,
airtel-postpaid.jpg?v=1650606499832,18944,18114.0,10868.0,10070.0,7922.0,5584.0,3722
back-to-top.svg?v=1650606499832,1015,460.0,,,,,
nav-menu.svg,866,183.0,,,,,
arrow.svg,906,235.0,,,,,
shop.svg,1037,560.0,,,,,
white-pattern.svg,4695,12407.0,,,,,
shop-bg-pattern.png,13755,12934.0,19766.0,18158.0,13568.0,9954.0,7112
airtel-black-white-center.svg?v=1650606499832,2580,5859.0,,,,,
ga-audiences?v=1&aip=1&t=sr&_r=4&tid=UA-35987772-1&cid=1385524339.1650725536&jid=1121140339&_v=5.6.7dc&z=215084832&slf_rd=1&random=1739424976,501,42.0,72.0,72.0,72.0,72.0,72
airtel-black.png?v=1650606499832,48047,47144.0,34598.0,33286.0,28486.0,24302.0,19598
airtel-international-roaming.jpg?v=1650606499832,15682,14882.0,10486.0,9940.0,7880.0,5850.0,3826
xstream-logo.jpg?v=1650606499832,1600,838.0,950.0,920.0,778.0,628.0,456
airtel-xstream-banner.jpg?v=1650606499832,43502,42618.0,34796.0,32626.0,26206.0,19428.0,12516
xstream-box.jpg?v=1650606499832,4130,3328.0,3454.0,3334.0,2708.0,2084.0,1396
xstream-fiber.jpg?v=1650606499832,3551,2750.0,2918.0,2736.0,2210.0,1656.0,1100
pageTransferSize,502374,,,,,,
totalByteWeight,881675,,,,,,
