img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.ameba.jp/,521,0.0,,,,,
Service_Apple.png,657,362.0,624.0,606.0,548.0,504.0,428
Service_Google_v2.png,3313,3018.0,1268.0,1240.0,1126.0,1016.0,880
Service_Yahoo.png,1796,1501.0,856.0,844.0,794.0,750.0,696
logo.png,5942,5637.0,2290.0,2262.0,2094.0,1956.0,1770
service_1.png,69248,68798.0,28526.0,27728.0,25378.0,22600.0,19796
service_2.png,292150,291213.0,60936.0,57940.0,49742.0,42734.0,35908
service_3.png,26326,25975.0,16628.0,16172.0,14860.0,13104.0,11576
usage_1.png,21210,20868.0,9410.0,9200.0,8322.0,7348.0,6240
usage_2.png,18157,17824.0,8684.0,8478.0,7748.0,6892.0,5876
spritesheet-1646729859479.png,43008,42621.0,10846.0,10512.0,9290.0,7824.0,5942
a1ea86ff-7ba6-4155-b8e5-a89c67cd1292.png?size=640,43370,43061.0,15216.0,14690.0,12616.0,10082.0,7206
b2d7ee97-638d-4d85-8553-b9e145076358.jpg?size=640,68154,67800.0,17118.0,16074.0,13424.0,10220.0,6848
70cc2ac7-3996-42af-aaef-b8040d3dba91.jpg?size=640,160289,159726.0,48022.0,45806.0,38568.0,30258.0,20160
63bf82fa-dff1-401a-bf5e-398e9289e616.jpg,1506642,1504676.0,269334.0,255692.0,206386.0,155350.0,105802
b22d92f9-abb3-46fd-b826-639a953bbde0.jpg,677092,676037.0,87506.0,82144.0,67066.0,51584.0,33802
10095f2f-a8bc-4bbb-a80f-d25274dc4dac.jpg,498823,497954.0,111478.0,103998.0,80046.0,57034.0,36130
?rtn=true,108,43.0,72.0,72.0,72.0,72.0,72
en_bl.png,3084,2980.0,1774.0,1698.0,1482.0,1260.0,958
icon.png,807,344.0,174.0,170.0,146.0,120.0,82
adview?ai=CfHAO7SZkYtj7J_mD9fgPpJitWPSY-I1nu9z2nZMPwI23ARABIIOk6h1gy9y0BaABnfD17QPIAQGpAseuU19BtkA-4AIAqAMByAMKqgTwAU_Q5uPNgtWceO9q1mC41O7bt3Hdfmr6iZL1D4WYj1q3HweOxZS4nkpZwRVLc1YRaCbeR65Rq5aCBreYuYTqy,0,0.0,,,,,
si?st=NO_DATA,0,0.0,,,,,
pageTransferSize,4099896,,,,,,
totalByteWeight,5335518,,,,,,
