img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.apartments.com/,13566,49951.0,,,,,
750.jpg,60223,59830.0,,,,,
play.svg,3558,8609.0,,,,,
al.gif?FrontDoorAffiliateId=APTS&SiteId=3&VisitId=8889ca9e-30b1-454f-8414-fa7491c23691&VisitorId=355b4ed6-4587-4045-8773-7a80f900b62d&ReferralDomain=&r=0.8839061744894698,391,0.0,,,,,
elevate-chicago-il-building-photo.jpg,136760,136235.0,4034.0,3796.0,3142.0,2404.0,1594
the-residences-at-newcity-chicago-il-building-photo.jpg,114908,114417.0,2894.0,2740.0,2230.0,1690.0,1082
the-pavilion-chicago-il-building-photo.jpg,156881,156307.0,3396.0,3218.0,2592.0,2016.0,1296
regents-park-chicago-il-diningliving-room.jpg,140139,139599.0,3062.0,2876.0,2300.0,1704.0,1112
b2?c1=2&c2=18075227&ns__t=1650716988483&ns_c=UTF-8&c8=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&c7=https%3A%2F%2Fwww.apartments.com%2F&c9=,191,0.0,,,,,
widget_1_469.jpg,23019,22742.0,19920.0,18664.0,15326.0,11404.0,7224
widget_list_469.jpg,15941,15695.0,12624.0,12030.0,9510.0,7218.0,4366
widget_2_469.jpg,17450,17203.0,12654.0,12074.0,9640.0,7452.0,4906
widget_3_469.jpg,10719,10479.0,7440.0,7124.0,5604.0,4340.0,2942
collect?v=1&_v=j68&a=178540312&t=pageview&_s=2&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&je=,221,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=3&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=4&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=5&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=6&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=7&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j68&a=178540312&t=event&ni=1&_s=8&dl=https%3A%2F%2Fwww.apartments.com%2F&ul=en-us&de=UTF-8&dt=Apartments.com%3A%20Apartments%20and%20Homes%20for%20Rent&sd=24-bit&sr=360x640&vp=360x640&j,91,35.0,44.0,44.0,44.0,44.0,44
