img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.asos.com/,45550,299048.0,72.0,72.0,72.0,72.0,72
gb.png,4101,3810.0,72.0,72.0,72.0,72.0,72
microsoftteams-image-(11).png,144105,143441.0,72.0,72.0,72.0,72.0,72
premier.svg,1023,1325.0,72.0,72.0,72.0,72.0,72
student.svg,933,1027.0,,,,,
dd?d_uuid=29196476765986023242311256258338443326,0,0.0,72.0,72.0,72.0,72.0,72
pk.png,3894,3603.0,72.0,72.0,72.0,72.0,72
microsoftteams-image-(11).png,0,143441.0,72.0,72.0,72.0,72.0,72
new_logo.png,7183,6911.0,72.0,72.0,72.0,72.0,72
s72331255862750?AQB=1&ndh=1&pf=1&t=22%2F3%2F2022%2022%3A6%3A43%205%20-300&mid=29477132207035629042341861687090427634&aamlh=3&ce=UTF-8&ns=asos&pageName=mobile%20row%7Chome%20page%7Chome&g=https%3A%2F%2,326,43.0,76.0,76.0,76.0,76.0,76
p?trackId=45d41646-71d9-41c7-b3ff-4e4510f0ecce&pid=2dbac57a-c840-44ce-b498-eafd3b06a3c3&ev=PAGE_VIEW&pl=https%3A%2F%2Fwww.asos.com%2F&ts=1650647204039&rf=https%3A%2F%2Fwww.asos.com%2F&v=1.6.0&if=true&,86,68.0,72.0,72.0,72.0,72.0,72
pageview?pid=1886&uu=ff269d33-f249-ae63-e13a-088851999bbc&sn=1&lv=1650647204&lhd=1650647204&hd=1650647204&pn=1&dw=360&dh=705&ww=360&wh=640&sw=360&sh=640&dr=https%3A%2F%2Fwww.asos.com%2F&url=https%3A%2,320,0.0,72.0,72.0,72.0,72.0,72
0?ti=4021128&Ver=2&mid=e882bc1d-e37f-44f5-bcf2-3ae76efb18fc&sid=960e5990c25e11ecab7ee5eddf6f745b&vid=960e6ab0c25e11ec9e739d55d1a1e254&vids=1&pi=918639831&lg=en-US&sw=1920&sh=1080&sc=24&tl=Asos%20Web%2,153,0.0,72.0,72.0,72.0,72.0,72
dvar?v=11.9.8&pid=1886&uu=ff269d33-f249-ae63-e13a-088851999bbc&sn=1&pn=1&dv=N4IgggCgsg%2BgcgJRgZQKYGd0EsD2A7ASQBEQAuEAMwoCYA2ATgBMBmZgWhoBZ62BDVWu1QBGZrzYAGABwyArMPqKARkoDGAOmEgAvkAA&r=207762,319,0.0,72.0,72.0,72.0,72.0,72
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-1JR0QCFRSY&cid=120388826.1650647204&gtm=2oe4k0&aip=1&z=508175440,501,42.0,72.0,72.0,72.0,72.0,72
?id=753968184693755&ev=PageView&dl=https%3A%2F%2Fwww.asosglobal.com%2Freceiver_browse.html&rl=https%3A%2F%2Fwww.asos.com%2F&if=true&ts=1650647204547&sw=1920&sh=1080&v=2.9.57&r=stable&a=tmSimo-GTM-WebT,411,44.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=1448031107&t=event&ni=1&_s=1&dl=https%3A%2F%2Fwww.asos.com%2F&ul=en-us&de=UTF-8&dt=ASOS%20%7C%20Online%20Shopping%20for%20the%20Latest%20Clothes%20%26%20Fashion&sd=24-bit&sr=360x6,55,35.0,44.0,44.0,44.0,44.0,44
?tid=2614894126093&pd=%7B%22np%22%3A%22gtm%22%2C%22gtm_aem_configs%22%3A%5B%5D%2C%22md_frequency%22%3A0%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.asosglobal.com%2Freceiver_browse.html%22%2C,96,35.0,72.0,72.0,72.0,72.0,72
?random=1650647204669&cv=9&fst=1650646800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650647204669&cv=9&fst=1650646800000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,72.0,72.0,72.0,72.0,72
?random=419170673&cv=9&fst=1650647204675&num=1&value=0&label=AnQJCJPb6tgBEOCZltQD&bg=ffffff&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplu,64,42.0,72.0,72.0,72.0,72.0,72
?id=753968184693755&ev=Microdata&dl=https%3A%2F%2Fwww.asosglobal.com%2Freceiver_browse.html&rl=https%3A%2F%2Fwww.asos.com%2F&if=true&ts=1650647206057&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22,91,44.0,72.0,72.0,72.0,72.0,72
pageTransferSize,2279079,,72.0,72.0,72.0,72.0,72
totalByteWeight,10131580,,,,,,
