img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.att.com/,371364,1644091.0,,,,,
1008702-mosaic-mbl-S22Ultra-retina.jpg,23455,23062.0,13596.0,12918.0,10944.0,8332.0,5794
915702-mosaic-mbl-Embrace-retina.jpg,2971,2658.0,2578.0,2544.0,2284.0,1976.0,1748
nav_ribbon4.svg,816,518.0,,,,,
786851-Hero-mbl-ACP_SharedComponents-retina.jpg,150062,149420.0,71350.0,63272.0,42912.0,27972.0,17602
824801-EDSP-HP-rivercard-mbl-retina.jpg,105187,104572.0,46466.0,43102.0,34568.0,25428.0,16984
0?ti=18003891&Ver=2&mid=c8c7858b-04d8-4597-b216-aaed8d6ed631&sid=ebd6ad80c26211ecaf2269e7e5db2552&vid=ebd6a970c26211ecb9e9e51ed06569c3&vids=1&ec=DSUNK-CONS-CONS-EN&ea=page_view&el=UF%20Home%20Pg&el2=U,260,0.0,,,,,
pixie?e=PageView&friendlyPageName=UF%20Home%20Pg&lineOfBusiness=general&language=EN&customerType=CONS&flowCode=DSUNK&liabilityType=CONS&pi=4744884a-d9b6-4968-84af-f2e434bfe6bd&it=1650649066097&v=0.0.1,347,42.0,,,,,
592097-2up-mbl-dtvstream-retina.jpg,35930,35458.0,10626.0,10124.0,8616.0,7072.0,5628
?id=128900881029137&ev=PageView&dl=https%3A%2F%2Fwww.att.com%2F&rl=&if=false&ts=1650649066403&cd[order_id]=&sw=360&sh=640&v=2.9.39&r=stable&ec=0&o=29&it=1650649066098&coo=false&dpo=LDU&dpoco=0&dpost=0,297,44.0,,,,,
src=6100125;type=ecomm0;cat=ecomm0;ord=1;num=8300632214163;gtm=2od2s0;auiddc=*;u19=https%3A%2F%2Fwww.att.com%2F;u20=6262e7e3-5178-a390-7d24-9b1cdfa63635;u30=75200174915553422461676322184345245191;u70=,107,42.0,72.0,72.0,72.0,72.0,72
?name=Group_1_Homepage,535,42.0,,,,,
&ns=&cb=505479.79456725536,379,42.0,,,,,
&ns=&cb=505479.79456725536,354,42.0,,,,,
?che=0.5840937975257776&omid=75200174915553422461676322184345245191,593,43.0,,,,,
?random=1650649066722&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
?random=1650649066722&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,548,42.0,,,,,
?random=1650649066685&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,548,42.0,,,,,
?random=1650649066685&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
?random=1650649066691&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
?random=1650649066691&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
?random=1650649066707&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
?random=1650649066707&cv=9&fst=1650646800000&num=1&bg=ffffff&hl=EN&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dp,108,42.0,,,,,
&ex-hargs=v%3D1.0%3Bc%3D2587412990301%3Bp%3D9631D392-C816-8E4C-5EE5-6FDDD6814E1F&dcc=t,932,43.0,,,,,
?random=711392305&cv=9&fst=1650649066726&num=1&label=JsbSCKHm2_0BEMP8mfQD&bg=ffffff&hl=EN&guid=ON&resp=GooglemKTybQhCsO&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=,64,42.0,,,,,
pixel.gif?source=smarttag&fired=report&confid=vtn9okxvt&_kpid=a973e3ca-864b-487b-86be-106bf8aa8498&_kcp_s=AT%26T&_kcp_d=www.att.com&_knifr=6&_kua_kx_tz=-300&_kua_kx_lang=en-us&_kua_kx_tech_browser_lan,337,0.0,,,,,
pixel.gif?source=smarttag&fired=ajax&confid=vtn9okxvt&_kpid=a973e3ca-864b-487b-86be-106bf8aa8498&_kcp_s=AT%26T&_kcp_d=www.att.com&_knifr=6&_kua_kx_tz=-300&_kua_kx_lang=en-us&_kua_kx_tech_browser_langu,337,0.0,,,,,
bridge.gif?AG_PID=krux&AG_SETCOOKIE,339,0.0,,,,,
usermatch.gif?google_gid=CAESEDlDx7BhpLBuQZ8v02OkA4c&google_cver=1,338,0.0,,,,,
usermatch.gif?_kuid=Oy0aqIa9&partner=bluekai&bk_uuid=$_BK_UUID,337,0.0,,,,,
bounce?%2Fmapuid%3Fmember_id%3D1780%26user%3DOy0aqIa9,844,43.0,72.0,72.0,72.0,72.0,72
usermatch.gif?partner=neustar&partner_uid=if628xjck4OJX5s50oodStm4BSa7kxElPqmISYjX2i0%3D,337,0.0,,,,,
usermatch.gif?adnxs_uid=7852980825035689774,337,0.0,,,,,
