img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.bing.com/,25183,59537.0,,,,,
th?id=OHR.VictoriaMemorialKolkata_ROW1472102469_768x1366.jpg&rf=LaDigue_1920x1080.jpg,174373,173992.0,66018.0,62630.0,47498.0,33710.0,20518
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22%22FC%22:-1%22BC%22:-1%22SE%22:-1%22TC%22:-1%22H%22:-1%22BP%22:32%22CT%2,134,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22T%22%3A%22CI.Init%22%2C%22TS%22%3A1650733404379%2C%22Name%22%3A%22Base%22%2C%22FID%22%3A%,94,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fv1%2Fnearbycard%3Fformat%3Djson%2,94,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fmodel%22%2C%22format%22%3A%22json,96,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22comp%22%3A%22loaded%22%2C%22time%22%3A1290%2C%22T%22%3A%22CI.Data%22%2C%22TS%22%3A1650733,95,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fmodel%22%2C%22format%22%3A%22json,96,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fmodel%22%2C%22format%22%3A%22json,95,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fimages%2Fsbi%3Fmmasync%3D1%26ptn%3DHomepage%,117,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fimages%2Fsbi%3Fmmasync%3D1%26ptn%3DHomepage%,95,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fv1%2Fnearbycard%3Fformat%3Djson%2,95,0.0,,,,,
l?IG=3B66A26E0393428D8234F7EDB2C5260D&CID=105E65AC3C626B2C3F5A74233D6B6ABE&TYPE=Event.ClientInst&DATA=%5B%7B%22func%22%3A%22useFetch%22%2C%22url%22%3A%22%2Fhp%2Fapi%2Fv1%2Fnearbycard%3Fformat%3Djson%2,95,0.0,,,,,
XvRHqJwJt19aXQca73hQTfvNMxk.svg,835,545.0,,,,,
RCq0x94cIIax7bSSz-9RTV_5wus.png,7312,6562.0,2010.0,1944.0,1632.0,1296.0,912
hMXQPrwp_gtf21HH29RItPv196w.png,9393,9092.0,2356.0,2270.0,1914.0,1536.0,1118
QiwyIBaJdh3-X_WiptUPuqrXB78.png,12070,11793.0,2792.0,2638.0,2244.0,1772.0,1282
JAdLI907g5Dzcbsz2GIgg6miBIM.png,6333,6055.0,1848.0,1786.0,1542.0,1196.0,888
ooCAwRyUBKY_27E0-yT3puEGwwE.svg,946,668.0,,,,,
ocEt0h8hUeda41yHUYWzy5RxOGE.png,4196,3438.0,2718.0,2682.0,2586.0,2480.0,2322
wePa4yNmufo527KjuGdJQErCIfI.png,6827,6077.0,1672.0,1636.0,1518.0,1394.0,1262
pageTransferSize,609203,,,,,,
totalByteWeight,3363734,,,,,,
