img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.brilio.net/,598,0.0,,,,,
top-logo-1.png,1661,1424.0,590.0,580.0,522.0,474.0,420
header_search-button-2x-882.png,1694,1669.0,886.0,868.0,820.0,756.0,684
header_brilio-channel-button-2x-541.png,1986,2011.0,1100.0,1088.0,1030.0,952.0,848
header_profile-button-2x-878.png,2006,2026.0,1142.0,1130.0,1060.0,988.0,908
header_search-button-2.png,1832,1945.0,832.0,826.0,804.0,778.0,742
close-icon-Search.png,541,313.0,192.0,192.0,192.0,192.0,192
briliochannel_creator.png,7963,7692.0,2766.0,2726.0,2614.0,2482.0,2348
briliochannel_briliocase.png,3612,3967.0,2356.0,2332.0,2256.0,2182.0,2100
brilio-food-logo.png,8267,8042.0,4298.0,4294.0,4276.0,4264.0,4240
brilistyle-logo.png,2398,2234.0,2252.0,2200.0,2040.0,1890.0,1734
gif-sign-in-desktop-515.gif,12960,12985.0,12592.0,12148.0,10476.0,8918.0,6956
brilio-logo-b2x-781.png,2825,2915.0,1860.0,1836.0,1652.0,1460.0,1232
750xauto-13-momen-atta-halilintar-bagi-thr-untuk-karyawan-ada-yang-dapat-umrah-220422p.jpg,50358,50063.0,32830.0,30654.0,25118.0,19272.0,12768
300x200-desktop_aturan-ganjil-genap-dan-titik-one-way-di-jalur-mudik-2022.jpg,14395,14264.0,9132.0,8610.0,6884.0,5228.0,3208
300x200-desktop_yang-dibutuhin-leo-dalam-hubungan.jpg,12300,12173.0,6908.0,6534.0,5292.0,3892.0,2614
300x200-desktop_bisnis-kerajinan-mulai-menggeliat-menyambut-endemi.jpg,8377,8353.0,3582.0,3382.0,2722.0,2080.0,1450
300x200-desktop_yang-dibutuhin-taurus-dalam-hubungan.jpg,11899,11759.0,6314.0,5924.0,4836.0,3644.0,2532
300x200-desktop_5-fakta-mia-chuz-penulis-viral-novel-wedding-agreement.jpg,14237,14112.0,8726.0,8338.0,6526.0,4940.0,3016
300x200-desktop_-arwah-anak-pemiik-kantor.jpg,8314,8244.0,4476.0,4272.0,3578.0,2770.0,1922
300x200-desktop_eksotisme-air-terjun-6-tingkat-di-aliran-lahar-dingin-merapi.jpg,10902,10800.0,5908.0,5566.0,4464.0,3352.0,2216
300x200-desktop_nadia-tjoa-peraih-gelar-miss-face-of-humanity-2022-.jpg,12321,12196.0,7208.0,6830.0,5496.0,4058.0,2638
300x200-desktop_yang-dibutuhin-aries-dalam-hubungan.jpg,13863,13715.0,7662.0,7312.0,5970.0,4490.0,3084
300x200-desktop_arwah-pembawa-sial-di-kursi-roda.jpg,9523,9440.0,5574.0,5340.0,4458.0,3456.0,2388
226x150-7-ide-pose-foto-bareng-keluarga-saat-lebaran-di-rumah-kece-abis-2204227.jpg,9776,9675.0,6096.0,5838.0,4682.0,3572.0,2278
226x150-makruh-adalah-status-hukum-dalam-islam-ketahui-pembagiannya-220422t.jpg,10012,9905.0,6120.0,5786.0,4646.0,3440.0,2092
226x150-di-balik-talenta-hebat-para-pengajar-lokal-indonesia-menuju-broadway-220420e.jpg,8738,8635.0,5290.0,4954.0,4018.0,2954.0,1850
226x150-11-momen-kedekatan-rebecca-klopper-dengan-keluarga-fadly-faisal-220422j.jpg,12207,12096.0,8722.0,8274.0,6804.0,5062.0,3292
226x150-3-momen-seru-healing-in-natural-cool-wonderland-ubah-stres-jadi-fresh-220414n.jpg,8983,8859.0,5494.0,5220.0,4174.0,3100.0,1844
226x150-gaya-11-seleb-antar-anak-di-hari-pertama-sekolah-shandy-aulia-bak-abg-2204225.jpg,12590,12443.0,9524.0,9094.0,7464.0,5576.0,3548
226x150-5-ide-gaya-prewedding-ala-street-style-hemat-budget-dan-hasil-estetik-2204206.jpg,9884,9794.0,5934.0,5708.0,4546.0,3410.0,2162
