img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.chinadd.cn/,30433,178908.0,,,,,
dd-ewm-m.gif,0,0.0,4446.0,4260.0,3748.0,3186.0,2402
17302826CAC7EF-7B21-DDE9-C167-F47E24281263-1.jpg,0,0.0,34708.0,32662.0,26522.0,20358.0,13854
162701ps625e72552b7170.267830216110.jpg,0,0.0,12840.0,12220.0,9754.0,7582.0,5484
142536ps62551b6038c9d9.475400396110.jpg,0,0.0,16434.0,15330.0,12308.0,9024.0,6548
1717561BAC148F-C0CA-9FF4-7EB9-E235DD10A08C-6110.jpg,0,0.0,28584.0,27128.0,21092.0,15456.0,10050
175757ps6242d82576f855.349739526110.jpg,0,0.0,29330.0,27270.0,19538.0,13876.0,8256
174945048D07FD-393D-B934-1143-4D22DBBFCB5A-6110.jpg,0,0.0,21138.0,19682.0,15508.0,11962.0,8026
154728ps60d04410afe9f6.477890275245.jpg,0,0.0,7392.0,7074.0,5920.0,4540.0,3030
lazy.gif,0,0.0,74.0,74.0,74.0,74.0,74
lazy.gif,0,0.0,74.0,74.0,74.0,74.0,74
141251ps5d79e1e3627da8.926134205463.jpg,0,0.0,1836.0,1784.0,1544.0,1294.0,944
134517ps621326ed2592c6.058958385245.png,0,0.0,3178.0,3082.0,2766.0,2418.0,1770
174104ps60ae17b0b66737.285943205245.png,0,0.0,,,,,
150107ps5e5a0c33efeca8.933332555245.jpg,0,0.0,2384.0,2304.0,2006.0,1662.0,1212
172102ps612f45feef7f36.270472745245.jpg,0,0.0,3184.0,3082.0,2588.0,2062.0,1398
153524ps5dea04bc2a6d45.290004445245.jpg,0,0.0,4246.0,4076.0,3564.0,2930.0,2166
093627ps625a1d9bb7e577.650257055245.jpg,0,0.0,2886.0,2792.0,2392.0,2036.0,1534
103633ps620db4b11ed592.6720871013757.jpg,0,0.0,2586.0,2460.0,2066.0,1608.0,1092
162347ps621dd813c00518.536889665486.jpg,0,0.0,2912.0,2820.0,2480.0,2050.0,1488
151606ps5fc73f36435fa0.047709575641.jpg,0,0.0,2552.0,2478.0,2090.0,1680.0,1166
181653ps5fa27f95443225.835437185486.jpg,0,0.0,1878.0,1822.0,1586.0,1282.0,980
140520ps5f9bad20781e83.662329625245.jpg,0,0.0,2658.0,2560.0,2230.0,1832.0,1324
161208ps5d9d96584ccaa9.4566675710438.jpg,0,0.0,2378.0,2312.0,1952.0,1534.0,1092
161717ps61c03c0d1e2711.457011245245.jpg,0,0.0,2464.0,2346.0,1992.0,1554.0,1098
dd-ewm-wx.gif,0,0.0,5946.0,5802.0,5120.0,4312.0,3284
143536ps5c8b47b84a8273.372411215245.gif,64272,63888.0,46568.0,44194.0,36618.0,28608.0,20928
163230ps625e739e206aa8.047937406110.jpg,27951,27613.0,9696.0,9070.0,7462.0,5690.0,4136
154321ps625e68191ec783.705766686110.png,59320,58937.0,20760.0,18936.0,13080.0,8374.0,5094
154154ps625e67c2e150d1.291779896110.png,97006,96595.0,25784.0,23626.0,16940.0,11766.0,7294
175803ps6242d82bc49d21.903516036110.png,79210,78807.0,21094.0,19468.0,14012.0,9726.0,5826
