img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.chinafloor.cn/,305152,304413.0,,,,,
db-ewm-m.gif,8399,8081.0,4572.0,4358.0,3832.0,3260.0,2472
111548ps62621de4a9b940.5385395928008.jpg,0,0.0,6780.0,6400.0,5138.0,3770.0,2612
111640ps6260cc98e10170.8000347428008.jpg,0,0.0,23122.0,21920.0,17154.0,12366.0,7266
162327ps625fc2ff79e323.5714884228008.jpg,0,0.0,12000.0,11446.0,9376.0,7176.0,4958
144010ps62551eca3da879.2202894328008.jpg,0,0.0,8118.0,7696.0,6022.0,4514.0,2802
174057ps6253f7a97ac0a6.0100257128008.jpg,0,0.0,11222.0,10598.0,8102.0,5902.0,3608
174812ps6253f95c479a59.0916517928008.jpg,0,0.0,15298.0,14500.0,11400.0,8222.0,4668
170041ps60d055394bb4b9.131962104844.jpg,0,0.0,7392.0,7074.0,5920.0,4540.0,3030
lazy.gif,0,0.0,74.0,74.0,74.0,74.0,74
150809ps5f4df359d70ed1.0336344527853.jpg,0,0.0,3462.0,3292.0,2740.0,2036.0,1392
144819ps5b29f8b36ca8d5.439906171867.jpg,0,0.0,2574.0,2464.0,2114.0,1790.0,1274
094339ps603ee9cb839d03.3946735727853.jpg,0,0.0,2688.0,2542.0,2276.0,1920.0,1450
144621ps612f21bd0ac900.9333054527853.gif,0,0.0,3068.0,2978.0,2620.0,2222.0,1774
105233ps5a937671e539a4.6965822112276.jpg,0,0.0,2480.0,2362.0,1976.0,1580.0,1136
144300ps614d7374a553e0.9260475127853.jpg,0,0.0,3090.0,2968.0,2492.0,1920.0,1348
145456ps5b14e240223f89.90207007826.jpg,0,0.0,3064.0,2954.0,2532.0,2038.0,1458
104305ps59965439bf7d16.5605196220907.jpg,0,0.0,2350.0,2250.0,1972.0,1616.0,1162
133616ps61d52e50cb8388.9735074727853.jpg,0,0.0,2520.0,2404.0,2090.0,1756.0,1312
120211ps5ac2fcc3984436.0932459226862.jpg,0,0.0,3298.0,3126.0,2602.0,2072.0,1460
162723ps61d7f96b692446.242697195332.jpg,0,0.0,3826.0,3658.0,3118.0,2434.0,1694
115939ps60e3d52bd8aed1.0560920227853.jpg,0,0.0,3192.0,3086.0,2720.0,2220.0,1588
113337ps5f73fc91c431e9.0458220127853.png,0,0.0,2318.0,2220.0,1940.0,1624.0,1196
143239ps597837874c5df2.479042522930.jpg,0,0.0,3878.0,3750.0,3260.0,2572.0,1794
124659ps5d71e4c3651822.0982165613972.jpg,0,0.0,2642.0,2530.0,2180.0,1752.0,1290
112310ps5b5fd61eeb0149.7262944613044.jpg,0,0.0,2952.0,2822.0,2370.0,1832.0,1262
100234ps5b2c58ba240251.2441394527853.jpg,0,0.0,5588.0,5418.0,4684.0,3918.0,2874
140836ps5f9121e4f27346.4791006210761.jpg,0,0.0,3572.0,3436.0,2976.0,2446.0,1784
173222ps5f3cf1a6152852.796098522868.jpg,0,0.0,4616.0,4346.0,3708.0,3000.0,2024
141958ps5de9f30eb0f323.113198837468.jpg,0,0.0,3288.0,3132.0,2704.0,2226.0,1614
