img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.cmoney.tw/,299,0.0,,,,,
ad0C9326C9A.jpg,165989,165762.0,21748.0,20554.0,17246.0,13258.0,8920
ad07A4F1112.jpg,84566,84420.0,20366.0,19562.0,16392.0,13112.0,8870
ad010323464.jpeg,50330,50220.0,24204.0,23026.0,18496.0,14072.0,9190
ad05A48D154.jpg,60531,60413.0,25132.0,23782.0,19430.0,14952.0,9776
ad08847E80F.png,316792,316429.0,29592.0,28382.0,23684.0,18324.0,12126
cwmoney-std.png,37404,37152.0,8090.0,7868.0,7038.0,6198.0,5166
ic_launchee_1024pt.png,81449,81197.0,22378.0,21318.0,17842.0,14472.0,11118
bookkeeping.png,57044,56793.0,23882.0,22806.0,19478.0,15272.0,10724
invoice.png,54861,54609.0,17660.0,17076.0,14982.0,12762.0,10290
246x0w.png,29667,29415.0,5152.0,4964.0,4246.0,3312.0,2400
%E7%84%A1%E8%81%8A%E8%A9%B9(1).png,40870,40769.0,5448.0,5230.0,4620.0,4006.0,3236
6_%E6%9E%97%E6%81%A9%E5%A6%82.png,47870,47769.0,,,,,
2_%E8%82%A1%E5%B8%82%E9%98%BF%E6%B0%B4-%E5%B8%83%E6%9E%97%E9%80%9A%E9%81%93logo.JPG,19011,18920.0,7184.0,6784.0,5708.0,4420.0,3028
39_51%20%E6%AC%8A%E8%AD%89%E5%B0%8F%E5%93%A5.png,63260,63141.0,,,,,
2_%E7%8D%B5%E8%82%A1%E5%BF%AB%E6%89%8B%20icon.png,43726,43625.0,6368.0,6080.0,5374.0,4508.0,3448
%E5%8F%B0%E6%8C%87%E5%A4%9A%E7%A9%BA%E6%8C%87%E5%8D%97%E9%87%9D02.png,45320,45219.0,8736.0,8412.0,7298.0,6006.0,4468
9_%E6%9E%97%E6%81%A9%E5%A6%82.png,47865,47769.0,,,,,
2_%E8%80%81%E4%BD%99_02.png,40547,40447.0,5268.0,5100.0,4482.0,3782.0,3104
