img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.codecademy.com/,48537,370799.0,72.0,72.0,72.0,72.0,72
39fc70603384584a6d0e9b308b08ec3f.jpeg,149966,149600.0,72.0,72.0,72.0,72.0,72
7f8fd6dd32aa8afc918a5cf6a9fe2933.svg,864,1475.0,,,,,
a07f01c47acd236db2c717c148698e1f.svg,1651,6657.0,,,,,
780f9f64e9a9850a775b059daaab726c.svg,289240,384987.0,,,,,
88f2b695da0acbecad60ed9ea386b6b5.svg,3930,10703.0,,,,,
c2cb3310b4be600e8b5974fb025e84f1.png,2725,2452.0,72.0,72.0,72.0,72.0,72
6ec4b420dc8670b142697aef15790edc.png,107021,106754.0,72.0,72.0,72.0,72.0,72
GiacomoSorbi.jpeg,23113,22725.0,72.0,72.0,72.0,72.0,72
AlisonVoghel.jpg,306100,305397.0,72.0,72.0,72.0,72.0,72
ManuelSousa.jpg,64575,64142.0,72.0,72.0,72.0,72.0,72
Rosita.jpg,240903,240271.0,19240.0,18048.0,13528.0,9638.0,5780
cc6fbeb8-269e-4f49-728a-9da8153f61b7?v=2.133.1_prod&ct=1650715570728&jzb=eJw9T81OwzAMfhefK7oO2kJvwCqEGCyHSjAQirLEaJXaJkpcojLt3ecVxMWy_f3ZHwegySFU0FllIIGdtzGgl9T2vM2KfFFmeV6eawLfbWjJetkaFkhRv6w2spH3or7,115,42.0,72.0,72.0,72.0,72.0,72
pixel?tag=ViewContent&i=gtm&u=https%3A%2F%2Fwww.codecademy.com%2F,421,43.0,72.0,72.0,72.0,72.0,72
?ad_log=referer&action=misc&pixid=dd6893f6-825f-4817-bfc2-e32075548a19,131,43.0,72.0,72.0,72.0,72.0,72
ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-3LRZM6TM9L&cid=1075558583.1650715572&gtm=2oe4k0&aip=1&z=66843750,501,42.0,72.0,72.0,72.0,72.0,72
0?ti=39000277&tm=gtm002&Ver=2&mid=9e4b17a2-6e43-4afd-818d-f3331461f663&sid=c4ace610c2fd11ec9b812b52133897c9&vid=c4ad2e90c2fd11ec9b8819207da04944&vids=1&pi=1200101525&lg=en-US&sw=360&sh=640&sc=24&tl=Le,177,0.0,72.0,72.0,72.0,72.0,72
collect?v=1&_v=j96&a=934902753&t=event&ni=0&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=360x640&vp=360x640&je=0&,194,35.0,44.0,44.0,44.0,44.0,44
collect?v=1&_v=j96&a=934902753&t=event&ni=0&_s=1&dl=https%3A%2F%2Fwww.codecademy.com%2F&ul=en-us&de=UTF-8&dt=Learn%20to%20Code%20-%20for%20Free%20%7C%20Codecademy&sd=24-bit&sr=360x640&vp=360x640&je=0&,91,35.0,44.0,44.0,44.0,44.0,44
?id=1036078779778355&ev=PageView&dl=https%3A%2F%2Fwww.codecademy.com%2F&rl=&if=false&ts=1650715572473&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650715572471.1823600699&it=1650715572147&coo=f,408,44.0,72.0,72.0,72.0,72.0,72
rb?url=https%3A%2F%2Fwww.codecademy.com%2F&action=view&source=codecademy&rb_source=codecademy&script_version=wxyz.v2.js&sessionId=9c2f2b81-8b93-4953-b3af-0de45db1b2b1&path=%2F&title=Learn%20to%20Code%,593,44.0,72.0,72.0,72.0,72.0,72
p?trackId=6c73bbc9-9a3d-4304-8aa8-76c80d873d79&pid=0ea547c3-546e-49eb-978d-aa3aee5e7e0c&ev=PAGE_VIEW&pl=https%3A%2F%2Fwww.codecademy.com%2F&ts=1650715572867&rf=&v=1.6.0&if=false&bt=__LIVE__&intg=gtm&m,85,68.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-25136408-1&cid=1075558583.1650715572&jid=1041779442&_u=YADAAEAAAAAAAC~&z=1211999029,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-25136408-1&cid=1075558583.1650715572&jid=1041779442&_u=YADAAEAAAAAAAC~&z=1211999029,63,42.0,72.0,72.0,72.0,72.0,72
cc6fbeb8-269e-4f49-728a-9da8153f61b7?v=2.133.1_prod&ct=1650715574542&jzb=eJztU2Fv0zAQ_S_-HDWxnaRpv3UsggnKMlEEBSHLsd3WIokj21mUTf3vO5dRMSEEQmKf-Obcu_fu8p7u8z3yU6_QEmmpOq93E4pQbc3olGVet4DgPEvmOMvmaUZxhG6,104,42.0,72.0,72.0,72.0,72.0,72
c.gif?ctsa=mr&CtsSyncId=95DEED055C184FA4ABA2408486C6FA81&MUID=1F2CA8C23D0364F114F6B94D3C0A652B,464,42.0,72.0,72.0,72.0,72.0,72
t.gif?c=1650715575516&h=www.codecademy.com&e=p&u=43854,282,35.0,72.0,72.0,72.0,72.0,72
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=d4d0b0a8-a664-4477-a492-17f511c9e39a&_expected_cookie=275d90aca36c248cf0e0e2c8e2bb8345,142,43.0,72.0,72.0,72.0,72.0,72
?random=1650715582389&cv=9&fst=1650715200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,0,0.0,72.0,72.0,72.0,72.0,72
?random=1650715582389&cv=9&fst=1650715200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,72.0,72.0,72.0,72.0,72
?random=1650715582386&cv=9&fst=1650715200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,0,0.0,72.0,72.0,72.0,72.0,72
?random=1650715582386&cv=9&fst=1650715200000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&sendb=1&frm=0&url=https%3A%2,64,42.0,72.0,72.0,72.0,72.0,72
pageTransferSize,3696996,,72.0,72.0,72.0,72.0,72
totalByteWeight,8155419,,,,,,
