img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.commbank.com.au/,11493,64940.0,,,,,
commBank-logo.svg,1342,1233.0,,,,,
back-arrow.svg,1268,1033.0,,,,,
close-icon.svg,1802,1659.0,,,,,
ds_pictogram_support2.svg,1331,1417.0,,,,,
branch_pictograms.svg,1273,1164.0,,,,,
mobile_call_us_pictograms.svg,1082,1031.0,,,,,
canstar_hphero.jpg,153306,152691.0,72364.0,68512.0,55356.0,41412.0,28992
accounts64_pictogram.svg,1097,1008.0,,,,,
property-investments_pictograms.svg,1353,1027.0,,,,,
insurance64_pictogram.svg,1452,1266.0,,,,,
pictogramTravel64.svg,1615,2029.0,,,,,
pictogramSmallBusiness64.svg,1244,1037.0,,,,,
toolsAndCalcs@2x_pictograms.png,1426,886.0,976.0,948.0,848.0,740.0,624
flood_standard.jpg,134297,133752.0,73552.0,70178.0,56232.0,39938.0,23042
CommBank_More_promocard.jpg,127105,126562.0,33842.0,31746.0,25070.0,18598.0,11764
Chemist_Warehouse_nokeyline.jpg,89457,88914.0,20292.0,19194.0,14816.0,10894.0,6918
steppay_minicard.jpg,13482,12939.0,4884.0,4620.0,3838.0,2942.0,1954
1h22_results_minicard.jpg,13920,13377.0,2032.0,1916.0,1568.0,1214.0,800
atm_minicard.jpg,10581,10038.0,2752.0,2630.0,2130.0,1634.0,1068
pictogramCallUs64.svg,1289,1031.0,,,,,
Twitter.svg,2195,3006.0,,,,,
FaceBook.svg,1818,2340.0,,,,,
LinkedIn.svg,1858,2686.0,,,,,
YouTube.svg,1913,2140.0,,,,,
Instagram.svg,1527,1077.0,,,,,
cba-diamond.gif,6686,6145.0,2110.0,2080.0,1906.0,1608.0,1354
image.jpg,14013,13399.0,278.0,278.0,278.0,280.0,278
ibs:dpid=411&dpuuid=YmPs_gAAAEw-iwQX,945,42.0,72.0,72.0,72.0,72.0,72
serving?cn=um&dpid=1&euuid=31037774365435043453459962055377152537&redir=true,105,0.0,,,,,
TNT-TBT-SER-NA-CookieEU-CBHPHERO_hphero.jpg,0,0.0,4316.0,4316.0,4316.0,4320.0,4316
image.jpg,3215,2531.0,278.0,278.0,278.0,280.0,278
ibs:dpid=903&dpuuid=d5ad51f7-d33b-4e37-8ae2-bbe66e971806,0,0.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1426130,,,,,,
totalByteWeight,4176559,,,,,,
