img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.dcard.tw/,546,0.0,,,,,
logo.8b5bbef2.svg,1559,2416.0,,,,,
orig.png,861,576.0,764.0,734.0,646.0,582.0,510
orig.png,1855,1326.0,5666.0,5454.0,4478.0,3626.0,2814
orig.png,1565,1284.0,1004.0,988.0,894.0,792.0,682
orig.png,1492,1212.0,3946.0,3840.0,3498.0,3112.0,2572
orig.png,1487,1208.0,3946.0,3840.0,3498.0,3112.0,2572
thumb_180.jpeg,9424,9130.0,2652.0,2494.0,2086.0,1576.0,1170
LJjSUfcb.jpg,6323,6010.0,4386.0,4120.0,3448.0,2582.0,1598
i0aII67b.jpg,5027,4813.0,3558.0,3370.0,2752.0,2054.0,1282
Qw6zbYVb.jpg,7722,7445.0,5980.0,5708.0,4922.0,4026.0,2978
EP8VKFjb.jpg,4842,4442.0,3184.0,2902.0,2328.0,1830.0,1166
H5rZUEab.jpg,5362,5154.0,3768.0,3170.0,2598.0,2092.0,1302
sHr9kY3b.jpg,4444,4236.0,3344.0,3124.0,2744.0,2236.0,1686
orig.png,87126,87076.0,3946.0,3840.0,3498.0,3112.0,2572
mR1R88Yb.jpg,6420,6017.0,4548.0,4324.0,3630.0,2738.0,1772
BQWjUpxb.jpg,7532,7075.0,5910.0,5576.0,4632.0,3566.0,2308
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Dcard&time=1650649830375&time_zone_offset=-300&screen_params=360x640x24&java_enabled=0&cookie_enabled=1&ref_url=&host_url=https%3A%2F%2Fwww.dca,551,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
full.jpeg,5430,5401.0,3972.0,3750.0,2990.0,2302.0,1524
Fc5oRXFb.jpg,6210,5754.0,4286.0,3972.0,3246.0,2514.0,1584
P9qxlSZb.jpg,2187,1608.0,1220.0,1068.0,914.0,698.0,526
UE723GZb.jpg,7485,6953.0,5146.0,4924.0,4070.0,3168.0,2060
Cb0OSp3b.jpg,8812,8336.0,7026.0,6742.0,5604.0,4340.0,2834
YJNlA6mb.jpg,5354,4776.0,3350.0,3056.0,2476.0,1930.0,1244
b2?c1=2&c2=33827916&ns__t=1650649832759&ns_c=UTF-8&cv=3.5&c8=Dcard&c7=https%3A%2F%2Fwww.dcard.tw%2Ff&c9=,189,0.0,,,,,
full.jpeg,4484,4455.0,5378.0,5092.0,4144.0,3152.0,2062
260306182167624161?,15465,15156.0,2078.0,1924.0,1566.0,1180.0,748
?id=875687383061624&ev=PageView&dl=https%3A%2F%2Fwww.dcard.tw%2Ff&rl=&if=false&ts=1650649833288&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650649833287.1484839368&it=1650649832819&coo=false&t,410,44.0,,,,,
sKJQWGbb.jpg,8124,7383.0,5894.0,5682.0,4954.0,4024.0,2876
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-27831574-1&cid=1784011473.1650649833&jid=159180738&_u=YChACEAABAAAAC~&z=286238464,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-27831574-1&cid=1784011473.1650649833&jid=159180738&_u=YChACEAABAAAAC~&z=286238464,501,42.0,72.0,72.0,72.0,72.0,72
ng2Lrobb.jpg,7340,6808.0,5732.0,5472.0,4546.0,3390.0,2176
full.jpeg,5778,5741.0,2624.0,2496.0,2050.0,1562.0,1088
4FZYldgb.jpg,5227,4749.0,3164.0,2886.0,2232.0,1756.0,1168
n4UBvsEb.jpg,6763,6284.0,4828.0,4594.0,3712.0,2848.0,1770
full.jpeg,5588,5557.0,4038.0,3834.0,3004.0,2226.0,1354
7RPcdaUb.jpg,6172,5694.0,4258.0,4002.0,3312.0,2476.0,1546
full.jpeg,7259,7228.0,2832.0,2642.0,2132.0,1666.0,1198
83pQqosb.jpg,7335,6602.0,5356.0,5104.0,4260.0,3260.0,2108
kTZUW3Vb.jpg,6032,5452.0,3766.0,3288.0,2748.0,2104.0,1394
sodar?id=sodar2&v=225&li=gpt_2022041801&jk=4498103202611446&rc=,0,0.0,,,,,
generate_204?zvqBMQ,9,0.0,,,,,
PXjvmFZb.jpg,11026,10489.0,10210.0,9884.0,8324.0,6706.0,4350
sodar?id=sodar2&v=225&t=2&li=gpt_2022041801&jk=4498103202611446&bg=!oaKloubNAAYXWUUuN1k7ACkAdvg8WvPME5A4_zuBcG3mVBeX_QDKenTqJZu8Gq-snG1J23T64ERuPgIAAABuUgAAAAJoAQeZAu8xqJs7j1k1SPjTzEYJrz_U0LMHsQUq5Z3b,0,0.0,,,,,
full.jpeg,4460,4429.0,4916.0,4592.0,3662.0,2780.0,1774
640.webp,25421,25384.0,25158.0,24718.0,21912.0,16444.0,12132
pageTransferSize,1949390,,,,,,
totalByteWeight,5457227,,,,,,
