img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.depositphotos.com/,793,0.0,,,,,
e95f3cef089463e264dd4c3ae0ef6e3bc4bb8835.jpg,106270,105788.0,99372.0,94570.0,73394.0,52644.0,27624
trip-advisor.png,1639,1421.0,1406.0,1380.0,1312.0,1228.0,1126
omnicom-media-group.png,10828,10591.0,15338.0,14976.0,14086.0,13140.0,12278
forbes-kz.png,963,755.0,950.0,916.0,806.0,662.0,502
bosch.png,13326,13080.0,6632.0,6682.0,6666.0,6686.0,6678
subaru.png,14124,13878.0,3234.0,3140.0,2864.0,2582.0,2204
saatchi-and-saatchi.png,5423,5196.0,6984.0,6732.0,5938.0,4866.0,3764
bbdo.png,2513,2295.0,2056.0,2064.0,2066.0,2054.0,2054
tescoma.png,4566,4339.0,1274.0,1232.0,1050.0,826.0,608
3cd7cfc2a35fb90a105bc06b810a93b2474d1b9e.jpg,43229,42938.0,3720.0,3294.0,2480.0,1864.0,1426
5406d015ef2346b0f7dcfa1cde463c5b6f1772a5.jpg,41050,40768.0,32106.0,30142.0,23790.0,17910.0,11388
c23ca76e3cc8be4cf80d4830db580c87f1e18636.jpg,39492,39210.0,33076.0,31340.0,25032.0,19190.0,12014
32450d8d79a3ef066c32c0945893c6a32b3706cd.jpg,33328,33046.0,30588.0,29028.0,22562.0,16082.0,9248
e6f033c0711d067c51001d8b4ef5f49c5eb59b16.jpg,43557,43266.0,26296.0,24706.0,19458.0,14536.0,10030
539bf463a8f4558a4ed85615fdaecbbd0adf2b2c.jpg,47576,47276.0,37572.0,35404.0,28786.0,21964.0,14380
6538e3c7f860e797dff85a5c9d09bc190f32d900.jpg,275516,274584.0,27910.0,26486.0,21072.0,16292.0,10622
e37f32b9f49ac2722d060be6fef7a62171f3b40e.jpg,28790,28535.0,19738.0,18870.0,14912.0,11094.0,7348
50fe5534a18cfbfe583316b6e5af83262638462f.jpg,39541,39259.0,33428.0,31698.0,24968.0,18590.0,11650
image-24-06262.svg,558,553.0,,,,,
vector-24-89e22.svg,589,596.0,,,,,
illustration-24-97874.svg,828,1163.0,,,,,
video-24-1b9d0.svg,503,443.0,,,,,
logo-4a05f.svg,2157,4826.0,,,,,
editorial-24-aef7d.svg,491,460.0,,,,,
free-24-8fe18.svg,514,478.0,,,,,
music-24-4049b.svg,466,348.0,,,,,
audio-wave-24-6b614.svg,580,596.0,,,,,
icon-google-simple-8cfad.svg,406,211.0,,,,,
icon-facebook-20a6a.svg,492,372.0,,,,,
icon-envelope-cd3c6.svg,473,373.0,,,,,
icon-thumb-up-24-e873d.svg,881,1127.0,,,,,
icon-quality-content-24-d178b.svg,601,720.0,,,,,
icon-dollar-round-24-97512.svg,876,1155.0,,,,,
icon-easy-to-use-24-6df8f.svg,965,1410.0,,,,,
icon-user-a7371.svg,442,287.0,,,,,
icon-type-photo-new-5cb54.svg,483,413.0,,,,,
fbdd989535cfa94b983cae998a0f88b1f91cf3b9.jpg,63791,63446.0,47138.0,44426.0,34804.0,25678.0,15076
pageTransferSize,2001216,,,,,,
totalByteWeight,5849970,,,,,,
