img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.doubleclick.net/,360,0.0,,,,,
ToOoAIQwJV9q573oHPf0rmIGzxrYnExPpSlCMvlTtpZYddSDWUb4BS5w4vR_LoUSiQdsh3rs3yfDyatf_lVTfzcfom0PFuxd3LDm=s960,173561,173077.0,74378.0,70708.0,54524.0,39202.0,24596
XvcIkb0Lqs86H9rq4wocG56dgQmp7EFyIC18o1gJiMnxUJBkj7YyxUGViLIDPtB_KNzAMQaZDSa_6G3bH9PGkJRC09SIR2poGk6j8g=s1536,45627,45518.0,21100.0,20248.0,16860.0,13424.0,9734
0Q6D6O_H1ln-2XsHxasKU98MASf2MLcp6b0YJcH7L_6jULLHCTh3-WhICIlKXbpr-D_vksAqDgdOjp4532oCcAV6HjR8sPVLiuzm=s960,48888,48780.0,14220.0,13482.0,11180.0,8716.0,6046
uu1BWN2_yiSe1Ciw4nsEQ2gTDIzIOpTATkeVuPLijgZvHQxmJcjfF1RQJNmgb7VaJ_cZVHXrVT4RKlzYUUdDPnCtofRbDrvAsurPFg=s1536,48651,48542.0,23254.0,22284.0,18274.0,14330.0,10230
DJ26GEBH94yMQ3dofeAy0GTxU1JeuRSVQvfd9cxkfD4h-Yj8hpMMXKsgbToA49zQiJjmZMoPBDF_l8rqAh7PnaVHncipPNFfHxWxRrs=s1536,42271,42166.0,16336.0,15834.0,13452.0,11002.0,8688
J1lW_pPLg0dOdxjYZ7eK61Q-Tgc0yUc0Ssp2Kdde9KHjl7iFptnFes6xVADOkzyYsndCJWHSC4Klwbj--XGbbkXwSop85kXPzVn0bg=s960,38328,38223.0,8452.0,8080.0,6798.0,5388.0,3874
T0P6stldNdtTJ9yCbmfQI3mgyERiFmiILsGPq2o-rbmsCCBUwGkqBZW94qiD-ldjJYpdrydkOnvNwS4rRU9fnDUp1HeyZvPnERsx8Ss=s960,43503,43419.0,12880.0,12046.0,9926.0,7708.0,5852
GwoRAsrVkvjbDQ7KT1Mo8szeWw3r0GfWNV6DzAN_vFb83miby5hanKxOHvQpiTLJm-OhkszcRcLRZa7TgFFwH4eX8A5bXOTpOgk2Hjs=w596-h340-p-nu-pa,44862,44776.0,14540.0,13518.0,10336.0,7438.0,4622
2ixtbKrd00NDDLHlx5i-eLj43BEx4_cSpRnIkRh3DDg8ovVce0AI73mE5MR1I58WM25NMM6vQLR3cLNQC8_MknPoFQJY5X8p-BUolOE=w596-h340-p-nu-pa,44214,44105.0,13802.0,13012.0,10030.0,7352.0,4680
20cvQ98y1YUVI38pgyeEs0dnkKhRG0Cr4wjLmHH4rRFs_KrOM_JK1feG5EWb1-eZkhKMAbeJ4cY3_nITovwK_b8H-4fNRWYEBHEFCA=w596-h340-p-nu-pa,74084,73957.0,29244.0,27768.0,23082.0,16702.0,10410
Xde_feRXsipCVqfFr7i0xr1K_OlsP_h7tfxcp3Xj0EZj78gF77vF4Lcj01B4S14zO5XaaRekiHn5Dxd6bBMoM8UDHgBgnZAlRdG6Vw=s960,67033,66906.0,25744.0,24298.0,18178.0,13382.0,8766
T0t-NlSp0OzDa4gqQgUcftzEXmWnhR6RfUDWq-8z9P_mCn9xkxqCSbsD5UiogxeoTodQSknNDuNOFuu1dN2en5z6rjBiOJsokArDx7M=s1536,23893,23793.0,11812.0,11240.0,9618.0,7778.0,5876
?random=1650655896460&cv=9&fst=1650654000000&num=1&label=zm2nCJ_ghIMBEKfuzsQD&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&s,548,42.0,,,,,
?random=1650655896460&cv=9&fst=1650654000000&num=1&label=zm2nCJ_ghIMBEKfuzsQD&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2wg4k0&s,548,42.0,,,,,
collect?v=1&_v=j96&aip=1&a=218044566&t=event&ni=1&_s=1&dl=https%3A%2F%2Fmarketingplatform.google.com%2Fabout%2Fenterprise%2F&ul=en-us&de=UTF-8&dt=Enterprise%20Advertising%20%26%20Analytics%20Solutions,55,35.0,44.0,44.0,44.0,44.0,44
pageTransferSize,1103902,,,,,,
totalByteWeight,2030890,,,,,,
