img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.dropbox.com/,118540,627157.0,,,,,
hstsping,171,0.0,,,,,
img.jpg,95710,95127.0,6128.0,5818.0,4960.0,4224.0,3386
img.png,81036,80476.0,24480.0,23698.0,21254.0,18028.0,14646
syncing.svg,1106,981.0,,,,,
share.svg,1037,829.0,,,,,
shield.svg,997,812.0,,,,,
comment.svg,1061,1045.0,,,,,
img.jpg,48097,47572.0,10200.0,9734.0,8116.0,6648.0,5148
img.jpg,34193,33675.0,21834.0,20588.0,16528.0,12210.0,7548
104138?consent=0&regulationid=0&regulationconsenttypeid=1,121,0.0,,,,,
104138?consent=0&regulationid=0&regulationconsenttypeid=1,120,0.0,,,,,
img.jpg,29269,28462.0,21834.0,20588.0,16528.0,12210.0,7548
img.png,114756,113833.0,1480.0,1474.0,1436.0,1406.0,1356
pageTransferSize,1798525,,,,,,
totalByteWeight,4401950,,,,,,
