img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.evernote.com/,549,0.0,,,,,
primary.svg,10123,10094.0,,,,,
nav-open-tablet.svg,295,272.0,,,,,
nav-close-tablet.svg,400,377.0,,,,,
googleplay_badge_en.svg,5937,5904.0,,,,,
task_hero_image@2x__en.png?b8ddc3599750b793,198321,198165.0,137378.0,134362.0,121602.0,107180.0,91604
repackaging-video@2x.png?7eacede413310329,797044,796853.0,158688.0,151976.0,132392.0,110282.0,85122
homepage-quote.svg?b0e2b632521371af,607,584.0,,,,,
forbes-active.png?bf9a5df9957f4159,8088,8059.0,2158.0,2158.0,2142.0,2138.0,2140
logo-inc-active.png?992ec22c29e40e1f,4699,4673.0,938.0,928.0,886.0,874.0,850
the-verge_active.png?f826f414802b230,4142,4116.0,1662.0,1660.0,1650.0,1648.0,1648
entrepreneur-magazine_active.png?9849bcfd0f74356c,10023,9990.0,2482.0,2444.0,2354.0,2284.0,2216
business-active.png?8051d1e9386e134d,7692,7660.0,2036.0,2028.0,2022.0,2006.0,1998
well-good_active.png?9d4ab0bfac8bd9f3,4425,4393.0,1638.0,1636.0,1614.0,1594.0,1588
feature_task@2x__en.png?48c2885bd8c8805,53618,53550.0,55570.0,54296.0,50900.0,47198.0,41890
task_icon.svg?15f56a9a9cce7f60,3809,3781.0,,,,,
go_paperless__en.png?4e2ca7e52744f53a,142010,141943.0,32494.0,31618.0,28134.0,24348.0,19948
go_paperless_@2x__en.png?1e45d8ee9a898dbb,473953,473827.0,101512.0,98080.0,86522.0,74600.0,62350
doc-scanning.svg?e3895d5ca04c0b30,10063,10030.0,,,,,
clip_the_web__en.png?e4ca459dc51888f0,120670,120605.0,26254.0,25498.0,22520.0,19222.0,14994
clip_the_web_@2x__en.png?fc2a62bf3c2f2de6,369998,369731.0,75652.0,73862.0,65788.0,56386.0,45486
web-clipping.svg?16e9285e1783dd84,18861,18819.0,,,,,
feature_calendar@2x__en.png?7b789c6e39274cd,74365,74280.0,48892.0,47314.0,43014.0,37450.0,30974
calendar_icon.svg?b01307c27cabd0f4,4344,4311.0,,,,,
i.svg,1160,1130.0,,,,,
navigate-desktop.svg,463,433.0,,,,,
navigate-mobile.svg,347,317.0,,,,,
facebook.svg?9160fd22d3989f1d,1179,1149.0,,,,,
twitter.svg?86f5b52b86e73f8a,1732,1702.0,,,,,
medium.svg?52fd11cd2ab1c19d,2026,1996.0,,,,,
instagram.svg?fc442c90054f1e17,1902,1872.0,,,,,
youtube.svg?e6cd845ac702e86,1782,1752.0,,,,,
linkedin.svg?3cb3534417e36ffc,1830,1800.0,,,,,
footer-logo.svg,10275,10233.0,,,,,
logo-icon.svg,3887,3848.0,,,,,
pageTransferSize,3038957,,,,,,
totalByteWeight,3657452,,,,,,
