img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.fivethirtyeight.com/,288,0.0,18194.0,17758.0,16196.0,14098.0,11800
logo-fox-head-color.svg,415,303.0,,,,,
0422_POLLA-4x3-1.png?w=940,352763,352238.0,69214.0,65572.0,52362.0,38528.0,23114
GettyImages-1188541496-4x3-1.jpg?w=414,73112,72964.0,21480.0,20046.0,16256.0,12330.0,8088
GettyImages-1239919879-2.jpg?w=600,73450,73248.0,12882.0,11548.0,8682.0,6196.0,4062
FL-MAP-421-4x3-1.png?w=414,10400,10292.0,4126.0,3950.0,3254.0,2436.0,1664
GettyImages-1237996850-4x3-1.jpg?w=414,55113,54934.0,12248.0,11562.0,8896.0,6362.0,3876
AP22070120242641-4x3-1.jpg?w=414,49175,49014.0,11848.0,11192.0,8916.0,6654.0,4242
GettyImages-1392239029-4x3-1.jpg?w=414,60638,60462.0,16576.0,15664.0,12694.0,9764.0,6484
GettyImages-1175341712-4x3-1.jpg?w=414,57556,57376.0,17728.0,16718.0,13296.0,9704.0,5972
RTS76CEN-4x3-1.jpg?w=414,44412,44254.0,10796.0,10328.0,8260.0,6260.0,4114
COVID-WASTEWATER-4x3-1.png?w=414,148857,148582.0,21612.0,20260.0,16168.0,11672.0,7344
20220419_538_Politics_Pod_4x3.jpg?w=600,27596,27490.0,17606.0,16610.0,13324.0,10420.0,7172
GettyImages-1240035164-4x3-1.jpg?w=414,48824,48676.0,7520.0,6774.0,4904.0,3274.0,1822
ABORTION-WAIT-TIMES-4x3-1.png?w=414,107340,107084.0,12782.0,12122.0,10112.0,7906.0,5204
220421_538_PoliticsPod_hpMain_16x9_1600.jpg,109404,108890.0,39976.0,37700.0,28098.0,19256.0,12250
fivethirtyeight-logo-smartnews.png,6716,7310.0,18194.0,17758.0,16196.0,14098.0,11800
symbol-play.svg,227,137.0,,,,,
newsletter-icon.svg,458,684.0,18194.0,17758.0,16196.0,14098.0,11800
?rand=1650632560765&plid=75080823&idsite=fivethirtyeight.com&url=https%3A%2F%2Ffivethirtyeight.com%2F&urlref=&screen=360x640%7C360x640%7C24&data=%7B%7D&sid=1&surl=https%3A%2F%2Ffivethirtyeight.com%2F&,257,43.0,18194.0,17758.0,16196.0,14098.0,11800
bos.png&w=56&h=56,5195,4803.0,1604.0,1548.0,1372.0,1170.0,948
phx.png&w=56&h=56,3262,2871.0,1724.0,1672.0,1510.0,1328.0,1118
gs.png&w=56&h=56,3599,3207.0,1534.0,1494.0,1330.0,1156.0,920
mil.png&w=56&h=56,3517,3125.0,18194.0,17758.0,16196.0,14098.0,11800
col.png&w=56&h=56,4508,4116.0,1652.0,1604.0,1438.0,1246.0,1016
fla.png&w=56&h=56,4204,3812.0,1574.0,1530.0,1354.0,1156.0,918
cgy.png&w=56&h=56,2599,2207.0,1478.0,1440.0,1302.0,1158.0,980
