img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.gongchang.com/,398807,397942.0,,,,,
3tp5wlBawZ.png,5136,4669.0,,,,,
qex7m20q2o9ui7f9074940.png,40377,39847.0,,,,,
he9wmcxbjsudxdlp075005.png,40742,40213.0,,,,,
r6i81q2mh9ilq4ge084041.jpeg,47157,46617.0,,,,,
3ZoCV8jf9k.png,8464,8078.0,,,,,
xgri07ouckaxiiae012030.png,954,557.0,,,,,
l7rupwsgo63u8meo004101.jpg,0,0.0,,,,,
eyxt5jkjvjpl987q004129.jpg,0,0.0,,,,,
tqei96v77w06mn7i004151.jpg,0,0.0,,,,,
9cx5spfj3eocs6pl004204.jpg,0,0.0,,,,,
fh8lr4m1s3mji6gl042118.png,1842,1442.0,684.0,674.0,624.0,572.0,510
23wq0ycopkycnbtu012909.jpg,41399,40890.0,14272.0,13694.0,11406.0,9168.0,6550
uCh5nYUh8k.png,1963,1577.0,742.0,734.0,688.0,618.0,556
0941128817849.jpg,5613,5198.0,4306.0,4234.0,3738.0,2734.0,2058
0940377717849.jpg,4864,4508.0,3566.0,3500.0,3046.0,2140.0,1618
0941344417849.jpg,3824,3468.0,2536.0,2504.0,2218.0,1586.0,1216
0941476717849.jpg,6666,6310.0,5362.0,5302.0,4614.0,3200.0,2340
bc0533f955nd2ae9a0625vd0d14f12d7.png,2690,2326.0,2300.0,2296.0,2220.0,2046.0,1956
9a5af73dcdna398625c5cg4c2dbeca71.png,2485,2122.0,2116.0,2108.0,2036.0,1894.0,1768
22c3b60f00n4e8b765b27w3049f0273c.png,3477,3112.0,3060.0,3016.0,2650.0,1892.0,1484
0f5c2188cfr09c2caa9d4l8bb9ce8e6d.png,1501,1064.0,1060.0,1050.0,986.0,882.0,794
d64427ef23mca2109b403c9da9e6deb1.png,1770,1414.0,1408.0,1408.0,1394.0,1374.0,1360
b85684613bj9502d4d529beb7bea93ab.png,2652,2288.0,2264.0,2248.0,2114.0,1808.0,1622
85b9fda69cr1413ab68d9t339b0fac07.png,4039,3674.0,3632.0,3620.0,3448.0,3160.0,2868
4ac621001df94cff52b6ej34137ba6a8.png,5683,5284.0,5234.0,5110.0,4536.0,3602.0,2700
afde9f2b6ai8da20177f8p3dad1b53dc.png,3362,2998.0,2992.0,2954.0,2816.0,2586.0,2356
bdb8f8a291o47f045fe1aj38d6c12a47.png,3104,2740.0,2742.0,2698.0,2380.0,1760.0,1238
c957fdec89c62e065012fn9ce66826fe.png,12870,12496.0,12382.0,12326.0,11500.0,10034.0,8590
0a160e6a42qfaf4b98228yc4c0a0bc8d.png,48073,47662.0,48280.0,48262.0,45656.0,40444.0,37996
1ad493f49ebfc9eaba6d6k0e52a24bae.png,9279,8906.0,8884.0,8854.0,8708.0,8234.0,7732
eae6d78a06ne8327ceeabp0db187b10c.png,2792,2428.0,2422.0,2406.0,2306.0,2154.0,1922
19e42ffac4he7a3c7fd22wd9f5515816.png,123055,122562.0,121796.0,120760.0,112598.0,95546.0,85772
4fc8d47d6fu8f68e7abe7h1b1683409b.png,3088,2724.0,2716.0,2698.0,2512.0,2210.0,1868
685001f5c5rd7f9bc85b2n573c96206f.png,12185,11810.0,11552.0,11280.0,9908.0,7486.0,6160
a8a67be030q186221d64ev029bd340fa.png,2158,1712.0,1710.0,1700.0,1640.0,1536.0,1478
499681d8cau71ffcf203ev2be9894c6f.png,3383,3018.0,2996.0,2958.0,2796.0,2456.0,2082
57796a52f0o7c5236071fi924406c97c.png,4108,3744.0,3728.0,3718.0,3654.0,3498.0,3360
a46509daa0p8bf0c0050dm0349f48fd7.png,3134,2770.0,2760.0,2752.0,2662.0,2372.0,2268
07f0e406c3c46e751ca32h851eb03d79.png,2999,2634.0,2614.0,2546.0,2318.0,1676.0,1404
8c9bdc0c4fd55bcaf5735c205e2c9635.png,8433,8068.0,8050.0,7994.0,7526.0,6120.0,5512
logo.jpg,63906,63633.0,12056.0,11606.0,10202.0,8482.0,6318
logo.jpg,2965,2553.0,12056.0,11606.0,10202.0,8482.0,6318
d97a352db0vb13c80f63bx46d9c7d166.jpg-150x150.jpg,9608,9162.0,5948.0,5784.0,5052.0,4052.0,2854
d94a472674dfe595e3c0ale5cd448381.jpg-150x150.jpg,5044,4630.0,2648.0,2496.0,2146.0,1634.0,1096
4068de4787ge61402472ex8f89fce8ba.jpg-150x150.jpg,13252,12828.0,7942.0,7662.0,6540.0,5082.0,3394
0171e09cdci303af354b1uf2fcddcc41.jpg-150x150.jpg,2796,2382.0,1206.0,1150.0,938.0,734.0,520
f2fc3a6edance5dbff547je249b216cc.jpg-150x150.jpg,2682,2268.0,1112.0,1054.0,884.0,652.0,428
eea41a9cdac1d2a64f148d2a937df003.jpg-150x150.jpg,5629,5216.0,2908.0,2814.0,2360.0,1800.0,1158
38bcf353afa7f3a812863hd654fd1743.jpg-150x150.jpg,5834,5396.0,2934.0,2812.0,2424.0,1828.0,1136
837e345328wd9073878e0uaa55e7f9f3.jpg-150x150.jpg,4440,4026.0,2114.0,2028.0,1690.0,1318.0,876
68ef089ad3h23a06e1ac2x622342a166.jpg-150x150.jpg,3850,3412.0,1930.0,1874.0,1584.0,1234.0,812
9ae4c6f9e9k1806634206mb5011d913e.jpg-150x150.jpg,7542,7188.0,4306.0,4134.0,3614.0,2770.0,1792
f7eba3bfbetc73cf3d34cxec66ea01a6.jpg-150x150.jpg,6871,6516.0,4042.0,3884.0,3390.0,2544.0,1698
051542568434588.jpg-150x150.jpg,10168,9804.0,5630.0,5376.0,4676.0,3392.0,2138
54f32a1755afe82560138a075855c6c3.jpg-150x150.jpg,14476,14110.0,9116.0,8738.0,7554.0,6038.0,3970
14bf96f220je41a9c65d5se6eb4036f2.jpg-150x150.jpg,11950,11586.0,6822.0,6580.0,5624.0,4152.0,2582
014930938491255.jpg-150x150.jpg,7577,7222.0,4150.0,3958.0,3402.0,2540.0,1684
e29a1d15b9c286831e22as0c49d61264.jpg-150x150.jpg,11720,11272.0,6972.0,6720.0,5846.0,4386.0,2872
342f676730m6b6cb59b15b5c0bedce89.png-150x150.jpg,5072,4636.0,2918.0,2810.0,2474.0,1926.0,1284
c0177874c7l9d4a9f880ct27568da5e7.jpg-150x150.jpg,3488,3076.0,1638.0,1604.0,1378.0,1068.0,706
8ad5da7416mfc0d47bc59w66f33c6436.jpg-150x150.jpg,4719,4330.0,2146.0,2038.0,1676.0,1234.0,780
7zd8ffaujena5jrf013039.png,109037,108507.0,14116.0,13610.0,11838.0,9752.0,7680
M2qggWlRPo.png,1224,847.0,508.0,496.0,474.0,436.0,390
eOii6K5vwJ.png,3314,2929.0,1398.0,1378.0,1276.0,1184.0,1080
XClN3iPXo1.png,626068,624936.0,9572.0,9336.0,8500.0,7592.0,6896
3b1wmppzxo4qgct1042205.png,61083,60609.0,6408.0,6090.0,5106.0,3788.0,2674
plrrC5Wiqi.png,1709,1333.0,482.0,460.0,414.0,360.0,310
oFe5v5YUfY.png,3234,2848.0,836.0,804.0,682.0,536.0,400
sdinfglsgbrvrbpg074103.png,1687,1287.0,510.0,496.0,442.0,368.0,296
y679ude3ryopxaqf082556.png,38075,37628.0,3914.0,3788.0,3356.0,2974.0,2552
l2qjwfmdausthsae084003.png,789,392.0,462.0,452.0,416.0,392.0,364
cm1mj7c2deuaso3f084009.png,1017,619.0,604.0,598.0,560.0,520.0,468
134ww8fa2jo1cgwc084016.png,864,464.0,624.0,614.0,574.0,520.0,430
662s79d8irzebba3084023.png,871,474.0,498.0,494.0,462.0,432.0,390
Y3VXFWK9PO.png,1206,831.0,422.0,418.0,388.0,358.0,330
rKvdDp1Rqo.png,643,267.0,176.0,176.0,174.0,174.0,174
oAglD4VFza.png,578,204.0,186.0,186.0,184.0,190.0,182
gc-gongchang-404,5103,4748.0,1374.0,1304.0,1128.0,948.0,800
gc-gongchang-404,0,4748.0,1374.0,1304.0,1128.0,948.0,800
gc-gongchang-404,0,4748.0,1374.0,1304.0,1128.0,948.0,800
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=3851&et=0&ja=0&ln=en-us&lo=0&rnd=1523947986&si=1feded28e200c1f62aa6738cb40e9f68&su=https%3A%2F%2Fwww.gongchang.com%2F&v=1.2.92&lv=1&sn=26081&r=0&ww=360&ct=!!&u,299,43.0,72.0,72.0,72.0,72.0,72
hm.gif?cc=1&ck=1&cl=24-bit&ds=360x640&vl=3859&et=0&ja=0&ln=en-us&lo=0&rnd=1873778195&si=c21c27c299aa3f07f41d3e6c61a04ebf&su=https%3A%2F%2Fwww.gongchang.com%2F&v=1.2.92&lv=1&sn=26081&r=0&ww=360&ct=!!&u,299,43.0,72.0,72.0,72.0,72.0,72
pageTransferSize,1756795,,,,,,
