img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.google.de/,45069,154621.0,,,,,
gsa_super_g-64.gif,22777,22232.0,33080.0,31694.0,26348.0,21012.0,14814
googlelogo_color_160x56dp.png,7336,7048.0,,,,,
searchbox_sprites317_hr.webp,1802,1700.0,1678.0,1680.0,1614.0,1576.0,1554
nav_logo325_hr.webp,5212,5096.0,5956.0,5850.0,5514.0,5122.0,4838
client_204?&atyp=i&biw=360&bih=640&dpr=2.625&mtp=1&ei=bD1kYoS7JMTQaIz-q6AO,15,0.0,,,,,
home_icon.svg,487,232.0,,,,,
search_activity_icon.svg,395,393.0,,,,,
save_icon.svg,596,1016.0,,,,,
manage_searches_icon.svg,346,383.0,,,,,
settings_icon.svg,555,869.0,,,,,
privacy_advisor_icon.svg,507,745.0,,,,,
explicit_icon.svg,290,255.0,,,,,
how_search_works_icon.svg,413,440.0,,,,,
help_icon.svg,365,465.0,,,,,
feedback_icon.svg,274,273.0,,,,,
fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19028794&client=throttler&authuser=0&ei=bD1kYoS7JMTQaIz-q6AO&zx=1650736493703,21,0.0,,,,,
gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19028795&ic=1&ogd=google.de&ogprm=up&vet=10ahUKEwiEoYnS4Kr3AhVEKBoKHQz_CuQQjW0IAQ.bD1kYoS7JMTQaIz-q6AO.s&vis=1&ei=bD1kYoS7JMTQaIz-q6AO&zx=1650736493704,14,0.0,,,,,
gen_204?atyp=i&ct=14&cad=e&ogsr=1&id=19028795&ic=1&ogd=google.de&ogprm=up&vis=1&ei=bD1kYoS7JMTQaIz-q6AO&zx=1650736494017,14,0.0,,,,,
ui,0,0.0,,,,,
gen_204?atyp=i&ct=psnt&cad=&nt=navigate&ei=bD1kYoS7JMTQaIz-q6AO&zx=1650736494223,14,0.0,,,,,
pageTransferSize,524414,,,,,,
totalByteWeight,1505026,,,,,,
