img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.hespress.com/,25377,191518.0,,,,,
sprite.svg?4.23,38840,158152.0,,,,,
placeholder.png,3600,3412.0,2788.0,2704.0,2398.0,1912.0,1520
pass-sanitaire23.jpg,24916,24710.0,6682.0,6364.0,5066.0,3864.0,2720
reunion-sur-service-de-sante4.jpg,99252,98964.0,19688.0,18314.0,14694.0,10984.0,6826
roi-pedro-sanchez.jpg,87600,87304.0,16686.0,15780.0,12580.0,9062.0,5232
hassan-tazi-1.jpg,55769,55546.0,11104.0,10416.0,8194.0,5956.0,3558
amr-khaled-matrix-de-la-vie-1.jpg,44781,44554.0,11066.0,10358.0,8242.0,6050.0,3784
etudiants-ukraine.jpg,56969,56654.0,15314.0,14222.0,11526.0,8830.0,5626
covid-hopital.jpg,50884,50650.0,11870.0,10918.0,8500.0,6434.0,3834
station-de-dessalement-de-l-eau-de-mer-casa.jpg,109340,109002.0,20788.0,19704.0,15840.0,11546.0,6882
collect?v=1&_v=j96&a=1148279311&t=pageview&_s=1&dl=https%3A%2F%2Fwww.hespress.com%2F&ul=en-us&de=UTF-8&dt=Hespress%20-%20%D9%87%D8%B3%D8%A8%D8%B1%D9%8A%D8%B3%20%D8%AC%D8%B1%D9%8A%D8%AF%D8%A9%20%D8%A5%,55,35.0,44.0,44.0,44.0,44.0,44
?id=447079109144639&ev=PageView&dl=https%3A%2F%2Fwww.hespress.com%2F&rl=&if=false&ts=1650664949422&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650664949420.810274423&it=1650664949180&coo=false,410,44.0,,,,,
atrk.gif?frame_height=640&frame_width=360&iframe=0&title=Hespress%20-%20%D9%87%D8%B3%D8%A8%D8%B1%D9%8A%D8%B3%20%D8%AC%D8%B1%D9%8A%D8%AF%D8%A9%20%D8%A5%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9%2,552,43.0,72.0,72.0,72.0,72.0,72
x.png,48,0.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1423316-1&cid=2039188438.1650664949&jid=675037862&_u=YEBAAAAAAAAAAC~&z=567309010,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-1423316-1&cid=2039188438.1650664949&jid=675037862&_u=YEBAAAAAAAAAAC~&z=567309010,501,42.0,72.0,72.0,72.0,72.0,72
Tadabor_Al_Kasas.jpg,47611,47292.0,13690.0,12996.0,10552.0,8082.0,5390
more_vert_white_48dp.png,773,233.0,264.0,266.0,264.0,266.0,266
feedback_grey600_24dp.png,296,205.0,182.0,182.0,182.0,182.0,180
settings_grey600_24dp.png,696,604.0,496.0,494.0,494.0,494.0,492
Amr_Khalid-1.jpg,49318,49090.0,11626.0,10950.0,8538.0,6268.0,3718
bUzX71jGJBztjfbCdLMsxWc5Q3-RU34chvono2qT8l0axNGFFvVmdJi1XYl2hJBKt7bL0YK4=w158-h158-rw-v1,2681,2288.0,2490.0,2414.0,2174.0,1690.0,1120
google_play_icon_grey_o54.svg,3671,11090.0,,,,,
Binatna-3.jpeg,26191,25974.0,6786.0,6334.0,5094.0,3892.0,2736
?google_gid=CAESEC8__Il1TV2DXQN9XHc4bUc&google_cver=1&google_push=AYg5qPJIqWEqWCafga3nQjRC7ot655Lo4_Tct3cBS_2NlPpekYFZAHjNpMKgWREkbb7L3kdbw4xmmUD_JGd3Au-OOo5teIFxApM,44,0.0,,,,,
googleredir?rid=tknhntsqez&id=ndBK6L_fzwx7rssCbe8.iLes3yi8eMbF6r2JE6Xu.b7.N7&google_gid=CAESEOnrjyzVEFfYbcDbGQXFKk8&google_cver=1&google_push=AYg5qPLzX8rrN9uTvsWDJ3bYA2WKk0paPxJybcmBueDBVGuIcTK8LkSq5a,0,0.0,,,,,
attr?d=AHNF13Ltcp7NirKronZ4omtSK2uTkdQxIQZsIqCpFFUTAokgv4CShbdxrWl15iBMLQ4wm1ENd4ogoQ,232,0.0,,,,,
?google_gid=CAESEC8__Il1TV2DXQN9XHc4bUc&google_cver=1&google_push=AYg5qPI4FXLQxuFz3o_TxNbJb85hf3pCnYH4zYSDsZ_NqJefzQSDZmU03MUxapHPHjsoGxip6xFkmEncagKc5SY7zYMmGv0MLnI9,43,0.0,,,,,
attr?d=AHNF13J2Mufx5AgOpXBcbreEmf3OSXsQuS_sWv9BbLdsxQnd1k9OotBOkcDNjzvC7P5M6-VrsaIL,40,0.0,,,,,
pixel?google_nid=open&google_push=AYg5qPJtJqh6X4IpA09jvu3uMMbXICcxe-zl_-jIUcA_TFVEnYOAHgMVudcmwcMG9Hd-Toe7ZAxHfXeGNIZUoUVrapw3HDURcbQ&google_hm=T_Js8NkYjnSXZckCxmw3ZQ==,232,170.0,44.0,44.0,44.0,44.0,44
Mohammed5.jpg,45792,45544.0,11732.0,10900.0,8774.0,6798.0,4316
pixel?google_nid=open&google_push=AYg5qPICEFj_Bo1aE_w3ai0866tkANbQyNYeLHAedtxhA3APRl8m6Tg8ZKPJ_AKa8TYXXbYg6scmY4mezRtaJYTAWsTOsCpsVRuD&google_hm=T_Js8NkYjnSXZckCxmw3ZQ==,232,170.0,44.0,44.0,44.0,44.0,44
pixel?gdpr=0&google_nid=B765081F39B1F7&google_push=AYg5qPIMYvkOsFpTzTVxtzAZ3aF7JbSjfVzBW0fwr2Ej2XsOmDgP1opgPf7I7cX3WqNxR5Sm--3oHi93A6WlEgsfq1mhmoZTpmE&google_hm=AA,232,170.0,88.0,88.0,88.0,84.0,80
pixel?gdpr=0&google_nid=B765081F39B1F7&google_push=AYg5qPLFOIAqheGcPeAeCaXiUJNeRl6xGCBSIVrjbG4gFY54fBqU2aPLI6WA90M_nFRlripHV82Z9Dw9RKl3Lt_YqNgAjCNvGXs&google_hm=AA,329,170.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=everest&google_hm=WW1NbEBBQUFBU0IxVkFRRQ&google_push=AYg5qPJUlt9jamxmPyp6bgLpAGzWItvTTgaLrH8hQUiMLWBO_2sD-T0RCrlxF2ZEUw7Q7AgPX5QpySFDfRptgXXYEPBbwTD-qso,232,170.0,72.0,72.0,72.0,72.0,72
abernous_ep10.jpg,53966,53720.0,9984.0,9320.0,7206.0,5290.0,3370
pixel?google_nid=walmart&google_hm=XMlQL2sUUVGEWdVB4-LlMI&tap=gAds&google_gid=CAESEGZjz3-pVsvXY6y-BuA3WCE&google_cver=1&google_push=AYg5qPL9qKwzC2qus-kJsTXoGYXz6AjdgHqcMKDdMJrSC9_-gSiMELfXeLSuX-87I4kR,188,170.0,72.0,72.0,72.0,72.0,72
ar.jpg,45206,44984.0,12258.0,11582.0,9018.0,6828.0,4406
pixel?google_nid=pmeb&google_sc=1&google_hm=UR3QNrM8S22Zs69J191tnw%3D%3D&google_redir=https%3A%2F%2Fimage8.pubmatic.com%2FAdServer%2FImgSync%3Fsec%3D1%26p%3D156578%26mpc%3D4%26fp%3D1%26pu%3Dhttps%253A,188,170.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=pmeb&google_sc=1&google_hm=VAhGJn9QSuaC2qiKcWM6oQ%3D%3D&google_redir=https%3A%2F%2Fimage8.pubmatic.com%2FAdServer%2FImgSync%3Fsec%3D1%26p%3D156578%26mpc%3D4%26fp%3D1%26pu%3Dhttps%253A,188,170.0,72.0,72.0,72.0,72.0,72
pixel?google_nid=rp&google_hm=TDJBWkFLQUctMTAtN0xKMw==&google_push=AYg5qPLO87fXWJ_9WG0uGrnPD6t-D3BA0piMfaj6xMGpQSd2L4xJsUVhUlYCW5uctAED5A_TzX3QyuF6UmqMv435JkwDJVVkr3U,188,170.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=rp&google_hm=TDJBWkFLQUctMTAtN0xKMw==&google_push=AYg5qPLrEWLVfVpUorG4nQVaVZ7e90luqdrDTufOO3riKpnbYupajGs3NatOX6I1pusgoXnKErv72YIHu1B1y2LDyaLC4Jr5HgH3,188,170.0,88.0,88.0,88.0,84.0,80
Snak3.0.jpg,76269,75906.0,16424.0,15356.0,12236.0,9084.0,5662
?google_gid=CAESEC8__Il1TV2DXQN9XHc4bUc&google_cver=1&google_push=AYg5qPJW6d9jUraPT82dhLnwYQ5NEtHKhTv_YZ0rlBxnbPBWLJsBszMRM-lh7TIFVevngCWv2UXxX5qzxAr7-ETiu2G4Iq6aL1M,43,0.0,,,,,
googleredir?rid=tknhntsqez&id=ndBK6L_fzwx7rssCbe8.iLes3yi8eMbF6r2JE6Xu.b7.N7&google_gid=CAESEOnrjyzVEFfYbcDbGQXFKk8&google_cver=1&google_push=AYg5qPLysed20QDr-6cAtZxGGejjXbIgRVu8bEL4iz5uusGkymdlsqH5Pr,0,0.0,,,,,
attr?d=AHNF13K3acYLe2dUVBWtKQp1C0qerTvDKhUG65CCxGG8DagIYqrU4Zeem4k0EExBuh8zzqNFysj0nQ,12,0.0,,,,,
l?ebcid=ALh7CaSu-gjlI9fq6vzwF3t2kezfY3FyOqvCs-o6QvjBWvohfohGl7QNgb-uEKRcuIJZPsNhU3Z_r6m3qplZPTGHDu_qYL6sRQ,0,0.0,,,,,
bUzX71jGJBztjfbCdLMsxWc5Q3-RU34chvono2qT8l0axNGFFvVmdJi1XYl2hJBKt7bL0YK4=w158-h158-rw-v1,0,2288.0,2490.0,2414.0,2174.0,1690.0,1120
google_play_icon_grey_o54.svg,0,11090.0,,,,,
pixel?google_nid=rp&google_hm=TDJBWkFLQUctMTAtN0xKMw==&google_push=AYg5qPKH5bC7Z0IZpIbiAeufd4KN23SCND-RwdJBdOhjeAeZEVfk7p_AdZhXxbEMFyF63yzyABeNAgKPOzoxmlvScP_8M2uZVk8,188,170.0,88.0,88.0,88.0,84.0,80
pixel?google_nid=pmeb&google_sc=1&google_hm=VAhGJn9QSuaC2qiKcWM6oQ%3D%3D&google_redir=https%3A%2F%2Fimage8.pubmatic.com%2FAdServer%2FImgSync%3Fsec%3D1%26p%3D156578%26mpc%3D4%26fp%3D1%26pu%3Dhttps%253A,188,170.0,72.0,72.0,72.0,72.0,72
