img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.huawei.com/,161,0.0,,,,,
huawei_logo.png,3441,3176.0,3106.0,3070.0,2942.0,2778.0,2634
has2022-en.jpg,181101,180447.0,65764.0,60706.0,46018.0,32802.0,20794
has2022-en-m.jpg,100023,99520.0,34070.0,31662.0,24720.0,18048.0,11782
matebook-e-m.jpg,17094,16772.0,9978.0,9346.0,7574.0,5922.0,4310
popup-icon.jpg,4050,3776.0,582.0,558.0,476.0,384.0,274
maskpop.png,1188,923.0,72.0,72.0,72.0,72.0,72
lazy.png,5662,5387.0,2366.0,2368.0,2366.0,2358.0,2344
mask_grad.png,3743,3469.0,,,,,
type2.png,1256,992.0,104.0,104.0,102.0,102.0,102
p50-pocket-en-m.jpg,70148,69708.0,39832.0,37626.0,29964.0,23280.0,15608
jt-banner-pc2.jpg,60681,60242.0,18504.0,17324.0,13582.0,10136.0,6670
2-p50-pro-m.jpg,20320,20018.0,14006.0,13188.0,10782.0,8428.0,5944
4-gt3-m.jpg,63372,62932.0,28412.0,25988.0,20308.0,15038.0,9554
recruitment3.jpg,125320,124763.0,58888.0,54588.0,42544.0,30556.0,18524
6g.jpg,40752,40366.0,16544.0,15654.0,11996.0,9066.0,6346
annual-report-cover-1.jpg,107194,106672.0,37712.0,34922.0,25764.0,17628.0,9658
dragon-fruit-en-m.jpg,113728,113220.0,38106.0,35926.0,28606.0,21394.0,13764
has2022-banner-list-2.jpg,81661,81224.0,19218.0,17680.0,13086.0,9360.0,5894
hwcloud-summit-middle-east-africa.jpg,120726,120178.0,34996.0,32352.0,23500.0,15240.0,7866
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-7728030-4&cid=881667941.1650670591&jid=2078756281&_u=YEBAAAAAAAAAAC~&z=1978203745,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-7728030-4&cid=881667941.1650670591&jid=2078756281&_u=YEBAAAAAAAAAAC~&z=1978203745,501,42.0,72.0,72.0,72.0,72.0,72
?random=1650670593744&cv=9&fst=1650668400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
?random=1650670593744&cv=9&fst=1650668400000&num=1&bg=ffffff&guid=ON&u_h=640&u_w=360&u_ah=640&u_aw=360&u_cd=24&u_his=2&u_tz=300&u_java=false&u_nplug=3&u_nmime=4&gtm=2oa4k0&sendb=1&data=event%3Dgtag.co,64,42.0,,,,,
?_pid=16218&_psign=0aa5badf92527f7732e22463d6fa4dbc&coopa=0&gdpr=0&gdpr_consent=&_puuid=8526e257-62b0-4278-b2cb-d99b7cbf4fbe&_expected_cookie=3d8d952342e2b81ddea1ecd200198da9,165,43.0,,,,,
pageTransferSize,1826365,,,,,,
totalByteWeight,2984976,,,,,,
