img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.infobae.com/,1429,0.0,,,,,
logo_infobae_naranja.svg,2482,4694.0,,,,,
logo_infobae_naranja.svg?d=929,2627,4694.0,,,,,
RXS6WFJAYFHT5LORYV7DSDGFLQ.jpg,65735,65128.0,18572.0,16994.0,11884.0,9658.0,5820
HAVXJBE27ZGFJCBN5UG5O6M7OY.jpg,79059,78230.0,17360.0,15372.0,9020.0,6980.0,3716
DRSKMDW62NG4BEFJOQIJOKDOEU.jpg,44945,44338.0,11568.0,10962.0,8628.0,6590.0,4116
VCRSSE2QJJHNRLIWM56JLMJGO4.jpg,28430,27858.0,7746.0,7324.0,5802.0,4544.0,3000
LAHJQNA5Z5EOVNK4H4SXSHXGPU.jpg,40622,40078.0,9720.0,9074.0,7034.0,5526.0,3540
BTLT5IE62BF5ZPYUE6VJQ6HI34.jpg,22941,22442.0,6364.0,6052.0,4734.0,3700.0,2424
E5Y5PJFQK34DPEWNAAOHYNWQHE.jpg,32021,31440.0,8642.0,8142.0,6378.0,5034.0,3192
times-solid.svg?d=929,899,638.0,,,,,
3CIEDKW4ZPCU7I3D2PLFE3TCP4.jpg,65699,64912.0,16632.0,15474.0,12350.0,9346.0,5872
4RY5GEVVW4TCACFAONOTKE7NDU.jpg,64158,63560.0,15854.0,15046.0,11786.0,9000.0,5502
UOGJJM63UJEWVETEJTABPDOKOQ.jpeg,40820,40220.0,12516.0,11800.0,9480.0,7098.0,4520
SBOC4OJC3AOXCQXXN6SS5AML64.jpg,65008,64402.0,15788.0,14824.0,11404.0,8578.0,5142
nd_facebook.svg?d=929,874,474.0,,,,,
nd_twitter.svg?d=929,1117,972.0,,,,,
nd_feed.svg?d=929,810,397.0,,,,,
nd_instagram.svg?d=929,880,607.0,,,,,
nd_youtube.svg?d=929,837,389.0,,,,,
ping?h=infobae.com&p=%2Famerica%2F&u=DpGm8nDfT2a5BiBHRT&d=infobae.com&g=52562&g0=america.home&g1=No%20Author&n=1&f=00001&c=0&x=0&m=0&y=33338&o=360&w=640&j=45&R=1&W=0&I=0&E=0&e=0&r=&b=3118&t=CAEOLrCaeP,201,43.0,72.0,72.0,72.0,72.0,72
b2?c1=2&c2=8030908&ns__t=1650645507796&ns_c=UTF-8&cv=3.5&c8=Infobae%20Am%C3%A9rica%20-%20Infobae&c7=https%3A%2F%2Fwww.infobae.com%2Famerica%2F&c9=,189,0.0,,,,,
6WL6R3LHB5HUZKGZ2G7QLGS4JU.jpg,41166,40568.0,10448.0,9846.0,7310.0,5560.0,3380
?id=336383993555320&ev=PageView&dl=https%3A%2F%2Fwww.infobae.com%2Famerica%2F&rl=&if=false&ts=1650645508325&sw=360&sh=640&v=2.9.57&r=stable&ec=0&o=30&fbp=fb.1.1650645508322.1325198719&it=1650645507847,409,44.0,,,,,
?id=336383993555320&ev=ViewContent&dl=https%3A%2F%2Fwww.infobae.com%2Famerica%2F&rl=&if=false&ts=1650645508329&sw=360&sh=640&v=2.9.57&r=stable&ec=1&o=30&fbp=fb.1.1650645508322.1325198719&it=1650645507,212,44.0,,,,,
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-759511-1&cid=75980240.1650645508&jid=451150665&_u=IEBAAEAAAAAAAC~&z=78676550,501,42.0,72.0,72.0,72.0,72.0,72
ga-audiences?t=sr&aip=1&_r=4&slf_rd=1&v=1&_v=j96&tid=UA-759511-1&cid=75980240.1650645508&jid=451150665&_u=IEBAAEAAAAAAAC~&z=78676550,501,42.0,72.0,72.0,72.0,72.0,72
WHK4B65RHBGKXNWDI2TNGLJWII.png,14378,13842.0,7800.0,7492.0,6240.0,4952.0,3434
WTLBQW2QLBG55BNS6M7LG2FLQY.png,23152,22652.0,10762.0,10136.0,8244.0,6006.0,3646
LS4AEBLYOFC4JPAYVUXF2ZQKUY.png,12393,11912.0,5980.0,5704.0,4630.0,3498.0,2292
JL7BB5VPD5DS3BGMK4KY7UZUTI.png,15063,14528.0,7976.0,7620.0,6388.0,4808.0,3292
Z4O4Z5FTF5HLVOKEAMIFW4U5SE.png,25390,24882.0,13330.0,12656.0,10166.0,7256.0,4550
R3ONNQZZ5FHMBAQ65EYBKRFO6I.jpg,25540,25032.0,20004.0,19120.0,15332.0,11632.0,7138
IYRAJM55QJDPXHFMVUTTWMPGXM.jpg,14053,13518.0,7458.0,6990.0,5778.0,4328.0,2922
LMRCHZYP2NEHHAK556SMKN42J4.png,27270,26762.0,14852.0,14086.0,11442.0,8312.0,5374
Z2R6SFVTANEKHJFHB5UO5C5YIU.png,13024,12488.0,6520.0,6250.0,5158.0,3968.0,2794
LD7VEJCBUJBQNB7PRT6QNKGKKE.png,19345,18790.0,11048.0,10610.0,8964.0,6884.0,4686
RYJAKLK6KVD6FMKPREYG3WLSZY.jpg,19805,19251.0,13340.0,12594.0,10234.0,7836.0,4948
AQQ23AGAM5G3FFFCWO54CXNWGI.png,15113,14632.0,7218.0,6822.0,5530.0,4096.0,2724
PTCR5JGWYFAZTEDJDCPPNCPC6E.png,25705,25142.0,13292.0,12648.0,10044.0,7390.0,4650
XUVYHD6KKJDIPD4L3QX7UIIUKU.jpg,19640,19086.0,12660.0,11896.0,9762.0,7272.0,4748
GUDRYO75UJHWLNI2WX2RQY5KNE.jpg,23424,22925.0,13254.0,12522.0,10278.0,7880.0,5334
PPB67K56UFHDTG344X7SZ5K4BM.png,29379,28862.0,14990.0,14100.0,11478.0,8438.0,5354
MGY64XB6DZA2VKKVX77GX742JU.jpg,23357,22804.0,14934.0,14206.0,11692.0,8732.0,5460
VMQUIU4OANAX3OR3S4S6SX2O4A.png,11800,11320.0,5586.0,5310.0,4330.0,3182.0,2060
J2K3CMP6QVBSNJ2YRZI3Y72A2Q.jpg,20017,19464.0,11156.0,10722.0,8872.0,7074.0,4812
JAIN66HMU5GFRJNMBYSGV73NBE.png,14351,13870.0,7920.0,7592.0,6280.0,4780.0,3264
QM4X6PHSAVGKFNMFXFY2X67M6M.png,31508,30936.0,16222.0,15532.0,12384.0,9174.0,5700
?id=336383993555320&ev=Microdata&dl=https%3A%2F%2Fwww.infobae.com%2Famerica%2F&rl=&if=false&ts=1650645508831&cd[DataLayer]=%5B%5D&cd[Meta]=%7B%22title%22%3A%22Infobae%20Am%C3%A9rica%20-%20Infobae%22%2,91,44.0,,,,,
47RFZNJCD5EZVEI5WXC2XIAWKM.jpg,47408,46856.0,12202.0,11634.0,9222.0,7046.0,4408
12107760803782097708,17571,17210.0,4618.0,4412.0,3520.0,2654.0,1750
sodar?id=sodar2&v=225&li=gpt_2022041801&jk=4098026554703802&rc=,0,0.0,,,,,
generate_204?WyOGTg,9,0.0,,,,,
sodar?id=sodar2&v=225&t=2&li=gpt_2022041801&jk=4098026554703802&bg=!DwylDEjNAAYXWUUuN1k7ACkAdvg8WqGSUChbTVLFK1GX-Ijv53OzLbV113803XQoVG7ho8NqpWj3jAIAAABVUgAAAARoAQeZAwTF04VMePdGgbt1UAvCXra3b8r6AQkoKfER,0,0.0,,,,,
pageTransferSize,2104926,,,,,,
totalByteWeight,4685108,,,,,,
